symbol,latest_oi,prev_oi,change_in_oi,pct_change_oi,volume,fut_value,opt_value,prem_value,underlying_value
GRASIM,65762,65261,501,0.77,9185,6471.62115,6880069387,1011.39387,3241
PERSISTENT,74718,74158,560,0.76,24035,19111.10338,13245086326,3573.30076,4938
NAUKRI,51323,50952,371,0.73,11672,9958.63159,6950696940,1449.9144,1212
ASTRAL,36021,35762,259,0.72,3567,4800.95988,1560158756,245.14756,1323
HDFCLIFE,68669,68179,490,0.72,7503,10331.49524,3693500503,671.85503,561
NATIONALUM,52023,51654,369,0.71,18613,19363.45593,10954163175,2601.663,363
NESTLEIND,36975,36726,249,0.68,2089,3659.7103,1172715915,185.55915,1468
HEROMOTOCO,72751,72270,481,0.67,10993,5947.75708,7668614821,1142.47321,4909
HDFCBANK,725804,721105,4699,0.65,31152,25368.79156,14400894859,2140.43609,822
EICHERMOT,77323,76827,496,0.65,7140,6469.49979,4760434493,710.29493,7424
COALINDIA,94197,93625,572,0.61,4279,3292.32168,2221680339,290.84589,431
PRESTIGE,16916,16817,99,0.59,1237,2354.74947,720005346,192.29346,1688
HDFCAMC,28094,27932,162,0.58,1735,2987.17053,1174775721,227.28321,2770
PIDILITIND,18685,18578,107,0.58,974,597.6322,727675150,68.1015,1610
ASIANPAINT,58375,58044,331,0.57,9146,6767.923,5595282777,760.07777,2722
POWERINDIA,45228,44972,256,0.57,3533,3253.13855,2738130216,419.92716,32690
BOSCHLTD,18341,18240,101,0.55,853,1238.24749,797880298,118.49048,42300
TATAELXSI,53195,52908,287,0.54,16428,9118.21533,6946770302,1826.70302,3719
TECHM,55982,55708,274,0.49,13498,19125.4539,10134335856,2285.23056,1453
NHPC,32293,32136,157,0.49,1161,791.06568,585432972,76.79472,79
TATAPOWER,83045,82655,390,0.47,7346,4585.63471,3704421169,460.78419,380
ICICIBANK,235778,234680,1098,0.47,21189,28768.39749,18204048919,2635.87919,1405
INDUSINDBK,78573,78212,361,0.46,6209,6416.45305,3877711992,850.69992,1026
BAJFINANCE,149869,149182,687,0.46,5677,7008.22095,3690034215,596.29215,1007
MARICO,24953,24839,114,0.46,2311,2398.76616,2165009808,284.45808,856
GODREJCP,30999,30861,138,0.45,936,1375.3307,384192505,64.17505,1091
DABUR,42310,42128,182,0.43,2085,1534.999,1030802737,145.40237,444
POLICYBZR,41256,41080,176,0.43,1596,2274.82451,683812738,167.54738,1577
TATACONSUM,46249,46054,195,0.42,2087,1883.09033,1120958355,167.50855,1115
TRENT,135464,134905,559,0.41,9342,4195.90408,5978881557,1097.5443,2913
GVT&D,25200,25097,103,0.41,2295,2207.29323,1168753861,382.03861,4662
ITC,174658,173956,702,0.4,7360,4267.45749,3248168307,411.75094,283
ANGELONE,21002,20919,83,0.4,5921,8991.03725,4368193775,1167.43775,347
SUZLON,60654,60417,237,0.39,2160,2792.07849,1284855190,253.3269,54
BPCL,38421,38273,148,0.39,4230,3475.05832,2267695849,408.24099,311
HCLTECH,143413,142868,545,0.38,34531,23602.90544,14077125968,3191.57968,1172
SUNPHARMA,99443,99080,363,0.37,10884,3858.53359,7061188781,723.04781,1938
PREMIERENE,16847,16787,60,0.36,3209,3742.71261,1965508746,477.22746,1087
SRF,31144,31035,109,0.35,1990,1692.06088,961290984,207.56984,2780
RECLTD,50936,50781,155,0.31,1911,2146.67727,876660813,130.96188,353
CIPLA,57936,57766,170,0.29,2668,1405.90072,1491742303,185.90303,1444
GMRAIRPORT,31965,31875,90,0.28,1455,2542.60093,921996792,168.23142,112
YESBANK,71115,70928,187,0.26,2729,4389.86763,1693042326,319.91326,23
ADANIENSOL,42009,41899,110,0.26,2454,6311.88004,2163419894,545.84894,1657
