index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,23-Jun-2026,23922.65,6655765,3369603,0.51,23950,7.38
BANKNIFTY,30-Jun-2026,57393.45,652982,597479,0.92,57000,13.2
