index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,14-Jul-2026,24206.9,2191199,2788546,1.27,24200,8.54
BANKNIFTY,28-Jul-2026,58045.9,465051,438717,0.94,58000,12.3
