symbol,sector,nifty_sector_index,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
RELIANCE,Energy Minerals,NIFTY_ENERGY,-0.3201219512195156,2.57254901960784,-0.26,4.27,-2.53,-0.06,-1.7,5.1
HDFCBANK,Finance,NIFTY_FIN_SERVICE,2.733499377335,12.009504412763071,-0.26,4.27,7.69,2.99,7.74,4.32
BHARTIARTL,Communications,,1.6084656084656133,6.74819344080045,-0.26,4.27,,1.87,2.48,
ICICIBANK,Finance,NIFTY_FIN_SERVICE,-0.905233380480902,10.21788720207662,-0.26,4.27,7.69,-0.65,5.95,2.53
SBIN,Finance,NIFTY_FIN_SERVICE,-1.800947867298578,3.3210332103320988,-0.26,4.27,7.69,-1.54,-0.95,-4.37
TCS,Technology Services,NIFTY_IT,-1.4761904761904765,-3.825593826988341,-0.26,4.27,-0.95,-1.22,-8.1,-2.88
BAJFINANCE,Finance,NIFTY_FIN_SERVICE,-1.4009661835748792,14.650039321424556,-0.26,4.27,7.69,-1.14,10.38,6.96
LICI,Finance,NIFTY_FIN_SERVICE,2.4393063583815056,9.638703291264536,-0.26,4.27,7.69,2.7,5.37,1.95
LT,Industrial Services,NIFTY_ENERGY,-3.289215686274505,1.07069672131148,-0.26,4.27,-2.53,-3.03,-3.2,3.6
HINDUNILVR,Consumer Non-Durables,NIFTY_FMCG,-3.3394759315025477,0.7353974425031532,-0.26,4.27,4.1,-3.08,-3.53,-3.36
SUNPHARMA,Health Technology,NIFTY_PHARMA,2.952127659574468,8.760395594515627,-0.26,4.27,6.26,3.21,4.49,2.5
MARUTI,Consumer Durables,NIFTY_AUTO,-4.124567474048443,5.610611373685013,-0.26,4.27,3.43,-3.86,1.34,2.18
INFY,Technology Services,NIFTY_IT,0.4703668861712135,-7.938970778381167,-0.26,4.27,-0.95,0.73,-12.21,-6.99
ADANIPOWER,Utilities,NIFTY_ENERGY,-3.23366555924696,-3.893532776066882,-0.26,4.27,-2.53,-2.97,-8.16,-1.36
ADANIPORTS,Transportation,NIFTY_AUTO,-3.018567639257299,0.1150054764512546,-0.26,4.27,3.43,-2.76,-4.15,-3.31
TITAN,Consumer Durables,NIFTY_AUTO,1.9888765294771888,11.681161538648931,-0.26,4.27,3.43,2.25,7.41,8.25
