symbol,company,sector,industry,market_cap,cmp,previous_close,ema20,ema50,ema100,ema200,sma50,sma200,supertrend,ichimoku_signal,trend_label,trend_score,rsi14,macd,macd_signal,macd_hist,adx14,roc20,stoch_rsi,momentum_score,volume,avg_volume_10d,avg_volume_30d,relative_volume,delivery_pct,obv,cmf,volume_score,support1,support2,resistance1,resistance2,pivot,vwap,atr14,entry_low,entry_high,stop_loss,target1,target2,target3,risk_reward,rs_rank,return_1m,return_3m,dist_52w_high_pct,rs_vs_nifty_1m,rs_vs_sector_1m,pe,pb,peg,ev_ebitda,roe,roce,debt_equity,revenue_growth,profit_growth,operating_margin,fcf,fundamental_score,revenue_surprise,profit_surprise,eps_growth,margin_expansion,guidance,order_book_growth,earnings_score,promoter_holding,promoter_pledge,fii_holding,dii_holding,mf_holding,insider_buying,institution_score,news_count_7d,news_sentiment,catalyst_strength,major_catalyst,risk_event,news_score,in_oi_spurt,oi_change_pct,fno_score,pcr,max_pain,liquidity_sweep,smart_money_score,technical_score,fundamental_score_final,earnings_score_final,news_score_final,institution_score,sector_score,macro_score,risk_score,value_z,momentum_z,quality_z,lowvol_z,growth_z,size_z,composite_factor_z,composite_factor_rank,earnings_within_21d,days_to_earnings,event_risk_score,tech_rating,analyst_rec,price_target_avg
SUNPHARMA,Sun Pharmaceutical Industries Limited,Health Technology,Pharmaceuticals: Major,4656999693604.0,1941.1,1954.0,,1872.952292333295,,1781.652369163271,1866.693999999998,1764.5384999999983,,,Bullish,100.0,59.45328523676252,28.141273996244763,29.3085173602123,-1.1672,31.15620118439628,1.0252940564171862,9.757853674194854,60,1578929.0,1899390.7,1941809.0333333332,0.835715060749531,70.25,,,33,1930.66,1920.23,1955.66,1970.23,1945.23,1945.2333333333336,30.791617408241983,1925.7,1956.5,1894.91,1971.89,2002.68,2033.47,0.67,82.0,3.9132762312633775,16.205699233716462,-1.29,3.72,1.79,40.57127091685094,5.572985670441573,8.109835077785231,26.50491651681319,14.7372222437258,14.6665060253894,0.0553705279005922,11.190138010941366,5.035971223021584,23.1831971652033,,40,,,5.035971223021584,,,,67,,,,,,,,0,,,,,,True,-0.9,3.0,,,,3.0,71,40,67,,,84.0,30,35,-0.31,0.31,0.16,1.38,-0.38,-2.18,0.23,79.0,True,5.0,3.0,Buy,1.209677,2074.129032
MARUTI,Maruti Suzuki India Limited,Consumer Durables,Motor Vehicles,4228211475389.0,13442.0,13403.0,,13605.18494535622,,13935.704709660298,13474.380000000006,14657.759999999997,,,Bearish,17.0,44.89243843242118,-26.846243628682718,48.98238132752587,-75.8286,16.412052061356437,-1.847389558232932,3.206560889820336,0,223369.0,358734.0,518110.4,0.5887233551872961,37.45,,,17,13261.0,13080.0,13559.0,13676.0,13378.0,13378.0,299.69148479534425,13292.15,13591.85,12992.46,13741.69,14041.38,14341.07,0.67,51.0,0.0148809523809523,1.8333333333333333,-22.61,-0.18,-1.39,28.78977361197288,,23.2129550905196,18.932800724762128,14.4343896296981,14.4257793920526,0.0009565466519467,19.882547592421837,1.2366475606490452,8.01801261210151,,40,,,1.2366475606490452,,,,67,,,,,,,,0,,,,,,True,-2.93,3.0,,,,3.0,10,40,67,,,95.0,30,65,-0.03,-0.4,-0.22,0.27,-0.21,-2.07,-0.12,37.0,True,5.0,5.0,Sell,1.25,15956.666667
INFY,Infosys Limited,Technology Services,Information Technology Services,4223736513509.0,1040.9,1047.4,,1112.3310721971725,,1308.3087759034288,1111.411999999998,1364.6915000000058,,,Bearish,0.0,41.25647503050867,-12.61080257601452,-13.905802009752062,1.295,13.689326279325412,-5.59586432069652,10.94244423615856,20,29036900.0,13166253.500000002,14101580.566666666,2.58397707468636,55.37,,,100,1022.06,1003.23,1051.56,1062.23,1032.73,1032.7333333333331,31.36511133086012,1025.22,1056.58,993.85,1072.27,1103.63,1135.0,0.67,8.0,0.0,-13.258333333333326,-39.76,-0.19,-4.36,14.0604400354449,4.626731573960387,1.1135501739908658,9.288997396961364,32.5570646185928,30.6971935905622,0.0958982295542604,5.760074257000269,12.70552700168076,20.7327908463447,11.94642329244556,100,,,12.70552700168076,,,,67,,,,,,,,0,,,,,,True,-8.97,3.0,,,,3.0,28,100,67,,,76.0,30,50,1.11,-1.19,0.65,0.12,-0.4,-2.07,0.06,59.0,False,89.0,0.0,Sell,1.625,1207.237931
TITAN,Titan Company Limited,Consumer Durables,Other Consumer Specialties,4156348797132.0,4677.0,4697.3,,4428.144567936811,,4130.400188560173,4338.617999999999,4111.789,,,Bullish,100.0,66.9519815380317,98.5072401279067,95.49290843340012,3.0143,34.90888580477457,1.640769314354015,71.80698874489269,100,513858.0,656011.6999999791,861506.9333332985,0.7670776044741879,60.02,,,33,4621.74,4566.47,4714.64,4752.27,4659.37,4659.366666666667,78.23008802608352,4637.88,4716.12,4559.65,4755.23,4833.46,4911.69,0.67,58.0,8.716875871687588,4.502290246899788,-1.18,8.53,7.32,81.8239551569036,26.419859871367983,1.5805267495558146,52.91237339475763,37.1354338200315,30.7096383719171,1.95000955231484,44.87230382426889,51.99475616987671,8.59631896236756,,40,,,51.99475616987671,,,,67,,,,,,,,0,,,,,,True,-0.08,3.0,,,,3.0,87,40,67,,,95.0,30,55,-0.74,0.22,0.14,0.73,0.29,-2.05,0.13,68.0,True,12.0,3.0,Buy,1.297297,5111.864865
ADANIPOWER,Adani Power Limited,Utilities,Electric Utilities,4120174618526.0,213.66,212.23,,217.4430734082403,,181.33390048550592,224.5172,174.25924999999998,,,Neutral,50.0,42.84894021715149,-2.356392681467611,-1.750950586820641,-0.6054,11.81344102652162,-0.8354218880534723,19.011166421269586,0,29273015.0,34019875.2,31827101.866666667,0.8683211920846369,33.13,,,17,210.8,207.95,215.8,217.95,212.95,212.95333333333332,6.871400789390914,210.22,217.1,203.35,220.53,227.4,234.27,0.67,44.0,-7.3259596616786,-0.8262161158559232,-15.95,-7.52,-4.94,28.904611804813378,,1.9321710838197328,23.90875724718576,,,,1.2165820389910489,14.85953135682764,23.254070839384,,60,,,14.85953135682764,,,,100,,,,,,,,0,,,,,,True,-4.13,3.0,,,,3.0,23,60,100,,,3.0,30,50,-0.35,0.87,0.52,0.11,-0.36,-2.04,0.16,70.0,False,95.0,0.0,Sell,1.222222,252.555556
ADANIENT,Adani Enterprises Limited,Distribution Services,Wholesale Distributors,4096988725228.0,3026.4,3010.0,,2946.566549572481,,2550.1212458199825,2995.2180000000003,2421.5048260529475,,,Bullish,83.0,45.8426994170519,35.2306601134469,61.37956095021813,-26.1489,25.907744880674848,-4.755310778914238,9.472453149874406,20,1280635.0,1252474.7999999996,1890352.9333333336,0.9564509306134208,29.38,,,17,2998.64,2970.87,3048.04,3069.67,3020.27,3020.2666666666664,79.46597281430968,2986.67,3066.13,2907.2,3105.87,3185.33,3264.8,0.67,93.0,1.2749723923300842,31.00164487923125,-6.74,1.08,-0.62,39.07543169675482,4.834262229749782,1.332691054231194,36.47526738799867,14.5230354400057,6.13935126447739,1.31752238279969,2.62921147456835,29.161809561451328,7.817148062464491,,40,,,29.161809561451328,,,,67,,,,,,,,0,,,,,,True,-1.26,3.0,,,,3.0,45,40,67,,,100.0,30,70,-0.49,0.91,-0.52,0.0,-0.7,-2.03,-0.16,31.0,True,3.0,3.0,Neutral,1.0,3392.75
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Transportation,Other Transportation,4073629824024.0,1768.3,1778.5,,1782.727879302361,,1601.1435711589231,1812.5940000000005,1566.5795,,,Neutral,50.0,40.63845743257262,-0.3421854190669364,7.773576853206566,-8.1158,14.150434477622218,-2.3200574490415957,6.740333932764891,0,1685770.0,1446799.7,1921159.566666667,1.1811717673483224,50.77,,,67,1754.04,1739.77,1783.74,1799.17,1769.47,1769.466666666667,37.20806687248288,1749.7,1786.9,1712.49,1805.51,1842.72,1879.92,0.67,68.0,-0.9910414333706632,9.696029776674935,-6.49,-1.18,-2.39,30.369594339298597,4.2383127800050575,2.28108512982262,20.299841121506287,16.1530704741509,9.92761395037127,0.659545301809201,27.10533405216613,13.390457643622195,44.7494137847266,,80,,,13.390457643622195,,,,100,,,,,,,,0,,,,,,True,0.08,3.0,,,,3.0,33,80,100,,,89.0,30,70,-0.22,0.33,0.5,0.36,-0.02,-2.03,0.19,76.0,True,3.0,3.0,Sell,1.24,1971.36
M&M,Mahindra & Mahindra Ltd.,Consumer Durables,Motor Vehicles,3930794949829.0,3161.4,3229.7,,3134.291215568672,,3233.457129453412,3100.5519999999965,3369.092000000001,,,Bullish,67.0,52.113699121933145,22.29602634533603,17.01530497171621,5.2807,14.907309313000791,0.0316415643589419,68.86139938949165,80,2135688.0,2030102.9,2745952.033333333,1.0689001267702554,62.98,,,67,3125.34,3089.27,3207.24,3253.07,3171.17,3171.1666666666665,73.10591677256541,3124.85,3197.95,3051.74,3234.51,3307.61,3380.72,0.67,56.0,3.8567674113009223,3.7306821537553,-17.67,3.67,2.46,20.783643415948983,3.7950837711262695,0.6596226383146329,13.377664920642149,20.100307279134,10.1421981395051,1.47090525031325,24.54685188944636,32.189102285565326,14.9398021835425,,60,,,32.189102285565326,,,,67,,,,,,,,0,,,,,,True,1.54,3.0,,,,3.0,72,60,67,,,95.0,30,80,0.12,-0.4,-0.31,-0.17,0.0,-1.99,-0.15,32.0,True,4.0,3.0,Buy,1.092105,4118.081081
KOTAKBANK,Kotak Mahindra Bank Limited,Finance,Major Banks,3826753781193.0,384.75,383.35,,386.9548421847952,,396.20596411955,388.4750000000002,404.7405500000005,,,Bearish,17.0,48.97706980105803,-2.148807976186788,-2.320744842033409,0.1719,17.119772112206398,0.0259976602105869,75.53598867803221,60,13308317.0,15463422.2,17229342.933333334,0.8487726273546677,74.37,,,33,380.06,375.38,387.96,391.18,383.28,383.2833333333333,8.888186033928958,380.31,389.19,371.42,393.64,402.53,411.41,0.67,56.0,-4.207643470683426,3.8181327576902255,-15.1,-4.4,-6.1,18.854471413240027,,3.166915129900061,,,,,5.944587678711875,5.9319130380614284,33.37779533469448,,40,,,5.9319130380614284,,,,100,,,,,,,,0,,,,,,True,0.1,3.0,,,,3.0,37,40,100,,,45.0,30,50,-0.12,-0.44,0.78,0.44,-0.39,-1.96,0.05,59.0,False,85.0,0.0,Sell,1.333333,462.560976
AXISBANK,Axis Bank Limited,Finance,Major Banks,3820578247291.0,1227.3,1223.0,,1304.5871546430656,,1271.8218417009582,1305.6799999999992,1283.6154999999992,,,Bearish,0.0,31.344561826895955,-23.31296398578138,-10.59277353180823,-12.7202,22.04210578335713,-6.980445657116882,2.203494013609112,0,8088828.0,10033400.599999994,7414797.299999959,0.8443953935179689,72.14,,,67,1213.96,1200.63,1237.26,1247.23,1223.93,1223.9333333333334,29.261352349216967,1212.67,1241.93,1183.41,1256.56,1285.82,1315.08,0.67,15.0,-9.49115044247788,-10.350620891161434,-13.47,-9.68,-11.38,13.8007421567525,1.711453678884937,,,13.3223116091748,6.02332771211253,1.2787427439263,4.101506932981787,-0.6146624944121559,38.52307846546758,,40,,,-0.6146624944121559,,,,67,,,,,,,,0,,,,,,True,0.02,3.0,,,,3.0,13,40,67,,,45.0,30,65,0.39,-0.48,0.19,0.17,-0.44,-1.95,-0.03,48.0,False,81.0,0.0,Sell,1.159091,1585.948889
