symbol,yf_ticker,has_cache_file,reason
MONOLITH,MONOLITH.NS,False,delisted_or_no_data
MRIL,MRIL.NS,False,delisted_or_no_data
MUNISH,MUNISH.NS,False,delisted_or_no_data
NAMOEWASTE,NAMOEWASTE.NS,False,delisted_or_no_data
NAM_INDIA,NAM_INDIA.NS,False,delisted_or_no_data
NEOCHEM,NEOCHEM.NS,False,delisted_or_no_data
NEPTUNE,NEPTUNE.NS,False,delisted_or_no_data
NHIT,NHIT.NS,False,delisted_or_no_data
NIKITA,NIKITA.NS,False,delisted_or_no_data
NXST.RR,NXST.RR.NS,False,delisted_or_no_data
OBSCP,OBSCP.NS,False,delisted_or_no_data
OPTIVALUE,OPTIVALUE.NS,False,delisted_or_no_data
OSELDEVICE,OSELDEVICE.NS,False,delisted_or_no_data
PARTH,PARTH.NS,False,delisted_or_no_data
PATILAUTOM,PATILAUTOM.NS,False,delisted_or_no_data
PELATRO,PELATRO.NS,False,delisted_or_no_data
PRIMECAB,PRIMECAB.NS,False,delisted_or_no_data
PSRAJ,PSRAJ.NS,False,delisted_or_no_data
PURPLEUTED,PURPLEUTED.NS,False,delisted_or_no_data
PUSHPA,PUSHPA.NS,False,delisted_or_no_data
QLINE,QLINE.NS,False,delisted_or_no_data
RAPPID,RAPPID.NS,False,delisted_or_no_data
RNFI,RNFI.NS,False,delisted_or_no_data
ROYALARC,ROYALARC.NS,False,delisted_or_no_data
SACHEEROME,SACHEEROME.NS,False,delisted_or_no_data
SAFEENTP,SAFEENTP.NS,False,delisted_or_no_data
SAHASRA,SAHASRA.NS,False,delisted_or_no_data
SATKARTAR,SATKARTAR.NS,False,delisted_or_no_data
SAVY,SAVY.NS,False,delisted_or_no_data
SAWALIYA,SAWALIYA.NS,False,delisted_or_no_data
SDREAMS,SDREAMS.NS,False,delisted_or_no_data
SEITINVIT,SEITINVIT.NS,False,delisted_or_no_data
SHETHJI,SHETHJI.NS,False,delisted_or_no_data
SHIVASHRIT,SHIVASHRIT.NS,False,delisted_or_no_data
SHREEDHAR,SHREEDHAR.NS,False,delisted_or_no_data
SHRIAHIMSA,SHRIAHIMSA.NS,False,delisted_or_no_data
SHUBHSHREE,SHUBHSHREE.NS,False,delisted_or_no_data
SIMCA,SIMCA.NS,False,delisted_or_no_data
SPEB,SPEB.NS,False,delisted_or_no_data
SPUNWEB,SPUNWEB.NS,False,delisted_or_no_data
SSEGL,SSEGL.NS,False,delisted_or_no_data
SSFLPP.E1,SSFLPP.E1.NS,False,delisted_or_no_data
SUBAHOTELS,SUBAHOTELS.NS,False,delisted_or_no_data
SUNLITE,SUNLITE.NS,False,delisted_or_no_data
TANKUP,TANKUP.NS,False,delisted_or_no_data
TAURIAN,TAURIAN.NS,False,delisted_or_no_data
TEAMTECH,TEAMTECH.NS,False,delisted_or_no_data
TECHD,TECHD.NS,False,delisted_or_no_data
TECHERA,TECHERA.NS,False,delisted_or_no_data
TEJA,TEJA.NS,False,delisted_or_no_data
TEJASCARGO,TEJASCARGO.NS,False,delisted_or_no_data
UHTL,UHTL.NS,False,delisted_or_no_data
UMIYA_MRO,UMIYA_MRO.NS,False,delisted_or_no_data
UTSSAV,UTSSAV.NS,False,delisted_or_no_data
VERTIS,VERTIS.NS,False,delisted_or_no_data
VGINFOTECH,VGINFOTECH.NS,False,delisted_or_no_data
VIESL,VIESL.NS,False,delisted_or_no_data
VIVIDEL,VIVIDEL.NS,False,delisted_or_no_data
VOLERCAR,VOLERCAR.NS,False,delisted_or_no_data
YAAP,YAAP.NS,False,delisted_or_no_data
AAKAAR,AAKAAR.NS,False,rate_limited
AARADHYA,AARADHYA.NS,False,rate_limited
ABHAPOWER,ABHAPOWER.NS,False,rate_limited
ACETEC,ACETEC.NS,False,rate_limited
ADDICTIVE,ADDICTIVE.NS,False,rate_limited
AERON,AERON.NS,False,rate_limited
AESTHETIK,AESTHETIK.NS,False,rate_limited
ALCODIS,ALCODIS.NS,False,rate_limited
AMBAAUTO,AMBAAUTO.NS,False,rate_limited
AMBANIORGO,AMBANIORGO.NS,False,rate_limited
APSISAERO,APSISAERO.NS,False,rate_limited
ARCIIL,ARCIIL.NS,False,rate_limited
ARHAM,ARHAM.NS,False,rate_limited
ARMOUR,ARMOUR.NS,False,rate_limited
ARUNAYA,ARUNAYA.NS,False,rate_limited
ARVINDPORT,ARVINDPORT.NS,False,rate_limited
ASHALOG,ASHALOG.NS,False,rate_limited
ATCENERGY,ATCENERGY.NS,False,rate_limited
AUSL,AUSL.NS,False,rate_limited
AVIANSH,AVIANSH.NS,False,rate_limited
BALCO,BALCO.NS,False,rate_limited
BARFLEX,BARFLEX.NS,False,rate_limited
BHADORA,BHADORA.NS,False,rate_limited
BIKEWO,BIKEWO.NS,False,rate_limited
BIOPOL,BIOPOL.NS,False,rate_limited
BMLL,BMLL.NS,False,rate_limited
BOSS,BOSS.NS,False,rate_limited
BRACEPORT,BRACEPORT.NS,False,rate_limited
BULKCORP,BULKCORP.NS,False,rate_limited
CAPINVIT,CAPINVIT.NS,False,rate_limited
CEDAAR,CEDAAR.NS,False,rate_limited
CHAMUNDA,CHAMUNDA.NS,False,rate_limited
CHETANA,CHETANA.NS,False,rate_limited
CLASSICEIL,CLASSICEIL.NS,False,rate_limited
CURIS,CURIS.NS,False,rate_limited
DCCL,DCCL.NS,False,rate_limited
DECCANTRAN,DECCANTRAN.NS,False,rate_limited
DELTIC,DELTIC.NS,False,rate_limited
DHANSA,DHANSA.NS,False,rate_limited
DIVYADHAN,DIVYADHAN.NS,False,rate_limited
EEPL,EEPL.NS,False,rate_limited
ESPRIT,ESPRIT.NS,False,rate_limited
ETL,ETL.NS,False,rate_limited
ETML,ETML.NS,False,rate_limited
EXCELLENT,EXCELLENT.NS,False,rate_limited
FORGEAUTO,FORGEAUTO.NS,False,rate_limited
GAJANAND,GAJANAND.NS,False,rate_limited
GANGABATH,GANGABATH.NS,False,rate_limited
GENXAI,GENXAI.NS,False,rate_limited
GJL,GJL.NS,False,rate_limited
GML,GML.NS,False,rate_limited
GREENLEAF,GREENLEAF.NS,False,rate_limited
GURUNANAK,GURUNANAK.NS,False,rate_limited
HAPPY,HAPPY.NS,False,rate_limited
IDEALTECHO,IDEALTECHO.NS,False,rate_limited
IDENTICAL,IDENTICAL.NS,False,rate_limited
INTEGRITY,INTEGRITY.NS,False,rate_limited
INVICTA,INVICTA.NS,False,rate_limited
IPHL,IPHL.NS,False,rate_limited
ITTL,ITTL.NS,False,rate_limited
JAYESH,JAYESH.NS,False,rate_limited
JEYYAM,JEYYAM.NS,False,rate_limited
JYOTIGLOBL,JYOTIGLOBL.NS,False,rate_limited
KALANA,KALANA.NS,False,rate_limited
KAYTEX,KAYTEX.NS,False,rate_limited
KEN,KEN.NS,False,rate_limited
KKJEWELS,KKJEWELS.NS,False,rate_limited
LAKSHYA,LAKSHYA.NS,False,rate_limited
LAMOSAIC,LAMOSAIC.NS,False,rate_limited
MANILAM,MANILAM.NS,False,rate_limited
MARUSHIKA,MARUSHIKA.NS,False,rate_limited
MAYASHEEL,MAYASHEEL.NS,False,rate_limited
MEDISTEP,MEDISTEP.NS,False,rate_limited
MGSL,MGSL.NS,False,rate_limited
MIEL,MIEL.NS,False,rate_limited
MMEL,MMEL.NS,False,rate_limited
MOBILISE,MOBILISE.NS,False,rate_limited
MPEL,MPEL.NS,False,rate_limited
MYMUDRA,MYMUDRA.NS,False,rate_limited
NDRINVIT,NDRINVIT.NS,False,rate_limited
NFPSAMPOOR,NFPSAMPOOR.NS,False,rate_limited
NMSTEEL,NMSTEEL.NS,False,rate_limited
NRVANDANA,NRVANDANA.NS,False,rate_limited
ONYX,ONYX.NS,False,rate_limited
PARAMATRIX,PARAMATRIX.NS,False,rate_limited
PARAMOUNT,PARAMOUNT.NS,False,rate_limited
PARAMPARA,PARAMPARA.NS,False,rate_limited
PHOGLOBAL,PHOGLOBAL.NS,False,rate_limited
POSITRON,POSITRON.NS,False,rate_limited
PPSL,PPSL.NS,False,rate_limited
PRANIK,PRANIK.NS,False,rate_limited
PREMIUM,PREMIUM.NS,False,rate_limited
PROFX,PROFX.NS,False,rate_limited
PSFL,PSFL.NS,False,rate_limited
QVCEL,QVCEL.NS,False,rate_limited
RAJINDLTD,RAJINDLTD.NS,False,rate_limited
RAJPUTANA,RAJPUTANA.NS,False,rate_limited
RAPIDFLEET,RAPIDFLEET.NS,False,rate_limited
READYMIX,READYMIX.NS,False,rate_limited
REXPRO,REXPRO.NS,False,rate_limited
RFBL,RFBL.NS,False,rate_limited
RICHA,RICHA.NS,False,rate_limited
RIIT,RIIT.NS,False,rate_limited
RNPL,RNPL.NS,False,rate_limited
ROCKPP.E1,ROCKPP.E1.NS,False,rate_limited
RTL,RTL.NS,False,rate_limited
SAJHOTELS,SAJHOTELS.NS,False,rate_limited
SAMAY,SAMAY.NS,False,rate_limited
SATECH,SATECH.NS,False,rate_limited
SATTVAENGG,SATTVAENGG.NS,False,rate_limited
SELLOWRAP,SELLOWRAP.NS,False,rate_limited
SFML,SFML.NS,False,rate_limited
SHEEL,SHEEL.NS,False,rate_limited
SHKSIL,SHKSIL.NS,False,rate_limited
SHRIKANHA,SHRIKANHA.NS,False,rate_limited
SHYAMDHANI,SHYAMDHANI.NS,False,rate_limited
SIDDHICOTS,SIDDHICOTS.NS,False,rate_limited
SILKY,SILKY.NS,False,rate_limited
SMARTEN,SMARTEN.NS,False,rate_limited
SNEHAA,SNEHAA.NS,False,rate_limited
SOCL,SOCL.NS,False,rate_limited
SPCON,SPCON.NS,False,rate_limited
SPPPOLY,SPPPOLY.NS,False,rate_limited
STRIDERS,STRIDERS.NS,False,rate_limited
STUDIOLSD,STUDIOLSD.NS,False,rate_limited
SUNTECH,SUNTECH.NS,False,rate_limited
THESL,THESL.NS,False,rate_limited
TROM,TROM.NS,False,rate_limited
TSC,TSC.NS,False,rate_limited
UNILEX,UNILEX.NS,False,rate_limited
USHAFIN,USHAFIN.NS,False,rate_limited
UTKAL,UTKAL.NS,False,rate_limited
VALUE360,VALUE360.NS,False,rate_limited
VDEAL,VDEAL.NS,False,rate_limited
VICTORYEV,VICTORYEV.NS,False,rate_limited
VIGOR,VIGOR.NS,False,rate_limited
VIJAYPD,VIJAYPD.NS,False,rate_limited
VLINFRA,VLINFRA.NS,False,rate_limited
VMOBILE,VMOBILE.NS,False,rate_limited
WHITEFORCE,WHITEFORCE.NS,False,rate_limited
WOL3D,WOL3D.NS,False,rate_limited
