index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,11-Aug-2026,24630.05,2055299,1716276,0.84,24600,10.96
BANKNIFTY,25-Aug-2026,57825.3,437230,367224,0.84,57800,11.69
