index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,18-Aug-2026,24366.0,2322870,2054161,0.88,24400,10.08
BANKNIFTY,25-Aug-2026,57491.1,550478,431220,0.78,57800,11.27
