symbol,close,perf_1m,pct_change_oi,change_in_oi,tot_volume,tot_turnover,latest_oi,in_oi_spurt,fno_score
ADANIPOWER,202.3,-0.3742736137102289,2.24,1965.0,19910.0,28254.200435,89635.0,True,3
SRF,2542.5,-1.7960602549246814,2.24,805.0,9590.0,17330.64006,36910.0,True,3
LT,3881.4,-4.98408812729498,2.22,2919.0,28640.0,32826.960005,134671.0,True,3
EICHERMOT,7415.5,-7.404632577885996,2.22,1439.0,14342.0,27867.02868,66192.0,True,3
IRFC,79.9,-7.071411956268896,2.14,959.0,7406.0,14320.4902225,45881.0,True,3
VMM,106.71,-6.312554872695356,2.14,555.0,9489.0,10335.7283,26501.0,True,3
COALINDIA,421.05,3.1495098039215743,2.12,2817.0,22023.0,36963.631935,135995.0,True,3
DMART,3812.7,-3.230964467005081,2.12,1244.0,12612.0,28695.301905,59822.0,True,3
POWERINDIA,30905.0,-8.239311163895486,2.11,1314.0,16581.0,11456.09702,63567.0,True,3
MPHASIS,2263.9,-7.09155825501702,2.11,696.0,4939.0,11282.4767,33676.0,True,3
ALKEM,5402.0,0.4462625511342507,2.09,418.0,4586.0,9857.4247875,20402.0,True,3
HDFCBANK,726.75,0.0206440957886013,2.08,21820.0,244707.0,263056.861405,1072773.0,True,3
CGPOWER,888.5,1.76383003092429,2.07,756.0,11544.0,21188.992355,37268.0,True,3
PATANJALI,405.15,15.806774331856497,2.04,1537.0,23093.0,30917.446555,76647.0,True,3
NBCC,83.21,-5.6575963718820965,2.04,482.0,3762.0,7632.3728,24105.0,True,3
RELIANCE,1236.8,-5.175189756957756,1.99,12762.0,138748.0,132246.68525,653052.0,True,3
JINDALSTEL,1164.0,1.402561198710681,1.99,815.0,10480.0,15862.4999375,41761.0,True,3
UPL,550.55,-4.243847291068804,1.99,748.0,6131.0,23125.0314845,38420.0,True,3
GRASIM,3187.0,-3.0688281273761397,1.89,890.0,12893.0,50761.857875,48066.0,True,3
BANKINDIA,137.79,-2.5737113766527715,1.86,532.0,3303.0,11691.68156,29173.0,True,3
TITAN,4881.0,-3.520389001996409,1.83,1184.0,17929.0,20693.0457475,65879.0,True,3
JUBLFOOD,483.5,-4.54096742349457,1.78,537.0,4567.0,11679.985875,30708.0,True,3
PRESTIGE,1490.0,-8.69538574667566,1.75,426.0,4648.0,13790.26737,24822.0,True,3
SBICARD,637.15,-1.5376294235821426,1.74,854.0,7923.0,15194.1868,50047.0,True,3
IEX,111.95,-9.205190592051904,1.71,558.0,3868.0,9991.72119,33241.0,True,3
DELHIVERY,427.05,-3.3057851239669347,1.7,421.0,5320.0,15339.88321,25214.0,True,3
NESTLEIND,1373.3,-6.660776184326786,1.69,613.0,6134.0,14215.85755,36903.0,True,3
BRITANNIA,4947.0,-6.844929855945768,1.69,705.0,14032.0,21735.3430375,42538.0,True,3
ASHOKLEY,159.67,-7.362497099094931,1.69,1044.0,12521.0,32086.711,62875.0,True,3
TCS,2080.4,-9.744034707158349,1.68,5287.0,91045.0,87874.52391,320471.0,True,3
CUMMINSIND,4979.5,-4.60727969348659,1.68,702.0,4082.0,16935.85574,42459.0,True,3
