symbol,swing_high_20d,swing_low_20d,swing_low_50d,base_high,base_low,base_length_days,breakout_20d_high,volume_20d_avg,volume_ratio_vs_20d,consolidation_atr_pct,pct_from_base_high,bars_available
MPHASIS,2484.0,2192.1001,2121.1001,,,,False,648425.7,0.026,3.164,,5985
MPSLTD,2890.0,1984.9,1740.0,,,,False,162767.8,0.029,5.831,,5983
MRF,135550.0,129550.0,122000.0,,,,False,4432.25,0.083,3.091,,5984
MRPL,183.0,150.25,143.5,,,,False,24660171.25,0.014,4.616,,7680
MSPL,40.3,34.0,34.0,,,,False,722222.6,0.47,4.135,,5195
MSTCLTD,694.95,579.5,436.0,,,,False,284618.95,0.048,5.3,,1820
MSUMI,42.22,38.75,36.32,42.22,38.75,20.0,False,9326651.4,0.066,2.895,-2.89,1081
MTARTECH,7160.0,5194.0,5194.0,,,,False,208216.6,0.616,6.444,,1337
MTEDUCARE,2.12,1.71,1.5,2.12,1.71,20.0,False,30166.8,0.04,2.609,-9.434,3533
MTNL,29.66,26.27,26.27,,,,False,703890.2,0.054,4.378,,7681
MUFIN,136.38,122.05,117.15,,,,False,958945.35,0.018,4.087,,682
MUFTI,89.45,79.6,79.6,,,,False,59222.55,0.175,3.939,,647
MUKANDLTD,148.49,130.78,129.01,,,,False,177634.75,0.028,5.125,,5986
MUKKA,25.0,21.5,21.0,,,,False,206546.55,0.075,4.213,,598
MUKTAARTS,61.38,49.0,49.0,,,,False,3636.2,0.028,3.913,,5984
MUNJALAU,109.5,98.01,85.42,,,,False,490232.35,0.021,4.054,,5680
MUNJALSHOW,147.1,131.9,126.1,,,,False,77430.2,0.075,4.228,,5985
MURUDCERA,32.44,29.3,29.3,32.44,29.3,20.0,False,19718.2,0.01,2.907,-4.439,5487
MUTHOOTCAP,266.0,212.11,190.62,,,,False,31485.3,0.07,5.051,,2705
MUTHOOTFIN,3147.8,2671.0,2671.0,,,,False,1156027.3,0.202,4.554,,3765
MUTHOOTMF,262.77,220.5,171.8,,,,False,1681957.3,0.038,3.676,,647
MVGJL,178.71,153.0,141.35,,,,False,74876.1,0.109,3.737,,703
MVKAGRO,424.0,282.3,282.3,,,,False,84105.0,0.656,7.798,,594
MWL,43.7,34.5,34.5,,,,False,1657976.75,0.083,5.253,,999
NACLIND,245.0,175.0,150.0,,,,False,1705591.55,0.036,6.417,,2308
NAGAFERT,3.04,2.49,2.49,,,,False,59278.5,0.0,19.25,,5951
NAGREEKCAP,24.54,22.0,22.0,24.54,22.0,20.0,False,4363.85,0.004,1.916,-4.319,5086
NAGREEKEXP,24.89,20.1,20.1,,,,False,10576.4,0.008,3.178,,5088
NAHARCAP,293.0,240.0,240.0,,,,True,3554.2,3.693,5.525,,4537
NAHARINDUS,124.0,112.5,112.5,124.0,112.5,20.0,False,9708.4,0.1,2.812,-1.444,5094
NAHARPOLY,289.5,237.95,236.65,,,,False,30018.5,1.504,3.513,,5986
NAHARSPING,348.8,261.0,243.05,,,,True,39165.15,2.941,7.182,,5987
NAMAN,47.9,42.75,42.75,,,,False,4000.0,1.4,4.578,,580
NARMADA,40.04,14.9,14.9,,,,False,3214766.4,0.026,8.317,,2039
NATCAPSUQ,168.9,137.25,137.25,,,,False,21135.45,0.043,3.787,,364
NATCOPHARM,988.95,911.6,839.0,,,,False,335090.45,0.045,3.738,,7681
NATHBIOGEN,169.9,151.32,151.32,,,,False,17031.25,0.129,3.014,,3090
NATIONALUM,385.05,332.0,331.4,,,,False,6873821.65,0.114,5.685,,6813
NATIONSTD,534.2,201.94,201.94,,,,False,8089.35,0.167,21.987,,75
NAUKRI,1277.9,1140.0,949.05,,,,False,1700347.65,0.037,4.061,,4864
NAVA,610.15,547.0,547.0,,,,False,221880.15,0.08,3.878,,5985
NAVINFLUOR,8067.0,7368.0,6786.0,,,,True,135033.55,2.414,3.015,,4734
NAVKARCORP,120.95,98.07,93.41,,,,False,1220506.2,0.013,6.825,,2694
NAVKARURB,1.21,0.89,0.89,,,,False,1200583.35,0.007,4.525,,385
NAVNETEDUL,156.0,125.81,125.81,,,,False,273161.75,0.064,6.725,,5988
NAZARA,355.2,295.3,264.4,,,,False,3243015.25,0.028,5.521,,1327
NBCC,102.47,91.35,91.35,,,,False,6671349.25,0.131,6.175,,3535
NBIFIN,2453.0,1901.0,1607.0,,,,False,6991.65,0.121,5.169,,2389
NCC,147.48,134.1,134.1,,,,False,1345465.2,0.057,3.96,,5956
NCLIND,190.75,169.0,169.0,,,,False,36350.15,0.195,4.922,,4774
NDGL,3200.0,2600.0,2400.0,,,,False,178.8,0.481,5.11,,2453
NDL,2.44,2.26,2.26,,,,False,626747.45,0.056,3.036,,5085
NDLVENTURE,133.4,120.1,119.08,,,,False,13751.3,0.504,3.217,,5983
NDRAUTO,920.0,785.5,771.9,,,,False,14856.6,0.011,5.012,,1493
NDTV,85.0,74.63,74.63,,,,False,152984.95,0.001,6.368,,5495
NEAGI,3254.5,3025.1001,3025.1001,,,,False,20.7,0.048,3.11,,50
NECCLTD,16.35,14.83,14.8,16.35,14.83,20.0,False,25235.3,0.026,2.83,-7.401,2577
NECLIFE,11.39,9.98,9.98,,,,False,96124.3,0.221,3.602,,5197
NELCAST,149.2,113.5,113.5,,,,False,600108.15,0.013,5.086,,4716
NELCO,1026.0,841.2,680.65,,,,False,383205.15,0.018,4.101,,5985
NEOGEN,2374.0,1965.0,1752.0,,,,False,156887.0,0.045,4.251,,1797
NEPHROCARE,73.75,60.0,60.0,,,,False,13480.0,1.009,4.747,,517
NEPHROPLUS,724.85,618.0,596.0,,,,False,146768.3,0.032,4.103,,159
NESCO,1110.0,1001.6,1001.6,,,,False,49880.9,0.028,3.509,,4519
NESTLEIND,1535.9,1405.1,1368.1,,,,False,2498425.4,0.109,3.289,,5958
NETWEB,4973.6001,4115.0,4050.0,,,,True,1123102.35,0.159,4.556,,750
NETWORK18,32.72,27.78,27.78,,,,False,3099454.8,0.032,7.35,,5958
NEUEON,16.44,11.71,11.71,,,,False,41678.3,0.0,10.251,,4394
NEULANDLAB,21882.0,18055.0,16401.0,,,,True,34969.3,3.078,5.33,,4395
NEWGEN,607.0,477.05,435.0,,,,False,6515244.05,0.012,5.294,,2107
NEWJAISA,18.55,13.35,13.35,,,,False,18900.0,0.635,9.707,,698
NEXTMEDIA,4.25,3.71,3.67,4.25,3.71,20.0,False,8250.85,0.001,2.681,-5.647,5983
NFL,74.57,69.1,69.1,,,,False,485534.95,0.285,4.973,,4838
NGIL,42.02,35.71,35.65,42.02,35.71,20.0,False,21824.85,0.001,2.865,-2.427,1228
NGLFINE,3512.2,2953.7,2550.0,,,,True,6278.9,0.27,3.591,,1010
NH,2092.8999,1891.4,1833.6,,,,False,276071.15,0.037,4.176,,2617
NHPC,83.0,77.25,71.62,83.0,77.25,20.0,False,14202466.3,0.079,2.967,-6.157,4180
NIACL,189.37,161.76,145.5,,,,False,2453350.95,0.09,4.684,,2160
NIBE,1647.6,1323.8,1323.8,,,,False,59334.05,0.038,5.898,,371
NIBL,38.1,30.09,28.91,,,,False,62724.9,0.007,3.913,,3285
NIDAN,13.95,12.45,11.5,,,,False,2350.0,1.702,3.652,,1158
NIITLTD,102.4,89.81,67.19,,,,False,623878.1,0.051,3.646,,6117
NIITMTS,257.0,225.03,203.3,,,,False,186161.4,0.05,3.4,,739
NILAINFRA,7.8,7.0,7.0,7.8,7.0,20.0,False,151403.25,0.281,2.995,-3.846,2773
NILASPACES,13.3,11.5,11.5,,,,False,333745.05,0.029,3.642,,1882
NILE,2018.9,1621.1,1621.1,,,,False,6624.35,0.029,4.388,,76
NILKAMAL,1983.5,1277.2,1250.0,,,,False,251444.45,0.009,5.816,,6894
NIMBSPROJ,205.0,179.05,179.05,205.0,179.05,20.0,False,1346.55,0.757,2.753,-7.805,86
NINSYS,915.0,702.0,662.0,,,,False,5877.25,0.005,5.283,,854
NIPPOBATRY,347.1,319.1,319.1,347.1,319.1,20.0,False,2521.5,0.171,2.425,-6.612,5983
NIRAJ,30.59,28.01,27.5,30.59,28.01,20.0,True,29509.0,0.968,2.372,-1.21,1448
NIRAJISPAT,223.6,181.0,181.0,,,,False,60.05,0.033,6.351,,594
NIRLON,657.0,604.6,582.15,,,,False,9188.3,0.246,4.275,,74
NIRMAN,47.65,36.0,36.0,,,,False,36780.0,1.476,4.462,,826
NITCO,114.0,99.8,89.0,,,,False,531762.2,0.033,3.476,,5030
NITINSPIN,584.5,518.45,480.65,,,,False,78431.65,0.07,3.708,,5061
NITIRAJ,227.89,176.05,168.0,,,,False,6740.95,0.009,4.277,,2321
NITTAGELA,2087.2,1620.0,1299.9,,,,False,16795.55,0.01,4.948,,76
NIVABUPA,91.4,83.35,80.69,,,,False,2447422.55,0.003,3.9,,429
NKIND,70.0,54.64,54.64,,,,False,594.05,0.15,3.137,,2556
NLCINDIA,315.4,279.9,279.9,,,,False,1973066.5,0.059,4.963,,6470
NMDC,86.53,81.77,81.77,86.53,81.77,20.0,True,16303823.6,0.159,2.986,0.0,4544
NOCIL,184.0,158.8,154.31,,,,False,1109790.4,0.035,3.886,,5985
NOIDATOLL,4.81,4.21,4.21,4.81,4.21,20.0,False,88992.7,0.01,2.456,-6.653,5870
NORBTEAEXP,74.1,64.3,64.3,74.1,64.3,20.0,False,1655.6,2.019,2.688,-10.0,5982
NORTHARC,334.0,278.6,273.1,,,,False,943312.05,0.009,5.645,,466
NOVAAGRI,24.78,21.7,21.7,,,,False,48101.75,0.02,3.864,,623
NOVARTIND,1780.0,1461.0,1272.1,,,,False,59724.7,0.028,3.949,,866
NPST,1669.4,1489.1,932.8,,,,False,36937.45,0.01,3.265,,1209
NRAIL,563.9,411.2,401.2,,,,True,15504.0,2.243,5.028,,2310
NRBBEARING,466.0,382.4,349.45,,,,False,337722.7,0.4,4.932,,5987
NRL,114.0,95.5,63.16,,,,False,103148.1,0.589,5.931,,1133
NSIL,5749.0,5355.0,5261.0,,,,False,1848.0,0.059,3.25,,5987
NSLNISP,45.24,40.66,40.66,,,,True,2487461.55,0.179,5.196,,856
NTPC,355.0,340.25,340.25,355.0,340.25,20.0,False,9281806.0,0.038,2.526,-2.31,5374
NTPCGREEN,99.6,89.5,89.5,,,,False,9346944.6,0.014,4.328,,423
NUCLEUS,792.0,682.0,682.0,,,,False,44250.65,0.017,5.363,,5861
NURECA,348.0,228.93,224.02,,,,False,87285.1,0.014,6.631,,1347
NUVAMA,2066.0,1651.1,1497.6,,,,False,502955.85,0.024,5.085,,709
NUVOCO,398.0,308.65,300.2,,,,False,4595032.7,0.003,8.862,,1229
NYKAA,348.0,317.05,257.8,,,,False,6715676.65,0.073,3.726,,1175
OAL,400.0,336.55,301.0,,,,False,32654.6,0.008,3.186,,1567
OBCL,55.5,51.35,49.0,55.5,51.35,20.0,False,8478.25,0.527,2.501,-3.604,1070
OBEROIRLTY,1947.9,1778.8,1575.1,,,,False,340285.65,0.145,3.969,,3898
OCCLLTD,183.03,120.0,110.0,,,,False,126122.15,0.789,7.569,,439
ODIGMA,23.85,22.12,20.0,23.85,22.12,20.0,False,10286.55,0.019,2.377,-1.468,410
OFSS,11979.0,9937.0,9050.0,,,,False,465360.65,0.08,4.333,,5987
OIL,465.0,420.8,404.1,,,,False,3074057.2,0.02,3.807,,4161
OILCOUNTUB,61.83,51.49,51.49,,,,False,34037.05,0.074,3.806,,5984
OLAELEC,42.6,36.16,36.16,,,,False,51888440.6,0.125,4.383,,497
OLECTRA,1468.0,1297.2,1166.4,,,,False,291609.55,0.33,5.421,,5985
OLIL,434.0,410.0,403.75,434.0,410.0,20.0,False,4200.0,2.095,2.346,-4.816,695
OMAXAUTO,255.0,177.0,177.0,,,,False,67988.7,0.067,6.699,,5814
OMAXE,101.0,84.35,72.55,,,,False,876142.7,0.022,5.126,,4685
OMFREIGHT,96.4,84.97,76.3,,,,False,9088.5,0.094,3.237,,207
OMFURN,67.45,53.0,52.6,,,,False,18240.0,0.066,9.237,,2173
OMINFRAL,97.84,85.53,78.79,,,,False,265621.05,0.015,3.293,,3734
OMNI,764.85,510.4,434.95,,,,False,872699.3,1.337,6.816,,107
OMPOWER,179.97,158.4,158.4,,,,False,102465.05,0.009,4.136,,80
ONDOOR,285.0,187.2,155.3,,,,False,18885.0,0.143,5.118,,680
ONELIFECAP,39.78,33.75,24.91,39.78,33.75,20.0,False,49414.1,1.282,2.721,-14.153,3651
ONEPOINT,58.59,51.78,51.78,,,,False,804415.0,0.012,4.018,,2129
ONESOURCE,1755.2,1506.1,1506.1,,,,False,306591.85,0.046,3.708,,382
ONGC,254.2,236.09,227.65,,,,False,10819888.8,0.098,4.175,,7680
ONIDA,44.0,36.54,35.0,,,,False,286226.1,0.027,4.623,,5986
ONMOBILE,73.39,58.0,48.06,,,,False,99017.75,0.171,5.861,,4553
ONWARDTEC,308.85,269.35,245.0,,,,False,390298.2,0.085,3.185,,5983
OPTIEMUS,661.0,535.1,384.55,,,,False,281692.4,0.057,4.747,,2224
ORBTEXP,254.0,216.0,167.5,,,,False,13949.05,0.002,3.659,,3147
ORCHASP,1.97,1.47,1.47,,,,False,468668.15,0.012,3.846,,370
ORCHPHARMA,1119.8,951.95,750.9,,,,False,128705.35,0.013,4.757,,5984
ORIANA,1521.0,1342.3,1342.3,,,,False,43440.0,1.013,3.327,,735
ORICONENT,60.5,52.11,52.11,,,,False,47102.6,0.003,3.777,,2726
ORIENTALTL,5.8,5.0,5.0,,,,False,69716.15,0.137,4.164,,4792
ORIENTBELL,332.0,308.05,305.6,332.0,308.05,20.0,False,5987.7,0.305,2.716,-4.714,4806
ORIENTCEM,142.32,130.62,129.07,,,,False,249019.85,0.046,3.284,,3224
ORIENTCER,43.37,39.5,37.11,43.37,39.5,20.0,False,39612.25,0.06,2.954,-4.173,5094
ORIENTELEC,193.95,168.7,168.0,,,,False,1501456.55,0.007,3.406,,2037
ORIENTHOT,148.8,124.45,94.4,,,,False,1149842.5,0.01,3.198,,5985
ORIENTLTD,102.3,67.05,57.1,,,,False,49093.05,0.029,5.882,,5985
ORIENTPPR,19.45,16.5,16.4,,,,False,312853.25,0.06,3.551,,5987
ORIENTTECH,303.4,249.41,242.1,,,,False,1852498.2,0.003,5.769,,485
ORISSAMINE,4525.0,3551.0,3551.0,,,,True,17335.55,0.165,5.743,,3914
ORKLAINDIA,601.95,553.55,553.55,,,,False,69389.0,0.045,3.106,,189
ORTEL,2.13,1.53,1.47,,,,True,11416.65,0.358,5.25,,2812
ORTINGLOBE,17.3,14.0,14.0,,,,False,15075.25,1.559,3.345,,2703
OSIAHYPER,3.28,2.78,2.78,,,,False,342147.6,0.122,3.704,,1804
OSWALAGRO,42.36,36.55,36.55,,,,True,33387.15,0.173,3.251,,1951
OSWALGREEN,22.9,19.8,19.8,22.9,19.8,20.0,False,287370.95,0.134,2.936,-1.048,5985
OSWALPUMPS,416.0,322.5,322.5,,,,False,584844.4,0.068,6.414,,283
OSWALSEEDS,11.17,9.9,9.9,,,,False,43633.75,0.003,3.192,,1998
OWAIS,111.6,95.0,89.45,,,,False,10960.0,3.741,3.785,,598
PACEDIGITK,219.94,191.1,178.0,,,,False,1199409.45,0.669,3.94,,210
PAGEIND,41590.0,39250.0,36585.0,,,,False,23263.3,0.025,3.08,,4784
PAISALO,77.39,67.15,49.34,,,,False,17013621.0,0.043,3.639,,4235
PAKKA,76.7,69.1,69.1,,,,False,49832.55,0.05,3.302,,761
PALASHSECU,94.45,84.5,84.5,,,,False,1631.1,0.722,3.092,,2229
PALREDTEC,55.9,42.6,42.6,,,,False,1699.9,0.942,6.57,,5538
PANACEABIO,576.9,406.4,391.0,,,,False,214650.7,0.033,7.289,,5988
PANACHE,459.0,403.3,332.0,459.0,403.3,20.0,False,8592.95,0.018,2.369,-3.584,2292
PANAMAPET,518.5,409.3,295.8,,,,False,274826.45,0.521,4.17,,3662
PANSARI,388.9,315.25,270.0,,,,False,34338.9,0.035,3.732,,2315
PAR,111.7,87.61,82.9,,,,False,41357.95,0.008,5.092,,1779
PARACABLES,68.6,59.5,57.82,,,,False,995349.45,0.047,3.9,,4835
PARADEEP,159.5,132.9,120.49,,,,False,12896347.9,0.022,4.425,,1040
PARAGMILK,237.14,210.1,210.1,,,,False,350591.4,0.164,3.455,,2528
PARAGON,52.0,46.0,44.1,,,,False,7380.0,0.0,6.154,,679
PARAS,1323.0,1152.4,805.7,,,,False,965872.95,0.065,3.852,,1201
PARASPETRO,2.73,1.96,1.83,,,,True,367693.75,0.204,5.158,,5959
PARIN,748.0,660.0,590.0,,,,False,6650.0,0.451,3.196,,1916
PARKHOSPS,302.8,269.0,251.0,,,,False,945102.5,0.034,3.144,,160
PARKHOTELS,134.79,119.6,111.59,,,,False,156514.6,0.022,4.352,,617
PARSVNATH,2.34,1.68,1.68,,,,False,139910.5,0.088,20.087,,4857
PARTYCRUS,90.05,76.0,76.0,,,,False,5550.0,0.0,9.434,,1327
PASHUPATI,90.95,84.01,84.01,,,,False,45857.1,0.206,3.146,,2201
PASUPTAC,63.48,56.3,56.3,,,,False,48075.85,0.022,3.512,,1193
PATANJALI,415.05,328.2,328.2,,,,False,9283473.85,0.011,9.533,,5985
PATELENG,32.55,26.91,25.63,,,,False,3870111.4,0.035,6.222,,5297
PATELRMART,232.9,212.01,177.2,,,,False,98430.9,0.099,3.372,,237
PATINTLOG,16.1,13.61,12.76,,,,False,54583.6,0.028,4.743,,4578
PAUSHAKLTD,780.6,535.9,428.0,,,,False,129796.25,0.031,6.245,,171
PAVNAIND,19.9,15.61,15.61,,,,False,91854.3,0.023,3.723,,1329
PAYTM,1443.0,1236.5,1014.0,,,,False,3888671.8,0.028,4.614,,1169
PCBL,374.0,304.5,275.7,,,,False,3545757.4,0.031,4.031,,5985
PCCL,302.0,242.2,230.0,,,,False,8040.0,1.841,6.626,,520
PCJEWELLER,10.85,8.98,8.47,,,,False,294740963.4,0.058,5.174,,3361
PDMJEPAPER,101.2,82.31,78.17,,,,False,196044.6,0.055,4.386,,2560
PDSL,418.5,340.35,292.0,,,,False,683847.75,0.003,6.497,,2912
PEARLPOLY,18.49,16.02,16.02,18.49,16.02,20.0,False,5591.8,0.148,2.415,-7.031,5986
PENIND,185.0,160.0,147.5,,,,False,398822.35,0.033,5.811,,3874
PENINLAND,19.25,15.3,14.35,,,,False,104659.7,0.95,11.618,,5987
PENTAGON,54.95,49.15,49.15,,,,False,2100.0,0.0,3.821,,760
PERFECT,8.1,8.1,8.1,,,,True,0.0,,,,2634
PERSISTENT,5698.0,4903.0,4244.5,,,,False,686262.3,0.057,4.709,,4038
PETRONET,285.0,267.35,261.15,285.0,267.35,20.0,False,1612344.0,0.031,2.921,-1.175,5534
PFC,431.4,399.75,399.0,,,,False,5528870.85,0.03,3.885,,4801
PFIZER,4934.2998,4502.6001,4360.1001,,,,False,30334.8,0.024,4.368,,5984
PFOCUS,311.0,256.0,202.54,,,,False,851814.9,0.03,4.29,,4969
PFS,31.4,27.37,27.37,,,,False,499144.1,0.066,5.303,,3789
PGEL,632.5,561.4,457.0,,,,False,1985376.75,0.088,3.481,,3667
PGHH,9070.0,8419.0,8419.0,,,,False,20842.8,0.034,3.676,,5955
PGHL,6975.0,6405.5,5921.5,,,,False,15891.1,0.009,3.734,,5983
PGIL,2198.5,1921.1,1595.1,,,,False,86266.45,1.524,3.575,,4805
PGINVIT,102.0,96.4,92.29,,,,False,1829062.7,0.652,4.579,,1296
PHANTOMFX,197.9,165.05,165.0,,,,False,13725.0,0.831,4.143,,934
PHOENIXLTD,2169.8,1877.3,1675.0,,,,False,691768.75,0.03,5.877,,4760
PICCADIL,799.2,654.8,558.15,,,,False,292287.25,0.043,5.375,,275
PIDILITIND,1665.0,1537.1,1430.0,,,,False,1200369.75,0.083,3.53,,5985
PIGL,119.46,100.6,88.05,,,,False,72412.45,0.021,3.993,,2039
PIIND,2845.0,2527.0,2527.0,,,,False,185862.65,0.014,5.427,,3737
PILANIINVS,4520.0,4230.0,4168.1001,,,,False,1126.9,0.023,4.041,,3645
PILITA,9.37,8.26,7.72,9.37,8.26,20.0,False,56445.75,0.018,2.746,-7.471,5952
PINELABS,163.99,138.29,138.29,,,,False,20557895.65,0.022,3.923,,183
PIONEEREMB,27.35,21.4,21.4,,,,False,23649.8,0.006,4.45,,4994
PIONRINV,112.42,77.01,77.01,,,,False,24518.15,0.035,5.219,,75
