symbol,close,rsi,adx,tech_rating,perf_1m,above_sma200,score
BHARTIARTL,1959.9,57.30902154652764,25.7560579023663,Strong buy,2.558869701726849,True,6
JFLLIFE,13.65,69.98105240209304,47.8489641525964,Strong buy,19.21397379912665,True,6
BAJFINANCE,1078.0,53.15141901526857,31.72858286496881,Buy,5.170731707317073,True,6
SUNPHARMA,1945.0,51.945774308698944,29.597036015256457,Buy,2.153361344537815,True,6
TITAN,4941.0,68.09543197991044,47.55528307378384,Buy,7.637678633670277,True,6
SREEL,216.53,52.75571784017515,36.1696630542707,Buy,4.050937049495438,True,6
SIGMA,46.37,59.043435139569134,31.384812319503503,Buy,20.441558441558435,True,6
BATLIBOI,91.13,56.45038499395389,33.679554822416485,Buy,9.79518072289156,True,6
UGARSUGAR,45.0,62.18301236826581,27.76981552982372,Buy,8.958837772397102,True,6
PLASTIBLEN,197.69,61.18821032872441,26.71735480712552,Buy,9.88271913734645,True,6
KANPRPLA,209.09,53.4059352092544,29.549270590385674,Buy,6.678571428571431,True,6
UNIVASTU,134.75,66.95662667432563,59.69049179212308,Buy,39.34850051706307,True,6
UNIVPHOTO,471.7,63.64947176848774,35.71507747088534,Buy,35.52650481252693,True,6
MANCREDIT,240.09,54.528833204824224,33.09185805357279,Buy,2.1616101442491864,True,6
IWARE,471.0,56.00326796079936,31.85436749593176,Buy,22.816166883963493,True,6
NAHARINDUS,127.72,69.82845490553827,26.877576883143544,Strong buy,11.060869565217391,True,6
SAYAJIHOTL,325.45,66.78783745177341,30.31588413605762,Strong buy,6.530278232405888,True,6
HITECHCORP,322.3,60.8070996815082,46.52115693695201,Strong buy,2.4638372277857257,True,6
BLUEWATER,424.95,57.82301818750676,44.84254937607477,Buy,30.773965225419296,True,6
PROV,1720.0,60.92810892878914,28.980108926680003,Strong buy,1.1764705882352942,True,6
PRIMO,23.96,52.26685590075104,27.70455487123545,Strong buy,0.7569386038687961,True,6
MANAKSTEEL,84.43,64.16211750462611,25.197545620183497,Buy,3.08913308913309,True,6
ABB,7600.0,59.80961694745614,29.809292843539087,Buy,10.00940869942824,True,6
TATACAP,370.3,58.84559470985623,27.936444938887707,Buy,5.800000000000003,True,6
TECHM,1635.0,65.0778751500004,27.27513873785904,Buy,13.462873004857736,True,6
