symbol,fut_volume,opt_volume,tot_volume,fut_turnover,opt_turnover,tot_turnover,latest_oi,underlying_value
NYKAA,217,1157,1374,2287.7453125,1251855406.25,2497.393125,15936,338.2
UNITDSPR,402,1656,2058,2315.9916,984801184.0,2418.40344,28679,1433.7
CROMPTON,453,2361,2814,2231.416845,1218496031.0,2406.692155,52509,229.02
INDIANB,245,1959,2204,2133.2979,1776525830.0,2359.0562,20954,865.75
KPITTECH,473,2900,3373,2055.7887925,1318038849.75,2297.62979,28972,558.7
PNBHOUSING,275,1144,1419,2106.23842,899122822.0,2254.86664,20741,1175.5
SUZLON,337,2264,2601,1960.27294,1385190016.0,2245.3981,57575,45.5
HINDPETRO,287,1624,1911,2064.011625,1199894026.5,2229.8694525,32250,354.1
ICICIGI,420,2575,2995,2043.9973125,1300396639.75,2225.54371,31634,1486.6
IOC,301,2282,2583,1990.752075,1551511601.25,2193.0055875,44604,134.86
HYUNDAI,342,802,1144,2071.134065,500816335.25,2149.4824175,23145,2209.2
PRESTIGE,282,1420,1702,1958.98041,1033269088.5,2137.331295,21168,1543.3
CAMS,309,2133,2442,1872.0100575,1371373253.25,2015.89509,22465,732.3
HDFCAMC,244,1895,2139,1792.63671,1436971764.0,1971.00435,35394,2442.4
PATANJALI,513,626,1139,1887.48027,239596989.0,1930.22141,42415,342.0
JSWENERGY,304,2046,2350,1733.054155,1216004535.75,1885.8870125,35853,527.8
COLPAL,340,2130,2470,1707.879635,1102449009.75,1854.8547325,40699,1822.6
KFINTECH,333,803,1136,1765.8602475,448409535.25,1840.0506,18742,923.0
FORCEMOT,367,2875,3242,1620.3227725,1367405265.25,1819.625425,17888,17643.0
UPL,216,942,1158,1688.6947659999998,754286156.25,1792.6063285,33096,573.55
RADICO,256,1107,1363,1715.689305,727039057.5,1790.72988,12026,4427.7
NAM-INDIA,208,1634,1842,1547.553875,1266046412.5,1771.518,18152,1190.9
IREDA,286,1594,1880,1421.21381,889617669.75,1743.1942575,42709,112.22
ALKEM,235,1929,2164,1522.59925,1268030425.0,1701.091,18323,5160.0
INDHOTEL,222,1134,1356,1598.0915,838044470.0,1700.5362,38273,718.1
