symbol,sector,industry,nifty_sector_index,sector_match_basis,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
SALONA,Process Industries,Textiles,,unmapped,0.975329890992546,-3.2931609216454847,-0.07,-3.51,,1.05,0.22,
SPECTSTM,Commercial Services,Personnel Services,,unmapped,0.5025125628140655,-4.0,-0.07,-3.51,,0.57,-0.49,
KRITIKA,Producer Manufacturing,Metal Fabrication,NIFTY_INFRA,industry,-5.494505494505491,-7.360861759425496,-0.07,-3.51,0.0,-5.42,-3.85,-7.36
TIPSFILMS,Consumer Services,Movies/Entertainment,NIFTY_FMCG,sector,0.6364483079788744,-7.925010651896048,-0.07,-3.51,0.0,0.71,-4.42,-7.93
AERON,Producer Manufacturing,Miscellaneous Manufacturing,NIFTY_INFRA,sector,-4.117647058823529,8.01855533465871,-0.07,-3.51,0.0,-4.05,11.53,8.02
GENXAI,Technology Services,Packaged Software,NIFTY_IT,industry,-5.552128315854411,-2.731893265565445,-0.07,-3.51,-6.31,-5.48,0.78,3.58
CALSOFT,Technology Services,Information Technology Services,NIFTY_IT,industry,11.793478260869575,58.59676175790285,-0.07,-3.51,-6.31,11.86,62.11,64.91
VINOD,Process Industries,Textiles,,unmapped,-14.202127659574463,-14.202127659574463,-0.07,-3.51,,-14.13,-10.69,
BRNL,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,-5.058823529411761,-6.974063400576373,-0.07,-3.51,0.0,-4.99,-3.46,-6.97
LLOYDS,Retail Trade,Specialty Stores,NIFTY_FMCG,sector,-0.5982905982906007,-7.917656373713381,-0.07,-3.51,0.0,-0.53,-4.41,-7.92
RAJINDLTD,Non-Energy Minerals,Other Metals/Minerals,NIFTY_METAL,industry,-1.125401929260455,-12.9511677282378,-0.07,-3.51,0.0,-1.06,-9.44,-12.95
HPIL,Process Industries,Chemicals: Specialty,,unmapped,-1.5570358034970777,-8.348837209302323,-0.07,-3.51,,-1.49,-4.84,
FONEBOX,Retail Trade,Electronics/Appliance Stores,NIFTY_FMCG,sector,10.4,45.72333685322069,-0.07,-3.51,0.0,10.47,49.23,45.72
AARNAV,Finance,Investment Banks/Brokers,NIFTY_FIN_SERVICE,industry,1.2424445936870296,-10.53412462908013,-0.07,-3.51,0.0,1.31,-7.02,-10.53
GVPTECH,Commercial Services,Miscellaneous Commercial Services,,unmapped,-10.3030303030303,7.558139534883727,-0.07,-3.51,,-10.23,11.07,
AIROLAM,Non-Energy Minerals,Forest Products,NIFTY_METAL,sector,0.2842524161455372,-1.7270194986072391,-0.07,-3.51,0.0,0.35,1.78,-1.73
SIDDHIKA,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,-8.595744680851059,-0.3710575139146488,-0.07,-3.51,0.0,-8.53,3.14,-0.37
KEYFINSERV,Finance,Investment Banks/Brokers,NIFTY_FIN_SERVICE,industry,-3.500700140028006,-11.30722559293988,-0.07,-3.51,0.0,-3.43,-7.8,-11.31
MAGNUM,Process Industries,Pulp & Paper,,unmapped,-0.0513083632632017,-0.1025641025641003,-0.07,-3.51,,0.02,3.41,
VITAL,Process Industries,Chemicals: Specialty,,unmapped,-1.5895695659939284,4.972375690607733,-0.07,-3.51,,-1.52,8.48,
ROCKINGDCE,Distribution Services,Wholesale Distributors,,unmapped,0.653153153153148,18.541114058355436,-0.07,-3.51,,0.72,22.05,
PREMCO,Process Industries,Textiles,,unmapped,0.4918457157649436,-0.9693877551020436,-0.07,-3.51,,0.56,2.54,
DEVIT,Technology Services,Information Technology Services,NIFTY_IT,industry,-5.737373737373744,-5.927419354838719,-0.07,-3.51,-6.31,-5.67,-2.42,0.38
BTML,Consumer Services,Movies/Entertainment,NIFTY_FMCG,sector,-6.290115532734277,-6.530089628681176,-0.07,-3.51,0.0,-6.22,-3.02,-6.53
MUKTAARTS,Technology Services,Packaged Software,NIFTY_IT,industry,2.142857142857148,2.5273346477863483,-0.07,-3.51,-6.31,2.21,6.04,8.84
SADBHAV,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,-5.334987593052116,-8.072289156626516,-0.07,-3.51,0.0,-5.26,-4.56,-8.07
EMMIL,Producer Manufacturing,Industrial Machinery,NIFTY_INFRA,industry,1.522842639593906,-2.4390243902439024,-0.07,-3.51,0.0,1.59,1.07,-2.44
WINSOL,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,-6.826086956521734,-5.176991150442473,-0.07,-3.51,0.0,-6.76,-1.67,-5.18
BALAXI,Distribution Services,Medical Distributors,,unmapped,0.3418803418803497,4.82142857142858,-0.07,-3.51,,0.41,8.33,
CORALFINAC,Finance,Investment Managers,NIFTY_FIN_SERVICE,industry,0.0,-3.735803945008966,-0.07,-3.51,0.0,0.07,-0.23,-3.74
JOCIL,Process Industries,Chemicals: Specialty,,unmapped,-3.7713299249717855,-1.004098360655737,-0.07,-3.51,,-3.7,2.51,
GATECHDVR,Finance,Investment Banks/Brokers,NIFTY_FIN_SERVICE,industry,0.0,-9.259259259259268,-0.07,-3.51,0.0,0.07,-5.75,-9.26
GATECH,Finance,Investment Banks/Brokers,NIFTY_FIN_SERVICE,industry,4.109589041095894,-16.483516483516485,-0.07,-3.51,0.0,4.18,-12.97,-16.48
STEELCITY,Finance,Investment Banks/Brokers,NIFTY_FIN_SERVICE,industry,-6.455142231947489,5.178988805511125,-0.07,-3.51,0.0,-6.39,8.69,5.18
LAGNAM,Process Industries,Textiles,,unmapped,-0.730732110850684,-6.493506493506493,-0.07,-3.51,,-0.66,-2.98,
ONELIFECAP,Finance,Investment Managers,NIFTY_FIN_SERVICE,industry,5.843749999999992,0.5641330166270716,-0.07,-3.51,0.0,5.91,4.07,0.56
AKSHOPTFBR,Electronic Technology,Telecommunications Equipment,NIFTY_IT,sector,-9.005847953216378,12.103746397694522,-0.07,-3.51,-6.31,-8.94,15.61,18.41
ALPA,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,-4.640076275226445,-5.287247474747477,-0.07,-3.51,2.44,-4.57,-1.78,-7.73
SHIGAN,Electronic Technology,Electronic Equipment/Instruments,NIFTY_IT,sector,-4.615384615384615,2.9900332225913573,-0.07,-3.51,-6.31,-4.55,6.5,9.3
SURANASOL,Electronic Technology,Semiconductors,NIFTY_IT,sector,1.137254901960781,0.194250194250197,-0.07,-3.51,-6.31,1.21,3.7,6.5
SUPREME,Finance,Real Estate Development,NIFTY_REALTY,industry,-5.364431486880457,-17.40458015267175,-0.07,-3.51,0.0,-5.29,-13.89,-17.4
ENFUSE,Technology Services,Information Technology Services,NIFTY_IT,industry,-10.094936708860752,-21.08333333333333,-0.07,-3.51,-6.31,-10.02,-17.57,-14.77
OSWALSEEDS,Process Industries,Agricultural Commodities/Milling,,unmapped,-7.600000000000004,5.319148936170207,-0.07,-3.51,,-7.53,8.83,
RUCHINFRA,Transportation,Other Transportation,,unmapped,-13.70106761565837,-17.517006802721095,-0.07,-3.51,,-13.63,-14.01,
ANIKINDS,Distribution Services,Wholesale Distributors,,unmapped,-3.913043478260864,-2.0824102791315857,-0.07,-3.51,,-3.84,1.43,
LKPSEC,Finance,Investment Banks/Brokers,NIFTY_FIN_SERVICE,industry,-4.890282131661439,-16.648351648351646,-0.07,-3.51,0.0,-4.82,-13.14,-16.65
INDIANCARD,Producer Manufacturing,Industrial Machinery,NIFTY_INFRA,industry,-2.271320413313643,-2.457107551922431,-0.07,-3.51,0.0,-2.2,1.05,-2.46
URAVIDEF,Producer Manufacturing,Electrical Products,NIFTY_INFRA,industry,-6.521739130434782,-5.37804770706804,-0.07,-3.51,0.0,-6.45,-1.87,-5.38
PROFX,Distribution Services,Wholesale Distributors,,unmapped,2.2286125089863367,-12.760736196319025,-0.07,-3.51,,2.3,-9.25,
DIGJAMLMTD,Process Industries,Textiles,,unmapped,-5.426356589147287,18.331716779825417,-0.07,-3.51,,-5.36,21.84,
ENVIRO,Producer Manufacturing,Industrial Machinery,NIFTY_INFRA,industry,-3.4965034965034967,-5.219780219780216,-0.07,-3.51,0.0,-3.43,-1.71,-5.22
ALUWIND,Producer Manufacturing,Building Products,NIFTY_INFRA,sector,3.3333333333333277,4.456521739130428,-0.07,-3.51,0.0,3.4,7.97,4.46
LAMBODHARA,Process Industries,Textiles,,unmapped,-9.63440545094879,14.596302146241763,-0.07,-3.51,,-9.56,18.11,
WHBRADY,Producer Manufacturing,Industrial Machinery,NIFTY_INFRA,industry,-1.642561983471072,-5.881771451166469,-0.07,-3.51,0.0,-1.57,-2.37,-5.88
KREBSBIO,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,-10.001590077913816,3.8532110091743146,-0.07,-3.51,2.44,-9.93,7.36,1.41
SURANI,Non-Energy Minerals,Steel,NIFTY_METAL,industry,0.0,6.489184692179694,-0.07,-3.51,0.0,0.07,10.0,6.49
ROML,Process Industries,Agricultural Commodities/Milling,,unmapped,-5.565905915230556,-10.761443661971834,-0.07,-3.51,,-5.5,-7.25,
VIJAYPD,Distribution Services,Medical Distributors,,unmapped,1.6129032258064515,13.513513513513514,-0.07,-3.51,,1.68,17.02,
