index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,25-Aug-2026,24231.85,2535636,2787119,1.1,24250,9.84
BANKNIFTY,25-Aug-2026,57495.9,595125,484519,0.81,57600,11.45
