symbol,date,prev_close,close,ttl_traded_qty,deliv_qty,deliv_pct,turnover_lacs,no_of_trades
MINDACORP,2026-08-28,690.65,702.8,348343,149960,43.05,2445.04,19417
CONFIPET,2026-08-28,79.01,79.87,1407583,605801,43.04,1121.37,8590
MOTILALOFS,2026-08-28,1038.1,1038.3,554756,238731,43.03,5780.14,25070
INDIGO,2026-08-28,5189.0,5166.0,257496,110786,43.02,13302.54,24501
ELIN,2026-08-28,100.64,104.88,965462,415289,43.01,1003.83,8830
SIGMA,2026-08-28,47.54,47.25,223885,96215,42.98,107.81,1810
BLS,2026-08-28,238.07,239.03,890636,382619,42.96,2127.31,17695
AMAGI,2026-08-28,578.45,570.8,184757,79345,42.95,1056.7,8251
ALLDIGI,2026-08-28,797.2,813.65,3998,1717,42.95,32.29,372
FERMENTA,2026-08-28,486.25,509.9,198787,85319,42.92,1014.18,10042
SENCO,2026-08-28,362.75,354.85,639082,273909,42.86,2281.05,15080
MANINFRA,2026-08-28,115.46,122.81,7397297,3170053,42.85,8955.33,34460
RTNPOWER,2026-08-28,7.83,7.95,17525647,7508478,42.84,1386.86,11865
RPOWER,2026-08-28,22.71,22.45,10849559,4647985,42.84,2447.41,22113
INSECTICID,2026-08-28,567.1,598.5,125263,53633,42.82,742.83,6790
TIMEX,2026-08-28,624.05,653.75,384200,164163,42.73,2481.59,18412
WPIL,2026-08-28,448.65,447.75,19718,8424,42.72,88.48,1145
BEML,2026-08-28,1920.6,1984.9,494559,211205,42.71,9744.42,39282
LXCHEM,2026-08-28,167.47,171.34,563267,240389,42.68,962.1,7786
THANGAMAYL,2026-08-28,5502.0,5440.5,280954,119876,42.67,15278.0,18193
BAJAJCON,2026-08-28,450.6,477.45,1407453,600088,42.64,6631.78,28964
GICL,2026-08-28,23.34,23.73,97474,41520,42.6,22.91,291
OPTIEMUS,2026-08-28,576.45,579.6,233808,99568,42.59,1376.78,13324
GPIL,2026-08-28,240.33,239.85,837487,356545,42.57,2024.34,13764
INNOVACAP,2026-08-28,1021.55,1055.1,41828,17803,42.56,438.44,6125
KITEX,2026-08-28,129.86,128.4,295487,125768,42.56,378.72,3874
NEULANDLAB,2026-08-28,23496.0,23205.0,38996,16597,42.56,9128.74,15250
UNIPARTS,2026-08-28,808.3,873.15,467444,198762,42.52,3999.45,22529
AVANTIFEED,2026-08-28,844.45,826.75,415922,176750,42.5,3443.55,23086
FINEORG,2026-08-28,5258.2,5282.5,23657,10053,42.49,1244.49,9659
GREENLAM,2026-08-28,243.25,246.35,84116,35639,42.37,206.66,2705
INGERRAND,2026-08-28,4609.4,4860.2,123159,52177,42.37,5915.28,22921
PONNIERODE,2026-08-28,382.0,396.95,38255,16195,42.33,150.66,2618
AEGISVOPAK,2026-08-28,263.5,269.9,588121,248904,42.32,1581.61,11497
ZUARI,2026-08-28,230.83,240.76,408824,172812,42.27,980.88,6960
SAYAJIHOTL,2026-08-28,332.0,315.7,956,404,42.26,3.32,75
CSM,2026-08-28,97.14,97.4,40209,16950,42.15,39.15,808
HBLENGINE,2026-08-28,665.75,674.1,573296,241547,42.13,3858.24,19610
ARVSMART,2026-08-28,652.65,661.4,88204,37161,42.13,577.77,4112
ENGINERSIN,2026-08-28,246.96,253.72,4342151,1829391,42.13,10965.03,63553
MMTC,2026-08-28,63.51,63.07,1025217,431937,42.13,648.89,6273
SUVEN,2026-08-28,368.1,364.95,211420,89021,42.11,769.73,6450
BURNPUR,2026-08-28,14.69,16.15,494712,208255,42.1,79.43,1124
GODREJPROP,2026-08-28,2069.4,2029.1,329143,138509,42.08,6753.48,20174
TCIEXP,2026-08-28,558.35,555.8,31370,13186,42.03,174.69,2875
KECL,2026-08-28,129.87,134.83,263151,110548,42.01,355.43,3512
SUDARSCHEM,2026-08-28,1252.8,1256.9,234717,98567,41.99,2928.89,20072
AVADHSUGAR,2026-08-28,804.55,830.05,170865,71737,41.98,1412.03,6229
CARBORUNIV,2026-08-28,1103.2,1116.8,85151,35749,41.98,940.14,8581
CEATLTD,2026-08-28,3510.6,3511.5,33013,13844,41.93,1163.13,7265
ADANIENT,2026-08-28,3169.0,3168.5,530795,222535,41.92,16731.47,39519
IRCON,2026-08-28,123.04,122.4,834876,349723,41.89,1027.12,11487
MOL,2026-08-28,60.29,60.94,885447,370795,41.88,540.65,4082
MANIPALHOS,2026-08-28,797.95,771.65,2108677,882346,41.84,16588.11,54864
JINDRILL,2026-08-28,630.55,628.2,106924,44698,41.8,674.25,4968
BECTORFOOD,2026-08-28,238.12,232.87,1011561,422736,41.79,2383.76,17253
ARIHANTCAP,2026-08-28,78.62,79.39,192228,80303,41.77,150.76,1401
PPLPHARMA,2026-08-28,214.95,218.68,5418446,2263549,41.77,11818.51,47935
OIL,2026-08-28,469.85,482.85,1907538,796414,41.75,9159.92,27334
JPPOWER,2026-08-28,16.92,16.82,19545803,8159047,41.74,3290.84,90341
AARTIPHARM,2026-08-28,813.5,840.7,278187,115783,41.62,2317.46,15849
FRACTAL,2026-08-28,840.25,844.3,479939,199572,41.58,4066.27,20207
ALBERTDAVD,2026-08-28,890.25,898.6,20164,8378,41.55,181.35,1842
SHAH,2026-08-28,3.78,3.74,10826338,4494613,41.52,411.36,3297
COCHINSHIP,2026-08-28,1543.0,1535.0,412702,170942,41.42,6335.57,17338
BRIGADE,2026-08-28,656.75,642.25,249374,103283,41.42,1613.53,12265
PRECAM,2026-08-28,125.8,126.33,182688,75648,41.41,230.95,3912
ANANTRAJ,2026-08-28,605.25,606.15,616038,255024,41.4,3738.03,18116
UNIVCABLES,2026-08-28,1607.3,1693.2,333702,138119,41.39,5572.53,26236
NARMADA,2026-08-28,13.87,13.96,400153,165572,41.38,55.76,1102
CSBBANK,2026-08-28,348.8,336.3,585124,242098,41.38,2002.94,16994
ORIENTCER,2026-08-28,45.29,46.6,128190,53011,41.35,59.45,2732
DCI,2026-08-28,413.85,410.05,1492745,617021,41.33,6452.33,39920
RVNL,2026-08-28,216.0,214.22,2941255,1214671,41.3,6334.47,31709
KROSS,2026-08-28,215.11,213.99,287407,118674,41.29,620.16,5656
INOXWIND,2026-08-28,72.0,71.79,7058151,2908849,41.21,5056.5,28457
LUXIND,2026-08-28,1201.0,1199.5,22393,9216,41.16,269.64,2724
VOGL,2026-08-28,41.98,40.32,50083778,20593200,41.12,20586.28,84956
ALPINETEX,2026-08-28,55.67,55.16,201803,82876,41.07,112.1,2329
MAHSCOOTER,2026-08-28,13564.0,13696.0,5667,2326,41.04,778.77,1873
SAGILITY,2026-08-28,44.27,46.34,60764265,24937425,41.04,27843.32,95538
VMM,2026-08-28,108.0,107.0,5132761,2105801,41.03,5517.69,32508
RRKABEL,2026-08-28,2830.1,2905.2,629274,257929,40.99,18205.68,47503
AZADIND,2026-08-28,96.8,93.5,49897,20452,40.99,45.63,686
SESHAPAPER,2026-08-28,230.11,229.61,18457,7562,40.97,42.45,619
KWIL,2026-08-28,46.35,45.55,18050967,7394470,40.96,8370.85,34208
VINCOFE,2026-08-28,174.65,177.97,4029164,1649681,40.94,7190.2,37036
RATNAMANI,2026-08-28,2654.8,2611.1,48237,19742,40.93,1273.18,12093
ARIES,2026-08-28,490.65,484.3,54489,22300,40.93,264.52,2404
ELECTCAST,2026-08-28,78.99,81.5,3779745,1546747,40.92,3058.58,18271
MANALIPETC,2026-08-28,70.8,73.36,688296,281663,40.92,499.89,6679
GREAVESCOT,2026-08-28,191.17,194.41,884651,361810,40.9,1720.67,9284
HINDZINC,2026-08-28,610.1,622.0,6227595,2545503,40.87,38399.34,66474
NATIONALUM,2026-08-28,389.3,394.95,1868958,762855,40.82,7333.89,26440
HITECH,2026-08-28,77.93,82.05,1162242,473808,40.77,940.12,8392
BUTTERFLY,2026-08-28,627.75,633.15,26089,10636,40.77,166.58,1899
CAPACITE,2026-08-28,223.16,217.33,385660,157193,40.76,843.07,7297
GOODLUCK,2026-08-28,432.8,449.9,539784,219650,40.69,2399.81,14949
VADILALIND,2026-08-28,7444.5,7900.0,43027,17509,40.69,3357.43,11527
GULPOLY,2026-08-28,193.09,192.73,105481,42899,40.67,203.49,2161
NAZARA,2026-08-28,354.5,374.6,8037749,3267812,40.66,29830.5,76176
MAZDOCK,2026-08-28,2588.0,2555.0,388879,158128,40.66,9961.44,20107
GRAPHITE,2026-08-28,683.0,696.0,930045,378110,40.66,6490.97,36210
BBOX,2026-08-28,739.0,745.9,139959,56811,40.59,1044.71,8770
UGARSUGAR,2026-08-28,50.7,54.13,801341,324880,40.54,424.58,6156
ALKYLAMINE,2026-08-28,2045.0,2047.9,43006,17421,40.51,886.89,6393
HEG,2026-08-28,710.2,737.35,2665306,1079565,40.5,19575.04,49201
STUDDS,2026-08-28,450.25,450.0,18936,7670,40.5,85.28,1142
FINCABLES,2026-08-28,1291.15,1297.9,443359,179457,40.48,5742.21,21204
SAMBHV,2026-08-28,124.14,127.41,1060636,428831,40.43,1341.09,9819
GOCOLORS,2026-08-28,334.5,335.65,47026,19002,40.41,158.66,1570
INDUSTOWER,2026-08-28,379.95,380.0,1536497,620452,40.38,5876.24,33128
SENORES,2026-08-28,1474.6,1482.1,84500,34064,40.31,1250.0,7007
RELIABLE,2026-08-28,138.94,139.75,51546,20755,40.27,72.1,605
PANACEABIO,2026-08-28,393.25,395.5,89332,35946,40.24,356.0,2909
BLUESTARCO,2026-08-28,1497.0,1480.0,292190,117571,40.24,4325.31,18226
ARIS,2026-08-28,143.89,151.31,5643850,2270282,40.23,8483.93,30342
EXIDEIND,2026-08-28,437.75,444.6,6027670,2421176,40.17,27113.19,80903
ASIANENE,2026-08-28,492.7,480.8,701493,281661,40.15,3498.81,20552
NPST,2026-08-28,1638.8,1701.1,61681,24746,40.12,1051.49,8206
KPL,2026-08-28,3267.1,3314.3,18523,7429,40.11,611.12,3004
NILKAMAL,2026-08-28,2081.6,2071.9,21838,8757,40.1,453.72,3119
MARINE,2026-08-28,374.1,406.8,2596284,1040818,40.09,10331.1,54541
PIGL,2026-08-28,101.85,102.14,14912,5974,40.06,15.25,743
JWL,2026-08-28,247.0,245.1,606055,242737,40.05,1490.49,11953
TARIL,2026-08-28,304.15,303.45,729621,291916,40.01,2220.56,14065
VINDHYATEL,2026-08-28,2530.5,2585.5,51176,20470,40.0,1313.6,6188
63MOONS,2026-08-28,745.45,776.4,242493,96845,39.94,1875.34,10165
BEPL,2026-08-28,121.43,123.52,979785,391190,39.93,1213.08,7786
URBANCO,2026-08-28,167.36,168.41,8658242,3457579,39.93,14673.79,61759
APEX,2026-08-28,383.45,381.25,67352,26836,39.84,257.43,2616
THOMASCOOK,2026-08-28,110.06,108.43,841847,335069,39.8,918.38,11241
RAMCOCEM,2026-08-28,892.55,895.65,243570,96786,39.74,2169.91,16700
MMFL,2026-08-28,625.8,641.7,173695,68970,39.71,1114.21,8603
TVSSRICHAK,2026-08-28,5244.5,5292.3,20685,8200,39.64,1084.72,3642
SUPRIYA,2026-08-28,776.35,804.15,230999,91561,39.64,1843.71,13703
TCS,2026-08-28,2248.4,2342.0,4054069,1604350,39.57,94377.54,155502
IZMO,2026-08-28,829.6,848.45,71967,28455,39.54,612.02,5524
SUPREMEIND,2026-08-28,3585.0,3636.9,269330,106457,39.53,9877.28,39028
GANESHCP,2026-08-28,163.49,174.15,542827,214522,39.52,953.09,8850
FINOPB,2026-08-28,143.06,141.57,109487,43246,39.5,155.8,1986
TRIVENI,2026-08-28,282.21,283.82,792373,312211,39.4,2245.09,17171
MANCREDIT,2026-08-28,229.52,247.65,437371,172151,39.36,1052.55,3421
EXXARO,2026-08-28,6.19,7.41,12072793,4746291,39.31,890.79,6423
KRBL,2026-08-28,433.55,437.65,829333,325542,39.25,3616.07,14224
POCL,2026-08-28,511.3,509.2,380141,148846,39.16,1922.15,9924
HINDCOPPER,2026-08-28,536.3,533.55,10119066,3962318,39.16,53977.8,112591
DATAMATICS,2026-08-28,790.8,791.9,54584,21357,39.13,435.22,3358
APARINDS,2026-08-28,17900.0,17803.0,120837,47239,39.09,21382.76,33923
KIOCL,2026-08-28,382.8,386.55,44120,17240,39.08,170.24,1836
JINDALSAW,2026-08-28,310.25,308.6,1154109,450809,39.06,3555.55,19347
EBGNG,2026-08-28,580.25,635.1,1346148,525631,39.05,8374.21,31132
TATAELXSI,2026-08-28,3633.2,3685.0,303505,118301,38.98,11178.24,25286
EMSLIMITED,2026-08-28,381.1,377.85,86423,33675,38.97,327.16,2783
ZEEMEDIA,2026-08-28,8.61,8.93,4361082,1697909,38.93,390.49,6650
BLKASHYAP,2026-08-28,56.47,58.57,2938216,1143099,38.9,1741.08,15238
