index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,22-Sep-2026,23308.4,3396765,3122375,0.92,23300,10.13
BANKNIFTY,29-Sep-2026,56148.6,611281,518654,0.85,57000,14.59
