symbol,swing_high_20d,swing_low_20d,swing_low_50d,base_high,base_low,base_length_days,breakout_20d_high,volume_20d_avg,volume_ratio_vs_20d,consolidation_atr_pct,pct_from_base_high,bars_available
20MICRONS,233.53,194.05,182.0,,,,False,217446.55,0.21,4.465,,4428
21STCENMGM,44.62,37.36,31.02,,,,False,4156.5,0.032,7.103,,2147
360ONE,1219.8,1037.1,1037.1,,,,False,711714.25,0.729,6.464,,1736
3BBLACKBIO,1588.9,1191.4,1099.5,,,,False,20798.55,0.325,5.464,,107
3IINFOLTD,26.0,21.7,18.0,,,,False,264465.65,1.587,4.729,,5288
3MINDIA,34840.0,31500.0,31500.0,,,,False,3728.9,2.156,3.753,,6013
3PLAND,33.97,28.51,28.51,,,,False,3956.35,0.182,3.537,,4567
5PAISA,385.55,307.2,307.2,,,,False,44306.0,0.482,6.618,,2187
63MOONS,945.0,739.1,677.0,,,,False,408303.4,0.567,4.984,,5248
A2ZINFRA,17.12,14.56,12.0,,,,False,326914.85,0.133,3.545,,3885
AAATECH,98.4,83.8,83.8,,,,False,44441.25,2.415,4.949,,1449
AADHARHFC,488.0,440.15,440.15,,,,False,391437.7,5.557,3.492,,586
AAKASH,9.98,8.18,8.06,,,,False,120319.55,0.649,4.058,,2065
AAREYDRUGS,103.5,74.6,73.41,,,,False,253743.8,1.142,6.459,,1267
AARNAV,35.39,28.32,24.5,,,,False,12378.2,0.252,3.929,,139
AARON,142.0,115.0,111.15,,,,False,11955.15,3.191,3.613,,1977
AARTECH,53.48,46.5,44.85,,,,False,52355.4,0.326,3.212,,791
AARTIDRUGS,444.0,409.95,392.0,444.0,409.95,20.0,False,141687.6,0.623,2.299,-2.748,5698
AARTIIND,551.75,459.55,459.55,,,,False,688775.15,0.786,6.272,,6019
AARTIPHARM,894.7,765.0,650.8,,,,False,484415.6,3.925,4.045,,902
AARTISURF,588.9,487.0,373.85,,,,False,18246.55,0.53,3.695,,1534
AARVI,157.98,138.0,138.0,,,,False,19139.15,0.208,4.131,,2212
AASTHA,88.37,71.72,70.0,,,,False,841562.1,0.285,4.391,,55
AATMAJ,20.5,18.05,16.7,,,,False,3300.0,0.606,5.669,,795
AAVAS,1374.6,1234.2,1234.2,,,,False,135876.95,1.211,4.095,,1967
ABAN,16.72,14.04,12.89,,,,False,17888.4,0.668,5.975,,5984
ABANSENT,29.3,25.65,25.05,29.3,25.65,20.0,False,7663.0,0.955,2.691,-11.024,106
ABB,7699.0,6905.5,6715.5,,,,False,175373.25,2.184,5.252,,6019
ABBOTINDIA,27490.0,25135.0,25135.0,,,,True,9103.9,4.211,4.033,,5988
ABCAPITAL,416.45,378.0,378.0,,,,False,2552703.1,1.915,3.971,,2240
ABCOTS,223.45,200.1,196.81,223.45,200.1,20.0,False,18278.5,12.035,2.051,-6.086,1150
ABDL,659.55,586.55,580.0,,,,False,389977.25,1.122,4.083,,554
ABFRL,55.28,48.71,48.71,,,,False,4363255.15,0.742,4.274,,3253
ABINFRA,13.73,10.61,9.78,,,,False,1226117.65,0.323,5.536,,1767
ABLBL,87.4,80.81,80.81,,,,False,599662.65,1.845,3.432,,312
ABMINTLLTD,63.15,48.2,39.15,,,,False,1164.15,0.024,16.598,,2526
ABMKNO,197.0,168.3,168.3,,,,False,1007.0,1.372,3.466,,106
ABREL,1486.0,1207.0,1207.0,,,,False,168856.55,1.015,7.641,,7711
ABSLAMC,1116.9,992.6,973.3,1116.9,992.6,20.0,False,236535.95,1.599,2.896,-5.059,1226
ABSMARINE,347.75,235.0,212.9,,,,False,108250.0,0.744,4.843,,580
ACC,1338.1,1219.1,1219.1,,,,False,124356.9,3.108,5.671,,6016
ACCELYA,1150.0,1106.1,1091.2,,,,False,4599.4,0.774,3.034,,6016
ACCENTMIC,731.7,578.05,482.2,,,,False,65050.0,0.93,5.991,,680
ACCURACY,4.73,4.06,4.06,,,,False,53846.65,0.704,3.016,,2025
ACE,1241.5,1073.8,957.8,,,,True,318983.7,2.763,4.022,,4932
ACEINTEG,19.8,16.81,16.81,19.8,16.81,20.0,False,4095.05,0.591,2.654,-12.273,2269
ACGL,1961.9,1702.0,1702.0,,,,False,713.9,1.406,3.461,,23
ACI,522.9,446.0,446.0,,,,False,519524.65,0.631,4.275,,949
ACL,46.39,40.7,40.7,,,,False,14118.95,0.483,4.179,,3915
ACMESOLAR,440.7,376.3,344.7,,,,True,2361294.95,5.098,3.98,,462
ACSTECH,66.15,48.42,39.15,,,,True,313100.15,1.375,6.27,,106
ACUTAAS,3488.0,3120.0,3025.0,,,,False,289725.9,1.8,3.346,,1245
ADANIENSOL,1637.0,1336.5,1336.5,,,,False,3858532.25,0.556,7.247,,2753
ADANIENT,3173.7,2830.5,2830.5,,,,False,2152539.75,0.756,4.37,,6018
ADANIGREEN,1346.8,1214.9,1214.9,,,,False,1470353.8,1.766,3.621,,2043
ADANIPORTS,1824.0,1593.1,1593.1,,,,True,2498937.85,1.66,5.692,,4642
ADANIPOWER,217.4,198.0,198.0,,,,False,20572760.5,0.884,3.756,,4219
ADDIND,94.6,72.0,71.05,,,,False,1117.35,0.003,3.092,,23
ADFFOODS,285.7,248.8,248.8,,,,False,121979.15,0.722,3.686,,3955
ADL,83.0,69.11,66.0,83.0,69.11,20.0,False,954.85,0.273,2.812,-15.59,1477
ADOR,1766.4,1487.1,1302.3,,,,False,54569.35,0.352,4.379,,6015
ADROITINFO,11.7,9.76,8.36,11.7,9.76,20.0,False,30349.4,1.299,2.812,-4.786,2701
ADSL,111.0,94.02,94.02,,,,False,87949.05,0.649,5.106,,4727
ADVAIT,2244.8999,1941.5,1941.5,,,,False,58057.1,0.338,3.731,,167
ADVANCE,124.9,108.6,106.5,,,,False,179270.7,0.49,3.717,,237
ADVANIHOTR,53.14,46.75,46.75,,,,False,21801.15,0.62,5.272,,4749
ADVENTHTL,145.0,123.75,123.75,,,,False,218536.85,0.797,4.411,,215
ADVENZYMES,311.0,282.05,282.05,,,,False,191474.65,1.27,4.035,,2508
ADVIKCA,1.26,0.91,0.91,,,,False,363248.0,0.597,5.976,,24
AEGISLOG,1438.1,1180.0,1164.4,,,,False,815833.65,1.635,4.181,,6013
AEGISVOPAK,317.0,258.3,258.3,,,,False,1521658.75,1.539,4.362,,328
AEPL,18.5,14.17,13.3,18.5,14.17,20.0,False,127751.35,0.123,2.977,-13.946,131
AEQUS,262.38,213.41,213.41,,,,False,2074324.5,0.414,5.688,,196
AEROENTER,159.6,108.0,108.0,,,,False,1166673.45,0.644,5.163,,950
AEROFLEX,584.15,456.85,398.15,,,,False,1560044.15,0.571,4.406,,757
AERONEU,87.7,63.72,63.72,,,,False,42648.15,0.672,4.788,,911
AEROPLANE,209.44,170.05,166.76,,,,False,787334.25,0.988,4.425,,119
AETHER,1717.0,1552.7,1400.2,,,,False,216890.6,0.435,3.05,,1066
AFCONS,304.55,225.35,225.35,,,,False,2975369.35,1.127,5.064,,469
AFFLE,1748.2,1489.2,1419.1,,,,False,386025.75,1.125,5.129,,1763
AFFORDABLE,175.0,153.61,153.61,175.0,153.61,20.0,True,17490.65,1.674,2.665,-1.537,473
AFIL,10.39,8.31,8.31,,,,False,525668.25,0.576,5.494,,557
AFSL,217.9,201.0,201.0,,,,False,9996.55,0.798,3.206,,924
AGARIND,494.05,405.1,405.1,,,,False,38205.65,0.453,5.837,,3042
AGARWALEYE,528.8,484.15,470.0,,,,False,417238.1,0.252,3.072,,402
AGARWALFT,36.8,26.7,26.7,,,,False,4050.0,0.0,9.685,,878
AGI,806.8,701.5,657.5,,,,False,222018.45,0.702,3.404,,6017
AGIIL,310.2,255.8,255.8,,,,False,1158251.7,0.57,4.236,,545
AGL,16.38,13.13,12.03,,,,False,5812640.45,0.21,4.4,,56
AGNI,16.5,14.45,14.45,,,,False,9250.0,1.351,4.52,,1020
AGRITECH,108.04,96.1,96.1,108.04,96.1,20.0,False,2629.05,0.673,2.601,-8.987,3119
AGROPHOS,27.7,21.0,21.0,,,,False,34467.0,0.159,3.776,,2354
AGSTRA,2.09,1.85,1.85,2.09,1.85,20.0,False,143694.95,0.62,2.71,-7.656,1148
AGUL,53.65,45.75,45.75,,,,False,700.0,0.0,11.344,,842
AHCL,24.78,14.34,13.81,,,,False,32770267.45,4.442,7.926,,263
AHLADA,40.5,32.7,32.7,,,,False,15724.85,0.523,3.293,,1962
AHLEAST,144.9,132.01,132.01,144.9,132.01,20.0,False,2549.85,2.072,2.987,-6.425,3977
AHLUCONT,690.0,559.1,559.1,,,,False,109905.5,0.58,6.682,,4143
AHLWEST,559.95,487.0,487.0,559.95,487.0,20.0,False,735.7,0.695,2.544,-2.804,3981
AIAENG,4425.5,3778.0,3778.0,,,,False,47944.45,1.575,5.417,,5124
AIIL,579.0,503.0,498.55,,,,False,619502.6,1.231,3.739,,602
AILIMITED,22.25,16.35,16.35,,,,False,4050.0,0.741,8.472,,1285
AIMTRON,1800.0,1495.0,1267.05,,,,False,36690.0,3.325,4.167,,569
AIRAN,18.05,14.18,14.18,,,,False,148206.5,0.378,3.686,,2264
AIROLAM,92.0,83.53,83.53,92.0,83.53,20.0,False,3831.65,3.281,2.172,-3.261,2212
AISL,59.95,52.35,52.35,59.95,52.35,20.0,False,6210.0,7.343,2.907,-9.758,2178
AJANTPHARM,3717.5,3425.0,3290.8999,3717.5,3425.0,20.0,False,75160.0,2.679,2.947,-4.14,6014
AJAXENGG,612.9,554.0,531.1,612.9,554.0,20.0,False,69337.65,1.251,2.989,-8.672,394
AJMERA,121.34,109.33,109.33,121.34,109.33,20.0,False,324436.85,0.949,2.938,-4.731,4931
AJOONI,4.04,3.08,3.08,,,,False,409786.9,1.744,6.556,,2150
AKASH,26.0,24.0,24.0,26.0,24.0,20.0,False,4120.85,0.592,2.133,-6.577,2352
AKCAPIT,1780.0,1644.2,1621.4,1780.0,1644.2,20.0,False,1340.1,0.884,2.204,-1.888,106
AKG,10.92,8.41,8.06,,,,False,29181.95,0.282,4.062,,1963
AKI,8.34,3.95,3.95,,,,False,649822.95,0.067,7.809,,855
AKIKO,438.95,370.05,281.45,,,,False,19120.0,0.251,5.587,,551
AKSHAR,0.44,0.4,0.39,0.44,0.4,20.0,False,1077163.35,0.92,2.333,-6.818,1073
AKSHARCHEM,472.0,299.1,223.25,,,,False,20643.9,0.281,6.747,,2344
AKSHOPTFBR,9.01,6.71,5.34,,,,False,487996.25,0.709,4.799,,6014
AKUMS,796.55,733.15,650.25,796.55,733.15,20.0,False,331255.1,0.998,2.463,-1.613,528
ALANKIT,8.28,7.5,7.5,8.28,7.5,20.0,False,94265.85,1.167,2.557,-6.522,2774
ALBERTDAVD,931.85,831.0,678.0,,,,False,6771.2,0.267,4.36,,2539
ALEMBICLTD,117.72,91.16,83.0,,,,False,2951398.45,0.281,4.947,,6023
ALFREDHE,3098.8999,2750.0,2750.0,,,,False,60.55,0.859,3.393,,23
ALGOQUANT,76.2,62.04,58.35,,,,True,1371481.7,2.761,5.375,,177
ALICON,763.9,647.65,618.05,,,,False,27860.0,1.213,3.69,,4926
ALIVUS,1493.8,1317.6,1086.1,1493.8,1317.6,20.0,False,195152.25,1.559,2.926,-4.217,1268
ALKALI,93.95,63.01,63.01,,,,False,46020.05,2.907,4.464,,4407
ALKEM,5466.5,5051.0,5051.0,,,,True,141700.4,2.264,3.808,,2656
ALKYLAMINE,2115.0,1740.0,1740.0,,,,False,101373.8,0.546,5.23,,4642
ALLCARGO,13.72,10.77,7.75,,,,False,24240311.35,0.31,4.911,,4998
ALLDIGI,823.9,767.5,750.0,,,,False,5866.75,2.066,3.298,,5274
ALLETEC,149.9,116.05,116.05,,,,False,24100.0,0.531,4.683,,922
ALLTIME,225.76,197.13,197.13,225.76,197.13,20.0,False,147046.55,0.443,2.864,-7.69,274
ALMONDZ,20.0,14.02,12.35,,,,False,380840.3,0.695,5.068,,4507
ALOKINDS,11.75,6.98,6.98,,,,False,37992459.25,0.567,10.134,,7710
ALPA,65.3,55.76,55.76,,,,False,13624.0,1.277,3.253,,4717
ALPEXSOLAR,950.05,811.0,741.0,,,,False,51540.0,0.801,3.458,,639
ALPHAGEO,337.99,280.0,193.2,,,,False,10366.45,0.401,3.954,,4780
ALPINETEX,64.9,49.15,49.15,,,,False,281576.1,0.473,3.818,,43
ALUFLUOR,542.5,430.0,430.0,,,,True,8093.8,3.554,6.801,,23
ALUWIND,52.9,45.25,40.0,,,,False,17925.0,0.084,5.04,,607
AMAGI,614.7,549.0,548.05,,,,False,371299.95,0.627,3.595,,167
AMAL,792.0,673.55,673.55,,,,False,9611.6,2.651,4.17,,23
AMANTA,209.95,183.47,150.01,,,,False,58992.6,0.88,6.574,,255
AMARJOTHI,166.0,141.65,88.4,,,,False,2265.35,0.556,4.065,,28
