symbol,close,score,perf_1m,rs_vs_nifty_1m,rs_vs_sector_1m,deliv_pct,pct_change_oi,upside_to_target_pct,atr,stop_1_5atr,target_5pct,earnings_within_21d,event_risk_score,tech_rating,sector
SAMBHV,138.86,14,11.983870967741948,15.2,11.98,41.45,,8.02,5.581816424354654,130.49,145.8,False,0,Strong buy,Non-Energy Minerals
STEL,644.45,14,12.078260869565224,15.3,12.08,70.91,,7.06,26.54377050130873,604.63,676.67,False,0,Strong buy,Finance
SOMANYCERA,565.0,13,10.276178393676194,13.5,10.28,64.41,,16.94,19.059633106783764,536.41,593.25,False,0,Buy,Producer Manufacturing
RATNAVEER,310.75,13,23.56647741599695,26.79,23.57,25.76,,6.82,19.166184681419335,282.0,326.29,False,0,Buy,Non-Energy Minerals
APLAPOLLO,2191.5,13,3.617021276595745,6.84,3.62,40.61,1.13,5.01,58.25146157374284,2104.12,2301.08,False,0,Strong buy,Non-Energy Minerals
MOTILALOFS,998.4,13,6.354194407456722,9.57,6.35,42.81,-0.53,12.78,29.077855514466204,954.78,1048.32,False,0,Buy,Finance
SEAMECLTD,1719.5,13,8.424238602686165,11.64,8.42,48.31,,43.22,60.063751575285615,1629.4,1805.48,False,0,Buy,Industrial Services
BALPHARMA,102.79,13,20.92941176470589,24.15,19.55,48.04,,21.22,6.528699061222041,93.0,107.93,False,0,Buy,Health Technology
ACE,1230.6,13,3.350970017636673,6.57,3.35,43.98,,0.89,43.02012004480601,1166.07,1292.13,False,0,Buy,Producer Manufacturing
LUMAXTECH,2098.7,13,4.412935323383076,7.63,4.41,43.51,,15.99,82.4171437682635,1975.07,2203.63,False,0,Strong buy,Producer Manufacturing
PRUDENT,3447.0,13,2.1908630043580115,5.41,2.19,60.1,,19.1,151.1545584346129,3220.27,3619.35,False,0,Strong buy,Finance
DVL,288.6,13,8.47585040405939,11.7,8.48,57.66,,31.88,11.150417228832085,271.87,303.03,False,0,Strong buy,Consumer Non-Durables
SALSTEEL,81.98,13,12.455418381344304,15.68,12.46,43.42,,5.21,4.634674650881024,75.03,86.08,False,0,Strong buy,Non-Energy Minerals
MCX,3251.7,13,6.264705882352935,9.48,6.26,40.11,3.16,7.02,107.066225498303,3091.1,3414.28,False,0,Buy,Finance
MWL,42.12,13,3.361963190184043,6.58,3.36,46.93,,13.96,2.570607039260504,38.26,44.23,False,0,Strong buy,Non-Energy Minerals
MMP,469.3,13,24.81382978723405,28.03,24.81,56.72,,6.12,26.132155524091928,430.1,492.77,False,0,Buy,Non-Energy Minerals
ANTHEM,930.5,13,3.7346711259754737,6.95,2.35,50.67,,5.06,28.890616536857124,887.16,977.03,False,0,Buy,Health Technology
TSFINV,457.0,13,9.500419312327775,12.72,9.5,61.08,,53.5,13.856258909714738,436.22,479.85,False,0,Strong buy,Finance
IDFCFIRSTB,86.74,13,1.7597372125762554,4.98,3.69,53.37,0.17,7.75,1.543570257271497,84.42,91.08,False,0,Buy,Finance
THELEELA,539.45,13,3.8002693861843366,7.02,3.8,47.86,,16.47,18.48261550514994,511.73,566.42,False,0,Buy,Consumer Services
