symbol,swing_high_20d,swing_low_20d,swing_low_50d,base_high,base_low,base_length_days,breakout_20d_high,volume_20d_avg,volume_ratio_vs_20d,consolidation_atr_pct,pct_from_base_high,bars_available
20MICRONS,233.53,182.0,182.0,,,,False,238249.35,0.169,4.921,,4421
21STCENMGM,46.49,37.36,30.6,,,,False,9104.4,0.264,7.613,,2139
360ONE,1222.9,1109.8,1060.6,,,,False,748225.0,0.376,3.829,,1728
3BBLACKBIO,1588.9,1099.5,1099.5,,,,False,22140.15,0.553,5.807,,99
3IINFOLTD,27.8,21.7,17.0,,,,False,333081.65,0.245,5.693,,5280
3MINDIA,37300.0,32480.0,32480.0,,,,False,3516.7,0.058,7.673,,6006
3PLAND,33.97,30.75,30.75,,,,False,3020.7,0.352,3.236,,4560
5PAISA,416.95,335.0,335.0,,,,False,84350.05,0.077,6.254,,2179
63MOONS,903.0,739.1,650.0,,,,False,363695.5,0.643,4.596,,5240
A2ZINFRA,17.12,14.06,12.0,,,,False,402865.2,0.025,4.03,,3878
AAATECH,100.95,90.05,85.0,,,,False,15601.55,0.043,3.972,,1441
AADHARHFC,510.45,459.3,459.3,,,,False,346882.3,0.167,4.587,,579
AAKASH,9.59,8.06,8.06,,,,False,137819.9,0.308,4.371,,2057
AAREYDRUGS,99.2,74.6,73.41,,,,False,207808.15,0.219,5.95,,1260
AARNAV,36.9,29.99,23.51,,,,False,33684.15,0.166,3.816,,132
AARON,147.89,123.35,111.15,,,,False,13892.1,0.211,5.433,,1969
AARTECH,53.36,46.5,44.85,,,,False,101820.6,0.065,3.283,,784
AARTIDRUGS,445.05,404.5,374.8,,,,False,156350.65,0.116,3.204,,5690
AARTIIND,551.75,486.5,458.3,,,,False,1244761.85,0.088,4.265,,6011
AARTIPHARM,930.95,806.4,650.8,,,,False,591138.65,0.18,3.984,,894
AARTISURF,677.7,494.6,361.6,,,,False,36090.9,0.123,5.595,,1527
AARVI,161.0,139.61,138.0,,,,False,30413.25,0.275,3.511,,2205
AASTHA,88.37,73.0,70.0,,,,False,802898.8,0.08,3.813,,47
AATMAJ,20.5,17.8,16.7,,,,False,2900.0,0.69,11.284,,789
AAVAS,1444.5,1234.2,1234.2,,,,False,131358.55,0.1,5.691,,1960
ABAN,19.21,14.25,12.89,,,,False,13952.0,0.387,12.883,,5977
ABANSENT,32.79,26.52,25.05,,,,False,9315.85,0.136,4.019,,99
ABB,7825.0,7258.0,6715.5,,,,False,154445.6,0.242,3.586,,6011
ABBOTINDIA,28635.0,25710.0,25370.0,,,,False,9269.8,0.215,6.911,,5981
ABCAPITAL,416.45,385.1,384.0,,,,False,2862969.55,0.275,3.562,,2232
ABCOTS,225.0,198.5,196.81,225.0,198.5,20.0,False,16993.6,0.013,2.581,-6.316,1143
ABDL,643.9,584.3,580.0,,,,False,305872.05,0.16,3.513,,546
ABFRL,59.1,50.2,50.2,,,,False,4236722.25,0.187,5.908,,3245
ABINFRA,14.44,10.46,9.78,,,,False,10088395.25,0.003,5.047,,1760
ABLBL,92.49,82.61,82.61,,,,False,877911.75,0.088,5.015,,304
ABMINTLLTD,72.8,47.99,39.15,,,,False,5905.5,0.0,9.865,,2519
ABMKNO,205.0,182.01,182.01,,,,False,1384.85,0.024,3.435,,99
ABREL,1486.0,1318.7,1318.7,,,,False,218064.85,0.051,3.738,,7703
ABSLAMC,1065.0,990.3,973.3,1065.0,990.3,20.0,False,183011.35,0.056,2.76,-3.333,1218
ABSMARINE,344.0,212.9,212.9,,,,True,91750.0,3.744,7.927,,572
ACC,1349.0,1252.9,1252.9,,,,False,112396.1,0.338,4.627,,6008
ACCELYA,1159.3,1119.8,1085.9,1159.3,1119.8,20.0,False,4273.95,0.263,2.329,-2.614,6008
ACCENTMIC,621.0,538.1,451.15,,,,False,49325.0,1.145,5.371,,673
ACCORD,202.35,188.45,90.4,,,,False,200.0,10.0,14.0,,2003
ACCURACY,4.98,4.06,4.06,,,,False,55311.5,0.164,5.6,,2018
ACE,1196.0,1062.3,957.8,,,,False,343137.5,0.34,3.4,,4924
ACEINTEG,19.8,16.81,16.81,19.8,16.81,20.0,False,4673.55,0.24,2.83,-12.323,2262
ACGL,1842.9,1715.5,1715.5,1842.9,1715.5,16.0,False,583.19,0.06,2.747,-2.881,16
ACI,522.9,479.8,479.8,522.9,479.8,20.0,False,437345.7,0.426,2.437,-5.517,942
ACL,48.45,42.0,42.0,,,,False,13581.95,1.35,5.211,,3908
ACMESOLAR,430.5,361.8,344.7,,,,False,2162604.25,0.205,3.778,,454
ACSTECH,57.14,48.13,39.15,,,,True,306080.6,0.873,3.763,,99
ACUTAAS,3399.8,3081.2,3025.0,,,,False,251613.55,0.161,3.105,,1237
ADANIENSOL,1638.3,1348.0,1348.0,,,,False,4546090.65,0.084,5.512,,2745
ADANIENT,3173.7,2830.5,2830.5,,,,False,1848666.9,0.141,4.413,,6010
ADANIGREEN,1371.0,1214.9,1214.9,,,,False,1476967.55,0.165,4.294,,2035
ADANIPORTS,1723.9,1593.1,1593.1,,,,False,2184008.25,0.073,3.551,,4634
ADANIPOWER,217.4,198.0,198.0,,,,False,19577855.3,0.209,3.358,,4211
ADDIND,94.6,71.05,71.05,94.6,71.05,16.0,False,1072.12,0.076,2.157,-12.315,16
