symbol,sector,industry,nifty_sector_index,sector_match_basis,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
RELIANCE,Energy Minerals,Oil Refining/Marketing,NIFTY_ENERGY,industry,0.7704280155642094,-1.9015151515151447,-1.75,-3.86,-5.84,2.52,1.96,3.94
BHARTIARTL,Communications,Wireless Telecommunications,,unmapped,-0.4319654427645788,-4.865087963679511,-1.75,-3.86,,1.32,-1.01,
HDFCBANK,Finance,Major Banks,NIFTY_BANK,industry,-0.2907595206013693,-4.092769440654843,-1.75,-3.86,-1.58,1.46,-0.23,-2.51
ICICIBANK,Finance,Regional Banks,NIFTY_BANK,industry,-3.0147619377642245,-3.556168159889725,-1.75,-3.86,-1.58,-1.26,0.3,-1.98
SBIN,Finance,Regional Banks,NIFTY_BANK,industry,-4.118710168362975,-6.675307841866486,-1.75,-3.86,-1.58,-2.37,-2.82,-5.1
TCS,Technology Services,Information Technology Services,NIFTY_IT,industry,-4.225053078556264,-5.031578947368421,-1.75,-3.86,-5.53,-2.48,-1.17,0.5
BAJFINANCE,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,-1.0234741784037644,-5.292003593890395,-1.75,-3.86,-3.33,0.73,-1.43,-1.96
LT,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,-2.275879148093117,-2.326675082299943,-1.75,-3.86,-3.74,-0.53,1.53,1.41
LICI,Finance,Life/Health Insurance,NIFTY_FIN_SERVICE,industry,-1.933866539333896,4.397000889566657,-1.75,-3.86,-3.33,-0.18,8.26,7.73
HINDUNILVR,Consumer Non-Durables,Household/Personal Care,NIFTY_FMCG,industry,-0.3522898842476095,-4.949354327684697,-1.75,-3.86,-7.86,1.4,-1.09,2.91
SUNPHARMA,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,-3.932555651775244,-3.534526854219944,-1.75,-3.86,1.52,-2.18,0.33,-5.05
TITAN,Consumer Durables,Other Consumer Specialties,NIFTY_AUTO,sector,-2.292319749216301,0.1787830698459178,-1.75,-3.86,3.85,-0.54,4.04,-3.67
INFY,Technology Services,Information Technology Services,NIFTY_IT,industry,-4.078014184397163,-6.724137931034483,-1.75,-3.86,-5.53,-2.33,-2.86,-1.19
KOTAKBANK,Finance,Major Banks,NIFTY_BANK,industry,-0.3683460076045654,6.679389312977099,-1.75,-3.86,-1.58,1.38,10.54,8.26
MARUTI,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,-6.639586410635155,-8.471508218087033,-1.75,-3.86,3.85,-4.89,-4.61,-12.32
ADANIENT,Distribution Services,Wholesale Distributors,,unmapped,1.4810996563573853,-2.405895766548801,-1.75,-3.86,,3.23,1.45,
ADANIPOWER,Utilities,Electric Utilities,NIFTY_ENERGY,industry,3.168316831683171,0.1297266131744631,-1.75,-3.86,-5.84,4.92,3.99,5.97
AXISBANK,Finance,Major Banks,NIFTY_BANK,industry,-2.3531257353517923,-0.5750339429757861,-1.75,-3.86,-1.58,-0.6,3.28,1.0
M&M,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,-6.147906147906148,-7.195301027900147,-1.75,-3.86,3.85,-4.4,-3.34,-11.05
ADANIPORTS,Transportation,Other Transportation,,unmapped,5.230769230769231,0.8849557522123894,-1.75,-3.86,,6.98,4.74,
HCLTECH,Technology Services,Information Technology Services,NIFTY_IT,industry,-2.970898867867177,-3.912716328066215,-1.75,-3.86,-5.53,-1.22,-0.05,1.62
ITC,Consumer Non-Durables,Tobacco,NIFTY_FMCG,industry,0.7648183556405354,-7.543859649122807,-1.75,-3.86,-7.86,2.51,-3.68,0.32
ULTRACEMCO,Non-Energy Minerals,Construction Materials,NIFTY_INFRA,industry,-3.851528384279476,-8.646585345614472,-1.75,-3.86,-3.74,-2.1,-4.79,-4.91
HAL,Electronic Technology,Aerospace & Defense,NIFTY_IT,sector,4.779656781072975,2.15431472081219,-1.75,-3.86,-5.53,6.53,6.01,7.68
BAJAJ_AUTO,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,-2.4630541871921183,2.5906735751295336,-1.75,-3.86,3.85,-0.71,6.45,-1.26
NTPC,Utilities,Electric Utilities,NIFTY_ENERGY,industry,1.0384850335980558,-4.115942028985504,-1.75,-3.86,-5.84,2.79,-0.26,1.72
JSWSTEEL,Non-Energy Minerals,Steel,NIFTY_METAL,industry,-1.3159896546477985,-0.4985427212762693,-1.75,-3.86,1.12,0.43,3.36,-1.62
BAJAJFINSV,Finance,Life/Health Insurance,NIFTY_FIN_SERVICE,industry,-3.031970781007662,-5.4585365853658585,-1.75,-3.86,-3.33,-1.28,-1.6,-2.13
ETERNAL,Technology Services,Internet Software/Services,NIFTY_IT,industry,-1.046153846153839,2.420382165605103,-1.75,-3.86,-5.53,0.7,6.28,7.95
BEL,Electronic Technology,Aerospace & Defense,NIFTY_IT,sector,-0.9410061527325316,2.3815461346633446,-1.75,-3.86,-5.53,0.81,6.24,7.91
ONGC,Energy Minerals,Oil Refining/Marketing,NIFTY_ENERGY,industry,0.9409751924721936,-1.0482180293501049,-1.75,-3.86,-5.84,2.69,2.81,4.79
NESTLEIND,Consumer Non-Durables,Food: Major Diversified,NIFTY_FMCG,industry,-7.545550567731712,-8.04333552199606,-1.75,-3.86,-7.86,-5.8,-4.18,-0.18
COALINDIA,Energy Minerals,Coal,NIFTY_ENERGY,industry,4.604853764779092,1.2650602409638554,-1.75,-3.86,-5.84,6.35,5.13,7.11
HINDZINC,Non-Energy Minerals,Other Metals/Minerals,NIFTY_METAL,industry,-1.431763634858889,0.4215851602023608,-1.75,-3.86,1.12,0.32,4.28,-0.7
POWERGRID,Utilities,Alternative Power Generation,NIFTY_ENERGY,industry,0.9304975313330758,-1.079471431230217,-1.75,-3.86,-5.84,2.68,2.78,4.76
DIVISLAB,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,3.4967302599578445,15.563333534487962,-1.75,-3.86,1.52,5.25,19.42,14.04
SHRIRAMFIN,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,-6.369426751592357,-9.25925925925926,-1.75,-3.86,-3.33,-4.62,-5.4,-5.93
DMART,Retail Trade,Specialty Stores,NIFTY_FMCG,sector,-3.3714285714285763,-5.698352344740182,-1.75,-3.86,-7.86,-1.62,-1.84,2.16
ASIANPAINT,Process Industries,Industrial Specialties,,unmapped,-6.188334026386431,-9.923774954627952,-1.75,-3.86,,-4.44,-6.06,
TATASTEEL,Non-Energy Minerals,Steel,NIFTY_METAL,industry,0.2449646162221105,-2.7770445066258334,-1.75,-3.86,1.12,1.99,1.08,-3.9
HINDALCO,Non-Energy Minerals,Other Metals/Minerals,NIFTY_METAL,industry,-1.3685239491691104,-0.7866273352999017,-1.75,-3.86,1.12,0.38,3.07,-1.91
GRASIM,Non-Energy Minerals,Construction Materials,NIFTY_INFRA,industry,-0.9050044950554336,2.695652173913049,-1.75,-3.86,-3.74,0.84,6.56,6.44
ADANIGREEN,Utilities,Alternative Power Generation,NIFTY_ENERGY,industry,5.901639344262295,-5.796573095151294,-1.75,-3.86,-5.84,7.65,-1.94,0.04
EICHERMOT,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,-2.852664576802508,-2.424433249370277,-1.75,-3.86,3.85,-1.1,1.44,-6.27
SOLARINDS,Process Industries,Industrial Specialties,,unmapped,10.88888888888889,21.319358150089148,-1.75,-3.86,,12.64,25.18,
TVSMOTOR,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,-4.7934950360491175,-5.634703196347036,-1.75,-3.86,3.85,-3.04,-1.77,-9.48
INDIGO,Transportation,Airlines,,unmapped,-1.2833168805528137,-5.374716124148373,-1.75,-3.86,,0.47,-1.51,
IOC,Energy Minerals,Integrated Oil,NIFTY_ENERGY,industry,-1.4595863282969117,-5.380660609902116,-1.75,-3.86,-5.84,0.29,-1.52,0.46
TORNTPHARM,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,-0.2714386247109681,0.0807102502017756,-1.75,-3.86,1.52,1.48,3.94,-1.44
HYUNDAI,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,-0.3143242029636282,0.4934136073514142,-1.75,-3.86,3.85,1.44,4.35,-3.36
SBILIFE,Finance,Life/Health Insurance,NIFTY_FIN_SERVICE,industry,-2.522263717322613,-8.85844748858448,-1.75,-3.86,-3.33,-0.77,-5.0,-5.53
VAML,Non-Energy Minerals,Aluminum,NIFTY_METAL,industry,-0.0228990153423324,-9.230769230769226,-1.75,-3.86,1.12,1.73,-5.37,-10.35
WIPRO,Technology Services,Information Technology Services,NIFTY_IT,industry,-5.248618784530387,-7.73120998547372,-1.75,-3.86,-5.53,-3.5,-3.87,-2.2
MOTHERSON,Producer Manufacturing,Auto Parts: OEM,NIFTY_AUTO,industry,-3.617647058823533,5.593864793452347,-1.75,-3.86,3.85,-1.87,9.45,1.74
ADANIENSOL,Utilities,Electric Utilities,NIFTY_ENERGY,industry,-1.9024390243902407,-13.104938271604937,-1.75,-3.86,-5.84,-0.15,-9.24,-7.26
TMCV,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,-3.3792372881355908,-0.3931418586873454,-1.75,-3.86,3.85,-1.63,3.47,-4.24
