index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,08-Sep-2026,23779.15,3974200,2208160,0.56,23800,12.79
BANKNIFTY,29-Sep-2026,57088.3,460798,447853,0.97,57500,10.89
