identifier,instrument,underlying,expiry,option_type,strike,last_price,contracts_traded,turnover,open_interest,underlying_value,pct_change
OPTIDXNIFTY01-09-2026PE24200.00,Index Options,NIFTY,01-Sep-2026,Put,24200,75.05,2497006,136709.829997,155782,24177.7,41.73748819641171
OPTIDXNIFTY01-09-2026CE24200.00,Index Options,NIFTY,01-Sep-2026,Call,24200,129.65,1598286,131990.453595,176469,24177.7,-34.420839656044514
OPTIDXNIFTY01-09-2026PE24150.00,Index Options,NIFTY,01-Sep-2026,Put,24150,56.85,1543095,68164.67853,96624,24177.7,40.370370370370374
OPTIDXNIFTY01-09-2026CE24300.00,Index Options,NIFTY,01-Sep-2026,Call,24300,79.0,1510187,80365.3562985,234992,24177.7,-40.89038533482978
OPTIDXNIFTY01-09-2026PE24300.00,Index Options,NIFTY,01-Sep-2026,Put,24300,124.05,1424781,119986.507134,96080,24177.7,44.49621432731509
OPTIDXNIFTY01-09-2026PE24100.00,Index Options,NIFTY,01-Sep-2026,Put,24100,42.5,1241155,41297.5708925,102530,24177.7,36.87600644122383
OPTIDXNIFTY01-09-2026PE24250.00,Index Options,NIFTY,01-Sep-2026,Put,24250,97.1,1231132,82648.353424,59931,24177.7,43.109801031687546
OPTIDXNIFTY01-09-2026PE24000.00,Index Options,NIFTY,01-Sep-2026,Put,24000,23.2,1060481,19362.7923385,123161,24177.7,32.193732193732195
OPTIDXNIFTY01-09-2026CE24250.00,Index Options,NIFTY,01-Sep-2026,Call,24250,102.3,960693,64867.912746,115284,24177.7,-37.735849056603776
OPTIDXNIFTY01-09-2026CE24400.00,Index Options,NIFTY,01-Sep-2026,Call,24400,44.6,915328,28379.74464,209071,24177.7,-46.32972322503009
OPTIDXNIFTY01-09-2026CE24500.00,Index Options,NIFTY,01-Sep-2026,Call,24500,24.25,852436,14433.87257,207616,24177.7,-48.45908607863974
OPTIDXNIFTY01-09-2026CE24150.00,Index Options,NIFTY,01-Sep-2026,Call,24150,161.5,746393,73898.878144,57883,24177.7,-31.538787621873674
OPTIDXNIFTY01-09-2026CE24350.00,Index Options,NIFTY,01-Sep-2026,Call,24350,60.25,655659,26874.806751,128795,24177.7,-43.74416433239963
OPTIDXNIFTY01-09-2026CE25000.00,Index Options,NIFTY,01-Sep-2026,Call,25000,2.65,574091,1197.8408715,160284,24177.7,-25.35211267605634
OPTIDXNIFTY01-09-2026PE23900.00,Index Options,NIFTY,01-Sep-2026,Put,23900,12.7,565719,5765.808048,76831,24177.7,25.742574257425744
OPTIDXNIFTY01-09-2026PE24050.00,Index Options,NIFTY,01-Sep-2026,Put,24050,31.4,563699,13872.068690999999,42260,24177.7,37.11790393013101
OPTIDXNIFTY01-09-2026CE24600.00,Index Options,NIFTY,01-Sep-2026,Call,24600,12.65,506256,4702.358856,118902,24177.7,-50.29469548133595
OPTIDXNIFTY01-09-2026CE24100.00,Index Options,NIFTY,01-Sep-2026,Call,24100,197.5,471851,57516.0417195,42227,24177.7,-28.011663932932386
OPTIDXNIFTY01-09-2026PE23800.00,Index Options,NIFTY,01-Sep-2026,Put,23800,7.3,457406,2669.8788219999997,86204,24177.7,12.307692307692308
OPTIDXNIFTY01-09-2026CE25200.00,Index Options,NIFTY,01-Sep-2026,Call,25200,1.6,437031,605.0694195,90075,24177.7,-20.0
