index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,01-Sep-2026,24175.65,2792623,2167095,0.78,24200,9.52
BANKNIFTY,29-Sep-2026,57496.3,371258,412351,1.11,57700,9.39
