date,symbol,subject,details,category
23-Jul-2026 09:15:05,MOTILALOFS,Credit Rating- Revision,Motilal Oswal Financial Services Limited has informed the Exchange about Credit Rating - Revision,Credit Rating- Revision
23-Jul-2026 08:30:15,SANATHAN,Press Release,"Sanathan Textiles Limited has informed the Exchange regarding a press release dated July 23, 2026, titled ""Sanathan Textiles on track to double Technical Textiles Capacity at Silvassa"".",Press Release
23-Jul-2026 08:19:43,PATELRMART,Product launch,Patel Retail Limited has informed the Exchange about Product launch,Product launch
23-Jul-2026 08:09:46,DRREDDY,Press Release,"Dr. Reddy's Laboratories Limited has informed the Exchange regarding a press release dated July 23, 2026, titled ""Intimation of Earnings call recording"".",Press Release
23-Jul-2026 08:01:11,SPMLINFRA,Credit Rating- New,SPML Infra Limited has informed the Exchange about Credit Rating- New,Credit Rating- New
23-Jul-2026 00:55:08,ADANIPOWER,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Power Limited has informed the Exchange about Investor Presentation for Earnings Conference Call,Analysts/Institutional Investor Meet/Con. Call Updates
22-Jul-2026 23:41:51,ANTHEM,Shareholders meeting,"Anthem Biosciences Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on July 22, 2026",Shareholders meeting
22-Jul-2026 23:40:46,MHRIL,Shareholders meeting,"Mahindra Holidays & Resorts India Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on July 22, 2026. Further, the company has informed the Exchange regarding voting results.",Shareholders meeting
22-Jul-2026 23:40:06,CEMPRO,General Updates,Cemindia Projects Limited has informed the Exchange about General Updates,General Updates
22-Jul-2026 23:33:21,MPSLTD,Updates,"MPS Limited has informed the Exchange regarding the Weblink Letter sent to the Shareholders for the Court Convened Meeting pursuant to the Order of NCLT, Chennai Bench.",Updates
22-Jul-2026 23:25:52,MPSLTD,Copy of Newspaper Publication,"MPS Limited has informed the Exchange about Newspaper Publication regarding Court Convened Meeting of Equity Shareholders and Unsecured Creditors on Saturday, 22 August 2026.",Copy of Newspaper Publication
22-Jul-2026 23:24:30,BIRLANU,Giving guarantees/indemnity/ becoming a surety for third party,BirlaNu Limited has informed the Exchange about Giving guarantees/indemnity/ becoming a surety for third party,Giving guarantees/indemnity/ becoming a surety for third party
22-Jul-2026 23:16:50,MPSLTD,Scheme of Arrangement,MPS Limited has informed the Exchange regarding Notice of Court Convened Meeting of Unsecured Creditors to be held on 22  August 2026 at 11:30 A.M. via VC/OAVM.,Scheme of Arrangement
22-Jul-2026 23:13:20,GEOJITFSL,Investor Presentation,Geojit Financial Services Limited has informed the Exchange about Investor Presentation,Investor Presentation
22-Jul-2026 23:10:35,POWERGRID,General Updates,Power Grid Corporation of India Limited has informed the Exchange about appointment of Cost Auditors for FY 2026-27.,General Updates
22-Jul-2026 23:10:12,MPSLTD,Shareholders meeting,MPS Limited has informed the Exchange regarding Notice of Court Convened General Meeting of Equity Shareholders to be held on 22  August 2026 at 10 A.M. via VC/OAVM.,Shareholders meeting
22-Jul-2026 23:08:08,POWERGRID,Outcome of Board Meeting,"Power Grid Corporation of India Limited has informed the Exchange regarding Outcome of Board Meeting held on July 22, 2026.",Outcome of Board Meeting
22-Jul-2026 23:06:32,TASTYBITE,General Updates,Tasty Bite Eatables Limited has informed the Exchange about General Updates,General Updates
22-Jul-2026 22:58:45,CHOLAHLDNG,Updates,Cholamandalam Financial Holdings Limited has informed the Exchange regarding Business Responsibility and Sustainability Report for FY 2025-2026,Updates
22-Jul-2026 22:56:24,CHOLAHLDNG,Shareholders meeting,"Cholamandalam Financial Holdings Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on August 14, 2026",Shareholders meeting
