symbol,fut_volume,opt_volume,tot_volume,fut_turnover,opt_turnover,tot_turnover,latest_oi,underlying_value
NIFTY,3923,2594543,2598466,61086.116786499995,4064822091549.7,190270.06478349998,7588184,23941.75
BANKNIFTY,2488,348486,350974,42538.560654,601805676245.4,70830.903108,1524498,56884.6
OFSS,3884,21794,25678,43479.77271,25378143897.0,47984.21168,45985,11193.0
INDUSINDBK,5898,35553,41451,42474.93236,26385661771.0,46166.26007,99812,1028.8
DRREDDY,4096,48557,52653,29054.536875,35560522187.5,34097.32125,94536,1140.4
INFY,6747,21725,28472,28112.12252,9340354528.0,29702.1478,605564,1040.6
ADANIGREEN,3205,9208,12413,27280.6632,8297131836.0,28456.50156,73643,1426.3
ETERNAL,3408,22812,26220,23909.4492475,16382609141.75,25939.72254,136664,285.85
HDFCBANK,3980,25494,29474,19429.47708,12878974205.5,20175.524135,904907,748.8
HINDPETRO,2319,8310,10629,17893.73997,6579028149.75,18749.1564675,43817,384.5
ICICIBANK,1587,5227,6814,15968.05021,5340916035.0,16277.80056,267073,1444.1
ULTRACEMCO,2135,9131,11266,12585.587475,5564782352.0,12789.260995,86631,11870.0
TCS,2000,10166,12166,9895.7000025,5094473514.75,10208.41515,416583,2198.9
UNITDSPR,1698,7819,9517,9699.30192,4494921976.0,10189.84168,39185,1426.7
RELIANCE,1497,11658,13155,9621.1138,7679243470.0,10150.1485,516411,1281.4
SBIN,1255,9546,10801,9608.382975,7487818260.0,10094.065575,233868,1019.3
SONACOMS,1086,3676,4762,9479.98198,3275699526.75,9939.8522475,27551,715.55
DMART,1524,4827,6351,9204.83298,2985761349.0,9516.42147,83084,4035.0
WAAREEENER,1941,1041,2982,9136.67622,505696467.5,9198.353395,92660,2724.3
BANDHANBNK,1277,6970,8247,7987.95684,4584042576.0,8792.3826,86959,173.85
BAJAJ-AUTO,783,25862,26645,6510.508245,21690118874.25,8056.3219875,106988,11094.5
INDIGO,973,4773,5746,7410.96666,3702700554.0,7996.7472,89363,5117.0
AXISBANK,979,6249,7228,7558.3023125,4961791293.75,7868.84025,234921,1236.0
KALYANKJIL,823,7157,7980,6608.183445,5866047000.0,7819.470945,101845,595.3
HINDALCO,1086,2453,3539,7261.39463,1656563027.0,7424.2049,125819,958.1
WIPRO,1247,1337,2584,6394.128,714738330.0,6463.2363,197895,174.0
ADANIPOWER,766,3818,4584,5902.803325,3111058617.0,6327.455745,87729,217.07
LAURUSLABS,461,366,827,6195.951325,494573732.5,6269.99865,37949,1578.3
NESTLEIND,763,7003,7766,5706.4806,5349679790.0,6256.2285,58594,1483.4
DIXON,789,5476,6265,5428.350295,3888262520.5,5764.2005,145511,13944.0
LT,795,2829,3624,5295.8110975,1938039972.75,5392.785825,202380,3808.9
LODHA,744,427,1171,5287.278875,314002750.0,5329.056375,52032,1152.45
ADANIENSOL,440,1487,1927,5111.944965,1768712571.0,5268.780675,48681,1722.9
JSWENERGY,799,4585,5384,4776.7058475,2807483394.5,5074.9372925,41941,559.0
ABB,508,2689,3197,4813.972425,2594686811.25,5026.1530375,52855,7618.0
SUZLON,740,459,1199,4989.30295,324568439.0,5022.14134,72488,53.16
TORNTPHARM,782,490,1272,4871.8634875,307681456.25,4896.49055,61043,5003.6
CANBK,557,370,927,4755.375,325988820.0,4814.9667,91328,126.14
ONGC,822,2221,3043,4692.87,1277173012.5,4807.393875,86316,253.2
TECHM,508,997,1505,4719.30108,949387320.0,4791.63828,77174,1556.8
SRF,776,6220,6996,4400.60436,3638882244.0,4785.3468,59849,2848.7
LUPIN,450,1300,1750,4583.392185,1351835087.0,4705.488055,24630,2387.9
MIDCPNIFTY,151,26229,26380,2638.26882,46310842738.8,4653.536208,150222,14570.85
TVSMOTOR,620,4800,5420,4258.50936,3326427968.5,4521.341545,122412,3933.8
POLYCAB,371,3892,4263,4202.90495,4484028266.25,4479.8126125,70281,9098.5
TRENT,666,1062,1728,4320.5828625,719189347.5,4391.7733125,135021,2902.9
NHPC,782,992,1774,4313.3785,560447444.0,4381.06594,43652,80.05
BAJFINANCE,518,2301,2819,4092.63375,1852634445.0,4264.0782,154461,1050.3
NAM-INDIA,573,3630,4203,3936.037125,2610642075.0,4203.332875,16583,1116.0
M&M,602,2175,2777,3834.312,1408716626.0,3973.81826,154710,3181.0
HEROMOTOCO,522,1852,2374,3862.757835,1412304964.5,3956.23248,75507,5013.0
MCX,584,3575,4159,3695.4520425,2309467140.0,3885.1234425,94044,2793.7
BHARTIARTL,393,2142,2535,3600.921705,1984627301.5,3682.44472,195980,1947.1
JIOFIN,634,3012,3646,3491.06647,1716603372.0,3621.89144,154452,235.23
SUNPHARMA,512,3996,4508,3474.721705,2717915571.0,3620.927415,99150,1931.4
BPCL,500,7644,8144,3053.4683025,4727949300.5,3521.7088075,47548,310.15
BSE,450,3801,4251,3263.53976,2848035770.0,3493.39746,110299,3619.8
FEDERALBNK,387,1083,1470,3425.21325,951133100.0,3482.66925,70333,354.2
PAYTM,347,2871,3218,3186.2000575,2773904360.5,3386.5536625,90169,1263.7
ADANIENT,325,1566,1891,3146.2841028,1541746461.75,3301.3117202999997,97073,3136.0
CIPLA,512,2941,3453,3045.2831,1776892049.75,3276.1960975,62737,1398.2
VBL,544,1019,1563,3209.9034075,616525650.75,3271.416165,71793,462.5
MAZDOCK,616,467,1083,3171.32424,252046579.5,3197.507535,56450,2307.5
TMPV,593,1932,2525,3106.804,1081808160.0,3171.2856,135676,327.5
COFORGE,439,1324,1763,3031.8891375,952840965.5,3141.6187925,74053,1460.8
ITC,641,1300,1941,3105.4324575,653370470.25,3137.707035,196040,280.85
BHEL,272,1580,1852,2960.3083125,1780462635.0,3123.0971625,74895,416.0
IOC,437,1387,1824,2981.878575,966724102.5,3064.62585,57838,141.01
BDL,576,709,1285,2987.8229725,391683893.0,3034.1869025,54459,1254.8
PNB,326,1357,1683,2874.828,1224016800.0,2972.756,70735,109.93
IDEA,286,918,1204,2763.82389,938439589.5,2881.486035,123574,13.5
BHARATFORG,256,246,502,2811.2293,268710700.0,2838.6363,26429,2195.2
CGPOWER,335,876,1211,2590.687375,715842664.0,2788.209015,48186,913.6
NTPC,512,997,1509,2677.6968,533794740.0,2723.0817,140195,348.85
UNIONBANK,353,475,828,2669.9091525,368709408.0,2722.3082325,56446,170.74
HCLTECH,523,2188,2711,2566.38564,1097520728.0,2698.99292,179428,1234.4
ABCAPITAL,214,811,1025,2621.88948,1039072942.0,2696.5939,21023,395.2
GODREJPROP,373,1281,1654,2492.42786,869569814.75,2574.9760075,45829,2052.0
HINDUNILVR,378,1208,1586,2452.85256,796374957.0,2529.66213,120182,2156.5
MARUTI,347,5366,5713,2339.96577,3761585141.0,2508.56718,159898,13542.0
JSWSTEEL,281,886,1167,2395.357515,756833213.25,2452.4921475,80853,1264.7
MPHASIS,378,541,919,2361.66084,347905461.75,2415.6399575,28969,2272.1
AUBANK,234,678,912,2288.4508,690487340.0,2356.7242,42323,974.3
TATACONSUM,361,1130,1491,2194.61495,699205237.5,2299.182325,49456,1106.1
YESBANK,312,1105,1417,2240.90117,829301404.0,2281.84121,75961,23.11
SHRIRAMFIN,249,572,821,2173.13052,510809862.75,2270.0141475,62706,1062.6
TATAPOWER,405,1015,1420,2211.59597,575157188.5,2249.442855,83682,377.05
GVT&D,390,924,1314,2182.392525,538910970.0,2234.377225,32315,4496.5
POWERGRID,402,360,762,2208.16176,199711052.0,2224.18978,55887,289.1
BIOCON,194,561,755,2111.2265,627975200.0,2207.9785,44974,433.75
KOTAKBANK,282,1042,1324,2155.984,817027400.0,2205.608,162964,381.1
AUROPHARMA,251,787,1038,2105.02072,678412053.0,2204.55125,37916,1520.2
TATASTEEL,414,1678,2092,2111.7844,879581092.5,2186.451575,138515,185.11
GAIL,333,183,516,2038.666665,114700429.0,2047.647455,38481,172.3
CDSL,292,2247,2539,1841.0931125,1485687220.75,1973.44032,59011,1328.2
SIEMENS,302,631,933,1919.813035,412859419.0,1959.794725,41586,3682.1
HAL,266,1985,2251,1821.86715,1379792721.0,1939.49436,76710,4575.2
OBEROIRLTY,302,381,683,1924.49712,256911109.0,1937.06821,39816,1833.5
IREDA,357,243,600,1897.5664425,138034491.5,1913.0129825,36319,120.47
BEL,313,1815,2128,1815.3107775,1092237861.75,1908.330645,146663,406.25
ASHOKLEY,243,814,1057,1843.515,651619850.0,1906.3385,65828,152.4
SHREECEM,279,293,572,1865.669605,189174135.0,1880.410955,19239,27110.0
NATIONALUM,276,829,1105,1790.512875,551349262.5,1867.53675,53895,346.7
MARICO,170,787,957,1761.33072,827440068.0,1839.9114,21566,866.3
DLF,295,648,943,1797.476855,412225159.0,1838.908445,85033,649.0
PERSISTENT,272,1297,1569,1717.253175,835884216.25,1815.0328375,84384,5072.1
