symbol,sector,nifty_sector_index,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
RELIANCE,Energy Minerals,NIFTY_ENERGY,-1.080663836356619,-3.566859808864481,-0.55,0.49,-2.65,-0.53,-4.06,-0.92
BHARTIARTL,Communications,,0.9491701244813254,2.0287271964772517,-0.55,0.49,,1.5,1.54,
HDFCBANK,Finance,NIFTY_FIN_SERVICE,-8.103130755064457,-4.412234212374683,-0.55,0.49,-1.75,-7.55,-4.9,-2.66
ICICIBANK,Finance,NIFTY_FIN_SERVICE,1.6618547989578296,6.31075110456554,-0.55,0.49,-1.75,2.21,5.82,8.06
SBIN,Finance,NIFTY_FIN_SERVICE,-0.9901951266867228,-2.0268972142171013,-0.55,0.49,-1.75,-0.44,-2.52,-0.28
TCS,Technology Services,NIFTY_IT,-0.3173164097914778,4.1686404547607765,-0.55,0.49,5.09,0.23,3.68,-0.92
BAJFINANCE,Finance,NIFTY_FIN_SERVICE,2.626953125000009,8.530414127852953,-0.55,0.49,-1.75,3.18,8.04,10.28
LICI,Finance,NIFTY_FIN_SERVICE,-3.081296191017626,-3.748870822041559,-0.55,0.49,-1.75,-2.53,-4.24,-2.0
LT,Industrial Services,NIFTY_ENERGY,0.2555994729907725,-9.627078384798104,-0.55,0.49,-2.65,0.81,-10.12,-6.98
HINDUNILVR,Consumer Non-Durables,NIFTY_FMCG,2.470426148510618,-0.1481412897550955,-0.55,0.49,-0.68,3.02,-0.64,0.53
SUNPHARMA,Health Technology,NIFTY_PHARMA,-0.984615384615387,3.25133689839572,-0.55,0.49,2.12,-0.43,2.76,1.13
INFY,Technology Services,NIFTY_IT,-3.9538106235565778,-1.3380148035680308,-0.55,0.49,5.09,-3.4,-1.83,-6.43
ADANIENT,Distribution Services,NIFTY_FIN_SERVICE,-1.0986235635812516,1.9791666666666723,-0.55,0.49,-1.75,-0.55,1.49,3.73
MARUTI,Consumer Durables,NIFTY_AUTO,-0.5880191106210951,0.7824143070044709,-0.55,0.49,2.34,-0.04,0.29,-1.56
ADANIPORTS,Transportation,NIFTY_AUTO,-0.8476893628657369,-1.0695187165775353,-0.55,0.49,2.34,-0.3,-1.56,-3.41
ADANIPOWER,Utilities,NIFTY_ENERGY,-2.184684684684682,-7.240495514737287,-0.55,0.49,-2.65,-1.63,-7.73,-4.59
TITAN,Consumer Durables,NIFTY_AUTO,2.545089743310139,7.474285714285714,-0.55,0.49,2.34,3.1,6.98,5.13
M&M,Consumer Durables,NIFTY_AUTO,1.9858838626884852,3.770320558856173,-0.55,0.49,2.34,2.54,3.28,1.43
AXISBANK,Finance,NIFTY_FIN_SERVICE,-5.999543760930718,-9.009274252907394,-0.55,0.49,-1.75,-5.45,-9.5,-7.26
KOTAKBANK,Finance,NIFTY_FIN_SERVICE,0.9536423841059662,-4.246231155778888,-0.55,0.49,-1.75,1.5,-4.74,-2.5
ULTRACEMCO,Non-Energy Minerals,NIFTY_METAL,0.0674536256323777,4.490227152667723,-0.55,0.49,-3.47,0.62,4.0,7.96
ITC,Consumer Non-Durables,NIFTY_FMCG,1.4259927797833891,-3.536480686695283,-0.55,0.49,-0.68,1.98,-4.03,-2.86
NTPC,Utilities,NIFTY_ENERGY,1.2783265543288884,-5.233111322549952,-0.55,0.49,-2.65,1.83,-5.72,-2.58
HCLTECH,Technology Services,NIFTY_IT,4.951505870341995,9.985734664764625,-0.55,0.49,5.09,5.5,9.5,4.9
ONGC,Energy Minerals,NIFTY_ENERGY,2.1256857050661546,3.1744091279543567,-0.55,0.49,-2.65,2.68,2.68,5.82
JSWSTEEL,Non-Energy Minerals,NIFTY_METAL,2.5387298239922096,-0.4566929133858232,-0.55,0.49,-3.47,3.09,-0.95,3.01
HAL,Electronic Technology,NIFTY_IT,3.2869584888587307,0.7035885220229945,-0.55,0.49,5.09,3.84,0.21,-4.39
BAJAJFINSV,Finance,NIFTY_FIN_SERVICE,1.594706009980478,4.403567447045708,-0.55,0.49,-1.75,2.14,3.91,6.15
BEL,Electronic Technology,NIFTY_IT,-1.5160703456640388,-6.666666666666667,-0.55,0.49,5.09,-0.97,-7.16,-11.76
BAJAJ_AUTO,Consumer Durables,NIFTY_AUTO,7.473602634892957,8.2495853253976,-0.55,0.49,2.34,8.02,7.76,5.91
NESTLEIND,Consumer Non-Durables,NIFTY_FMCG,3.858813642411927,5.785006063199936,-0.55,0.49,-0.68,4.41,5.3,6.47
ETERNAL,Technology Services,NIFTY_IT,-4.401673640167356,8.59315589353613,-0.55,0.49,5.09,-3.85,8.1,3.5
POWERGRID,Utilities,NIFTY_ENERGY,3.031383737517832,-0.5336546737820662,-0.55,0.49,-2.65,3.58,-1.02,2.12
COALINDIA,Energy Minerals,NIFTY_ENERGY,0.3976143141153054,-4.451864218141346,-0.55,0.49,-2.65,0.95,-4.94,-1.8
DMART,Retail Trade,NIFTY_FMCG,2.595419847328244,-6.471816283924843,-0.55,0.49,-0.68,3.15,-6.96,-5.79
ASIANPAINT,Process Industries,NIFTY_METAL,-0.3087797619047687,0.4008992131884533,-0.55,0.49,-3.47,0.24,-0.09,3.87
ADANIGREEN,Utilities,NIFTY_ENERGY,-8.977635782747603,-8.21520618556701,-0.55,0.49,-2.65,-8.43,-8.71,-5.57
SHRIRAMFIN,Finance,NIFTY_FIN_SERVICE,2.4908283452403897,7.831386490604358,-0.55,0.49,-1.75,3.04,7.34,9.58
TATASTEEL,Non-Energy Minerals,NIFTY_METAL,-0.7506702412868663,-6.396965865992417,-0.55,0.49,-3.47,-0.2,-6.89,-2.93
HINDZINC,Non-Energy Minerals,NIFTY_METAL,0.9622641509434006,-4.70169189670525,-0.55,0.49,-3.47,1.51,-5.19,-1.23
GRASIM,Non-Energy Minerals,NIFTY_METAL,2.7764279003466577,-0.3956043956043927,-0.55,0.49,-3.47,3.33,-0.89,3.07
HINDALCO,Non-Energy Minerals,NIFTY_METAL,-1.5939942410530643,-4.214214214214216,-0.55,0.49,-3.47,-1.04,-4.7,-0.74
EICHERMOT,Consumer Durables,NIFTY_AUTO,3.184885290148448,0.2096985583224115,-0.55,0.49,2.34,3.73,-0.28,-2.13
ADANIENSOL,Utilities,NIFTY_ENERGY,1.9833047184891364,11.336608066184064,-0.55,0.49,-2.65,2.53,10.85,13.99
INDIGO,Transportation,NIFTY_AUTO,-1.3997490105222512,1.3293650793650793,-0.55,0.49,2.34,-0.85,0.84,-1.01
