index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,28-Jul-2026,23931.05,3014733,2222233,0.74,24050,15.99
BANKNIFTY,28-Jul-2026,56878.85,678614,514776,0.76,57800,23.29
