index,ticker,close,prev_close,pct_change
NIFTY_50,^NSEI,23936.4,23996.25,-0.25
NIFTY_BANK,^NSEBANK,56880.5,57126.8,-0.43
NIFTY_NEXT_50,^NSMIDCP,72173.2,71828.4,0.48
INDIA_VIX,^INDIAVIX,13.31,13.29,0.19
SENSEX,^BSESN,76755.05,77470.11,-0.92
