symbol,fut_volume,opt_volume,tot_volume,fut_turnover,opt_turnover,tot_turnover,latest_oi,underlying_value
NIFTY,408,248829,249237,6404.548293,390473174700.7,18129.5478,6503964,24123.85
DIXON,1600,3617,5217,11267.346675,2613327879.5,12013.12547,125771,14235.0
ICICIGI,1450,2006,3456,7945.928965,1158411075.25,8231.0897175,28699,1654.2
HDFCLIFE,1027,1630,2657,6613.54562,1054527166.0,6802.26228,77545,579.15
HINDALCO,333,741,1074,2258.15436,513822512.0,2348.88948,119779,966.45
PAYTM,224,178,402,2263.619215,187004100.25,2331.0202175,71337,1385.3
BHEL,188,255,443,2092.19325,290320931.25,2176.0213125,65884,421.95
ANGELONE,200,1308,1508,1736.374,1173677675.0,1990.27575,27561,345.15
TCS,351,1532,1883,1733.8052025,770881722.75,1854.63243,431115,2201.3
BANKNIFTY,43,6085,6128,747.9751679999999,10707356179.2,1649.10696,1156504,57741.75
ETERNAL,175,1426,1601,1264.18354,1069177189.25,1540.8229325,120272,297.8
INFY,311,759,1070,1348.95744,340468144.0,1403.03888,556840,1087.5
PATANJALI,339,366,705,1294.60659,145179857.25,1347.9376625,71208,353.95
POWERINDIA,151,45,196,1290.6585125,39565235.5,1299.5608675,47561,33720.0
POLYCAB,109,15,124,1268.9493875,18152992.5,1272.7293125,44103,9334.0
ICICIBANK,115,133,248,1144.99175,135162895.0,1165.9907,242743,1416.5
BANDHANBNK,132,213,345,1024.5312,171367884.0,1069.79004,49220,217.81
HCLTECH,210,812,1022,979.7494,388898012.0,1042.20952,204820,1184.6
ICICIPRULI,181,279,460,885.3936275,140185711.0,914.5507375,40739,524.45
AMBER,114,32,146,901.74684,26321116.0,906.558,30348,7943.5
UNITDSPR,155,0,155,850.4974,0.0,850.4974,36289,1364.6
TORNTPHARM,128,343,471,803.22415,218665027.5,845.749425,39914,4999.1
ADANIPOWER,102,90,192,801.45297,74857146.0,820.76568,75994,220.84
BAJAJFINSV,146,12,158,808.30272,6890343.0,808.74615,77822,1842.1
BHARTIARTL,84,158,242,763.37307,147079247.0,772.87554,198153,1919.1
HDFCBANK,135,271,406,717.93722,145947990.5,738.609625,728649,814.05
BIOCON,65,118,183,710.76275,134825025.0,731.888,49282,438.05
KALYANKJIL,85,402,487,627.47595,303691842.0,727.53687,108890,546.55
ADANIENSOL,61,1,62,700.30035,1169100.0,700.78635,42211,1696.1
PERSISTENT,98,43,141,627.054225,28215435.0,635.458575,78198,5121.5
UNIONBANK,79,90,169,610.617255,71379807.75,625.1547075,62845,173.93
AXISBANK,73,137,210,599.7451875,116584837.5,617.8435625,170057,1312.2
WIPRO,108,186,294,565.0992,99546120.0,588.1854,192382,176.07
HDFCAMC,55,253,308,449.10552,216480495.0,481.33047,40920,2705.0
LT,70,62,132,466.537575,41932269.75,471.3202725,204075,3792.6
SWIGGY,90,89,179,449.9692625,46209474.5,465.4865075,52923,273.06
ABB,47,137,184,427.5689875,128111505.0,458.8090375,42835,7295.0
MIDCPNIFTY,13,908,921,231.373896,1632468393.6,406.637832,114728,14844.1
TECHM,44,14,58,398.39184,13114266.0,400.4865,67031,1512.1
SBIN,48,257,305,372.024,204424110.0,396.9651,221842,1029.8
DIVISLAB,53,172,225,387.33142,121438751.0,396.46893,80087,7281.0
CGPOWER,47,19,66,373.328755,15614304.5,377.6618,45330,933.05
RELIANCE,44,311,355,286.7354,209651100.0,311.4464,480519,1300.9
ADANIPORTS,30,18,48,261.70125,15972373.75,262.9649875,68982,1827.6
ASTRAL,41,4,45,237.262285,2524789.0,237.435175,36685,1359.9
RBLBANK,19,2,21,224.5115525,2463292.0,225.0144725,23657,371.05
GVT&D,38,12,50,222.965475,7533342.5,224.1739,26243,4655.0
VOLTAS,42,16,58,219.4542,8560260.0,221.0568,39599,1396.9
