symbol,date,prev_close,close,ttl_traded_qty,deliv_qty,deliv_pct,turnover_lacs,no_of_trades
TVSHLTD,2026-07-15,14060.0,14000.0,16077,14375,89.41,2261.75,1114
ANTHEM,2026-07-15,749.95,750.8,1278238,981445,76.78,9612.96,57998
ERIS,2026-07-15,1453.1,1459.7,146869,110946,75.54,2134.03,22152
ALKEM,2026-07-15,5601.5,5659.0,213207,160682,75.36,12057.8,16166
JBCHEPHARM,2026-07-15,2487.6,2506.0,717650,540682,75.34,17875.92,39196
PIRAMALFIN,2026-07-15,2152.9,2170.0,1180757,887506,75.16,25781.77,34451
GMRAIRPORT,2026-07-15,113.38,111.82,17318514,12682263,73.23,19556.47,34236
CHOLAHLDNG,2026-07-15,1586.7,1598.8,216795,157033,72.43,3460.26,17520
ENDURANCE,2026-07-15,2681.1,2746.2,313707,226758,72.28,8515.47,23297
LT,2026-07-15,3848.7,3783.9,3602201,2570439,71.36,137187.26,192356
ZFCVINDIA,2026-07-15,2313.2,2358.6,348210,246914,70.91,8214.97,29488
AIAENG,2026-07-15,4760.0,4828.5,166287,117370,70.58,8092.57,19789
SCHAEFFLER,2026-07-15,4139.2,4119.3,41846,29302,70.02,1724.77,7102
WELCORP,2026-07-15,1683.4,1680.1,1407359,970946,68.99,23696.93,34786
PETRONET,2026-07-15,276.05,278.4,2220213,1515263,68.25,6209.44,23655
ICICIBANK,2026-07-15,1407.7,1416.2,12961648,8843263,68.23,183800.61,203709
PGHH,2026-07-15,8877.0,8822.0,6843,4666,68.19,604.45,2001
ONGC,2026-07-15,248.9,247.18,13302251,8990794,67.59,32943.7,87326
LUPIN,2026-07-15,2469.2,2493.0,821069,549751,66.96,20490.63,52372
GLAND,2026-07-15,2488.3,2465.1,325204,217033,66.74,8065.48,24551
CUB,2026-07-15,221.3,220.21,2595607,1728628,66.6,5747.11,44376
NAVINFLUOR,2026-07-15,7586.0,7618.0,87587,58244,66.5,6680.98,11921
MAXHEALTH,2026-07-15,1092.9,1102.7,2718551,1802192,66.29,29832.23,67556
TITAN,2026-07-15,4573.7,4579.4,619451,409198,66.06,28427.09,44828
UNITDSPR,2026-07-15,1386.3,1373.4,967379,630836,65.21,13366.47,41794
IOC,2026-07-15,137.05,140.24,21309498,13683910,64.22,29738.88,90248
METROBRAND,2026-07-15,1050.6,1033.4,43420,27824,64.08,450.33,3972
JSL,2026-07-15,721.8,724.25,470218,300675,63.94,3416.29,31913
GICRE,2026-07-15,365.2,367.0,901335,576324,63.94,3321.46,13224
BAJAJHLDNG,2026-07-15,10486.0,10531.0,42422,27116,63.92,4458.9,7710
ASIANPAINT,2026-07-15,2641.0,2670.0,809114,516939,63.89,21605.36,52335
HINDALCO,2026-07-15,974.3,955.8,5279138,3371206,63.86,50749.37,167029
BHARTIARTL,2026-07-15,1936.5,1918.3,5763065,3671177,63.7,111268.09,122179
TORNTPHARM,2026-07-15,4973.5,5017.8,778853,494521,63.49,38827.34,76142
HDFCBANK,2026-07-15,809.4,815.45,21488739,13642307,63.49,175232.3,250860
NTPCGREEN,2026-07-15,94.15,92.98,2875348,1816889,63.19,2687.26,22732
PFC,2026-07-15,409.15,405.65,6011087,3796917,63.17,24510.69,68111
VAML,2026-07-15,454.7,449.6,9885157,6232413,63.05,44867.42,127716
MARICO,2026-07-15,848.25,844.45,1449908,909361,62.72,12274.95,63946
SHYAMMETL,2026-07-15,1035.95,1033.75,602596,377221,62.6,6255.19,18046
NTPC,2026-07-15,348.15,344.35,11352533,7084769,62.41,39245.86,103020
VEDL,2026-07-15,267.7,260.55,21696090,13530353,62.36,57219.47,177706
RECLTD,2026-07-15,352.45,351.7,3884183,2418061,62.25,13732.52,41415
GRANULES,2026-07-15,895.1,898.05,710913,442457,62.24,6378.29,23991
NESTLEIND,2026-07-15,1427.1,1424.4,1328750,826854,62.23,18997.11,43250
CPPLUS,2026-07-15,3622.8,3719.3,251129,155362,61.87,9302.6,24957
GODREJCP,2026-07-15,1061.6,1052.7,600220,370617,61.75,6330.22,27874
CEMPRO,2026-07-15,1596.6,1601.4,672139,410403,61.06,10568.62,24778
JINDALSTEL,2026-07-15,1040.1,1042.2,1751517,1068797,61.02,18293.6,60732
GRINDWELL,2026-07-15,2001.1,2045.9,45758,27883,60.94,940.87,9387
INDUSTOWER,2026-07-15,405.25,406.9,6262528,3807964,60.81,25532.81,62317
COALINDIA,2026-07-15,430.6,427.55,5624520,3414253,60.7,24070.08,70143
HINDZINC,2026-07-15,527.9,527.75,3173632,1924015,60.63,16897.6,42809
BHARATFORG,2026-07-15,2119.7,2100.4,719809,436089,60.58,15211.76,35008
M&M,2026-07-15,3093.3,3082.9,2377390,1435735,60.39,73601.23,144028
MEDANTA,2026-07-15,1320.9,1338.5,99693,59884,60.07,1332.22,15885
ASTRAZEN,2026-07-15,8198.5,8228.5,8724,5239,60.05,719.7,2583
DLF,2026-07-15,671.45,657.75,5657410,3395914,60.03,37852.1,85344
NMDC,2026-07-15,84.99,84.89,11975753,7147119,59.68,10187.06,72066
EICHERMOT,2026-07-15,7279.5,7404.5,758954,452809,59.66,56060.01,56522
POWERGRID,2026-07-15,286.15,280.7,9907688,5901001,59.56,27901.25,84190
CUMMINSIND,2026-07-15,5493.5,5549.5,522110,310107,59.39,29020.45,46221
APLAPOLLO,2026-07-15,1799.0,1817.2,257930,151946,58.91,4680.41,23757
VBL,2026-07-15,470.25,464.2,5070265,2985915,58.89,23645.61,69089
COLPAL,2026-07-15,2008.7,2011.8,121471,71268,58.67,2444.36,15489
TVSMOTOR,2026-07-15,3608.4,3612.3,709493,415683,58.59,25613.63,55754
EMCURE,2026-07-15,1810.1,1790.3,95679,55979,58.51,1717.84,10736
NATIONALUM,2026-07-15,364.9,361.5,7471482,4363968,58.41,27046.88,106882
BEL,2026-07-15,410.1,410.95,9115088,5310527,58.26,37483.72,109183
HATSUN,2026-07-15,933.5,932.55,16134,9395,58.23,150.55,2166
BPCL,2026-07-15,305.35,309.6,9056446,5266844,58.16,28031.27,76830
PIDILITIND,2026-07-15,1555.4,1568.8,1092354,634638,58.1,17278.57,53326
TORNTPOWER,2026-07-15,1465.3,1441.1,198999,115486,58.03,2868.55,14377
SUNPHARMA,2026-07-15,1942.6,1951.5,2283494,1320859,57.84,44617.65,118819
ETERNAL,2026-07-15,286.15,294.8,45125835,26099001,57.84,132038.2,145248
ESCORTS,2026-07-15,2928.4,2918.9,67720,39162,57.83,1981.71,7956
ACMESOLAR,2026-07-15,384.6,392.15,1967707,1131743,57.52,7656.98,38580
IGL,2026-07-15,151.79,151.56,672868,386913,57.5,1021.92,22778
SUNDARMFIN,2026-07-15,4461.1,4505.9,59137,33887,57.3,2659.21,15316
IRCTC,2026-07-15,496.95,503.3,975081,558655,57.29,4887.32,26161
HAVELLS,2026-07-15,1187.3,1177.4,969323,555295,57.29,11477.04,40547
APOLLOHOSP,2026-07-15,8900.5,8934.0,501832,286937,57.18,44944.81,57649
TATACONSUM,2026-07-15,1097.6,1085.5,1154409,659345,57.12,12555.34,44526
AUROPHARMA,2026-07-15,1552.8,1550.2,327039,186789,57.12,5081.93,15600
IIFL,2026-07-15,541.5,543.6,1333321,759675,56.98,7241.01,47367
SBILIFE,2026-07-15,1840.3,1866.4,895874,508033,56.71,16708.15,78669
THERMAX,2026-07-15,4379.5,4548.0,359795,203883,56.67,16189.26,45371
FORTIS,2026-07-15,969.75,976.15,1163956,658759,56.6,11402.95,45937
TENNIND,2026-07-15,569.15,564.55,234295,132265,56.45,1325.95,12853
GRASIM,2026-07-15,3113.3,3086.1,726262,410007,56.45,22585.74,41305
POLICYBZR,2026-07-15,1566.9,1610.8,1935512,1092463,56.44,31141.36,48138
CRISIL,2026-07-15,4053.7,4209.9,84727,47663,56.25,3537.1,14186
PHOENIXLTD,2026-07-15,2132.5,2132.4,342573,192477,56.19,7307.38,24737
SHRIRAMFIN,2026-07-15,1013.9,1033.8,7089054,3981014,56.16,73640.68,116650
INDHOTEL,2026-07-15,733.3,743.2,1514872,848278,56.0,11233.17,50829
JSWENERGY,2026-07-15,557.25,549.9,2799933,1561530,55.77,15482.81,72855
KOTAKBANK,2026-07-15,378.65,378.4,8082156,4507753,55.77,30611.62,93507
ZYDUSLIFE,2026-07-15,1133.6,1156.9,2033795,1133965,55.76,23559.15,50480
LLOYDSME,2026-07-15,1825.5,1866.1,792357,440994,55.66,14657.0,22636
HINDUNILVR,2026-07-15,2120.2,2102.6,2029614,1129638,55.66,42653.79,65065
GLAXO,2026-07-15,2463.4,2483.7,49110,27235,55.46,1215.65,8072
MOTHERSON,2026-07-15,142.06,142.11,14174935,7836962,55.29,20188.87,66215
BAJFINANCE,2026-07-15,1006.6,1021.3,5538356,3060623,55.26,56747.21,159723
HDBFS,2026-07-15,743.9,751.7,406750,222717,54.76,3055.48,17658
CIPLA,2026-07-15,1438.1,1438.0,924453,505806,54.71,13345.24,47194
ICICIGI,2026-07-15,1788.1,1814.6,637190,348111,54.63,11541.76,38451
APOLLOTYRE,2026-07-15,425.85,427.0,1493654,814147,54.51,6425.38,34733
TRENT,2026-07-15,2869.1,2867.7,1034561,562873,54.41,29739.8,77301
GODIGIT,2026-07-15,307.8,298.65,261233,141236,54.07,787.39,8234
BRITANNIA,2026-07-15,5283.5,5315.5,208524,112449,53.93,11074.64,21900
EIHOTEL,2026-07-15,336.8,339.0,214531,115672,53.92,726.09,11330
INDIGO,2026-07-15,5108.0,5171.0,737971,397542,53.87,38276.24,55030
AADHARHFC,2026-07-15,518.95,513.75,240740,129560,53.82,1242.46,18839
TMCV,2026-07-15,417.4,423.55,9207848,4952912,53.79,39118.43,113971
AXISBANK,2026-07-15,1317.6,1312.3,9442403,5077075,53.77,125294.93,184887
VMM,2026-07-15,114.28,113.94,10034825,5387412,53.69,11449.97,46863
LGEINDIA,2026-07-15,1527.3,1556.7,293232,157411,53.68,4530.26,19474
KARURVYSYA,2026-07-15,299.55,305.4,2108877,1130380,53.6,6451.09,46589
HUDCO,2026-07-15,207.85,204.92,1653081,885399,53.56,3412.46,15933
MARUTI,2026-07-15,13489.0,13583.0,456369,244205,53.51,61762.85,66062
ULTRACEMCO,2026-07-15,11496.0,11812.0,379635,202500,53.34,44678.64,60570
FEDERALBNK,2026-07-15,327.5,327.55,2909042,1549766,53.27,9538.65,40293
RELIANCE,2026-07-15,1293.0,1295.5,9577965,5093114,53.18,124537.01,189291
LALPATHLAB,2026-07-15,1744.6,1723.3,309031,164243,53.15,5416.22,25744
BHARTIHEXA,2026-07-15,1621.8,1639.8,219802,116654,53.07,3582.54,19607
TMPV,2026-07-15,333.35,333.0,7144390,3780003,52.91,23797.23,82393
ABBOTINDIA,2026-07-15,27500.0,27640.0,8698,4601,52.9,2395.77,3302
NH,2026-07-15,2007.2,2037.4,120756,63789,52.82,2454.01,12497
CENTRALBK,2026-07-15,32.23,32.72,11518453,6058077,52.59,3767.0,19107
SUNDRMFAST,2026-07-15,959.75,960.0,38645,20319,52.58,371.15,3626
SJVN,2026-07-15,70.38,70.03,1437138,753580,52.44,1009.12,12466
ASTRAL,2026-07-15,1358.5,1359.8,361185,188977,52.32,4896.55,18854
CHOLAFIN,2026-07-15,1771.5,1803.9,1510352,789966,52.3,27373.81,55156
GESHIP,2026-07-15,1418.8,1393.2,331436,172241,51.97,4642.04,24068
NAUKRI,2026-07-15,1187.95,1185.95,1057048,548467,51.89,12573.95,40181
DRREDDY,2026-07-15,1246.2,1229.5,1685660,873947,51.85,20777.8,55061
COFORGE,2026-07-15,1534.5,1533.2,2948151,1528406,51.84,45472.75,98773
SANSERA,2026-07-15,3238.6,3254.8,130799,67763,51.81,4283.71,23386
NUVAMA,2026-07-15,1933.9,1919.3,251997,130351,51.73,4853.84,17996
JSWSTEEL,2026-07-15,1247.7,1226.9,836306,431608,51.61,10324.66,37422
CRAFTSMAN,2026-07-15,9158.0,9230.5,36515,18808,51.51,3353.56,9832
SHREECEM,2026-07-15,26280.0,26925.0,17102,8803,51.47,4591.04,7610
NYKAA,2026-07-15,324.45,329.1,5131827,2640330,51.45,16731.15,50869
PRESTIGE,2026-07-15,1693.6,1686.0,335239,172444,51.44,5681.35,18260
LENSKART,2026-07-15,537.9,544.35,2735706,1405520,51.38,14808.86,55050
UBL,2026-07-15,1348.7,1357.3,101007,51825,51.31,1367.87,12659
ABSLAMC,2026-07-15,1143.6,1149.1,209635,107246,51.16,2408.99,20723
PAGEIND,2026-07-15,40530.0,40395.0,24410,12453,51.02,9867.98,8909
GLENMARK,2026-07-15,2305.1,2297.4,491365,250669,51.01,11314.86,21154
