symbol,latest_oi,prev_oi,change_in_oi,pct_change_oi,volume,fut_value,opt_value,prem_value,underlying_value
-,1156262,1156262,0,0,0,0,0,0,57831
-,55480,55480,0,0,0,0,0,0,327
-,41956,41956,0,0,0,0,0,0,1614
-,22054,22054,0,0,0,0,0,0,2540
-,35844,35844,0,0,0,0,0,0,1043
-,63084,63084,0,0,0,0,0,0,641
-,21002,21002,0,0,0,0,0,0,3450
-,139421,139421,0,0,0,0,0,0,344
-,39721,39721,0,0,0,0,0,0,2304
-,49182,49182,0,0,0,0,0,0,1271
-,64682,64682,0,0,0,0,0,0,2670
-,60056,60056,0,0,0,0,0,0,280
-,204935,204935,0,0,0,0,0,0,1166
-,84815,84815,0,0,0,0,0,0,7396
-,30021,30021,0,0,0,0,0,0,5317
-,28216,28216,0,0,0,0,0,0,1612
-,121969,121969,0,0,0,0,0,0,236
-,47528,47528,0,0,0,0,0,0,33935
-,36717,36717,0,0,0,0,0,0,742
-,101826,101826,0,0,0,0,0,0,427
-,63083,63083,0,0,0,0,0,0,156
-,74611,74611,0,0,0,0,0,0,84
-,15044,15044,0,0,0,0,0,0,2126
-,126659,126659,0,0,0,0,0,0,260
-,25773,25773,0,0,0,0,0,0,40500
-,119767,119767,0,0,0,0,0,0,953
-,19632,19632,0,0,0,0,0,0,1160
-,27164,27164,0,0,0,0,0,0,599
-,31381,31381,0,0,0,0,0,0,2004
-,75912,75912,0,0,0,0,0,0,219
-,71376,71376,0,0,0,0,0,0,1388
-,87986,87986,0,0,0,0,0,0,126
-,44053,44053,0,0,0,0,0,0,9300
-,67064,67064,0,0,0,0,0,0,405
-,221800,221800,0,0,0,0,0,0,1030
-,28127,28127,0,0,0,0,0,0,97
-,102171,102171,0,0,0,0,0,0,1953
-,34431,34431,0,0,0,0,0,0,1803
-,480487,480487,0,0,0,0,0,0,1296
-,49242,49242,0,0,0,0,0,0,433
-,19711,19711,0,0,0,0,0,0,1089
-,42810,42810,0,0,0,0,0,0,7230
-,34951,34951,0,0,0,0,0,0,259
-,69087,69087,0,0,0,0,0,0,105
-,18252,18252,0,0,0,0,0,0,26940
-,8179,8179,0,0,0,0,0,0,1913
-,30820,30820,0,0,0,0,0,0,121
-,85071,85071,0,0,0,0,0,0,659
-,65825,65825,0,0,0,0,0,0,52
-,66368,66368,0,0,0,0,0,0,553
-,40331,40331,0,0,0,0,0,0,829
-,146292,146292,0,0,0,0,0,0,2870
-,73469,73469,0,0,0,0,0,0,3083
-,18685,18685,0,0,0,0,0,0,1104
-,34315,34315,0,0,0,0,0,0,1885
-,108829,108829,0,0,0,0,0,0,544
-,73029,73029,0,0,0,0,0,0,11830
-,151031,151031,0,0,0,0,0,0,1020
-,77247,77247,0,0,0,0,0,0,1229
-,45003,45003,0,0,0,0,0,0,430
-,64317,64317,0,0,0,0,0,0,79
-,40476,40476,0,0,0,0,0,0,3011
-,556829,556829,0,0,0,0,0,0,1077
-,70421,70421,0,0,0,0,0,0,10311
-,192393,192393,0,0,0,0,0,0,174
-,42151,42151,0,0,0,0,0,0,1680
-,48810,48810,0,0,0,0,0,0,2369
-,40034,40034,0,0,0,0,0,0,1411
-,31135,31135,0,0,0,0,0,0,492
-,143363,143363,0,0,0,0,0,0,411
-,83559,83559,0,0,0,0,0,0,4587
-,6587,6587,0,0,0,0,0,0,10508
-,170027,170027,0,0,0,0,0,0,1311
-,39407,39407,0,0,0,0,0,0,550
-,31226,31226,0,0,0,0,0,0,18313
-,40887,40887,0,0,0,0,0,0,2724
-,34173,34173,0,0,0,0,0,0,429
-,48089,48089,0,0,0,0,0,0,1186
-,32802,32802,0,0,0,0,0,0,2779
-,122306,122306,0,0,0,0,0,0,13
-,12913,12913,0,0,0,0,0,0,113
-,19505,19505,0,0,0,0,0,0,41485
-,728606,728606,0,0,0,0,0,0,815
-,77226,77226,0,0,0,0,0,0,567
-,14693,14693,0,0,0,0,0,0,1157
-,85395,85395,0,0,0,0,0,0,408
-,62439,62439,0,0,0,0,0,0,1033
-,70515,70515,0,0,0,0,0,0,4420
-,24027,24027,0,0,0,0,0,0,435
-,39591,39591,0,0,0,0,0,0,1377
-,27347,27347,0,0,0,0,0,0,2343
-,193496,193496,0,0,0,0,0,0,276
-,101595,101595,0,0,0,0,0,0,3753
