date,symbol,subject,details,category
16-Jul-2026 09:11:46,PDMJEPAPER,Copy of Newspaper Publication,Pudumjee Paper Products Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
16-Jul-2026 08:43:39,BIOCON,Updates,Biocon Limited has informed the Exchange regarding 'Company Statement'.,Updates
16-Jul-2026 08:33:26,ACMESOLAR,Press Release,"Acme Solar Holdings Limited has informed the Exchange regarding a press release dated July 16, 2026, titled ""ACME Solar raises INR 2,646.64crore project funding for 450MW/1800MWh FDRE Project from REC Ltd"".",Press Release
16-Jul-2026 06:40:47,HOMEFIRST,General Updates,Home First Finance Company India Limited has informed the Exchange about ESG Rating by SES ESG Research Private Limited,General Updates
15-Jul-2026 23:46:04,HDBFS,Analysts/Institutional Investor Meet/Con. Call Updates,HDB Financial Services Limited has informed the Exchange about Link of Recording,Analysts/Institutional Investor Meet/Con. Call Updates
15-Jul-2026 23:36:57,CREATIVEYE,Resignation of Director/KMP/SMP,Creative Eye Limited has informed the Exchange about Resignation of Director/KMP/SMP,Resignation of Director/KMP/SMP
15-Jul-2026 23:30:58,CREATIVEYE,Change in Management,Creative Eye Limited has informed the Exchange about change in Management - Resignation of Company Secretary and Compliance Officer (KMP),Change in Management
15-Jul-2026 23:27:49,CREATIVEYE,Resignation,"Creative Eye Limited has informed the Exchange regarding Resignation of  Ms. Prema Dubey as Company Secretary & Compliance Officer of the company w.e.f closing business hours of July 31, 2026.",Resignation
15-Jul-2026 23:25:36,JSWHL,General Updates,"JSW Holdings Limited has informed the Exchange about Inland Letter dispatched to the Shareholder of the Company pursuant to the Regulation 36(1)(b) of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015",General Updates
15-Jul-2026 23:20:05,MANAPPURAM,Shareholders meeting,"Manappuram Finance Limited has submitted the Exchange a copy Srutinizers report of  Extraordinary General Meeting held on July 14, 2026. Further, the company has informed the Exchange regarding voting results.",Shareholders meeting
15-Jul-2026 23:19:36,OLAELEC,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Ola Electric Mobility Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","Certificate under SEBI (Depositories and Participants) Regulations, 2018"
15-Jul-2026 23:17:00,DUCON,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Ducon Infratechnologies Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","Certificate under SEBI (Depositories and Participants) Regulations, 2018"
15-Jul-2026 23:08:25,INTLCONV,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","International Conveyors Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","Certificate under SEBI (Depositories and Participants) Regulations, 2018"
15-Jul-2026 23:07:29,POWERICA,Press Release,"Powerica Limited has informed the Exchange regarding a press release dated July 15, 2026, titled ""Powerica Secures 100MW Wind Project bid from SECI s Wind Power Tender"".",Press Release
15-Jul-2026 23:06:34,PIRAMALFIN,Credit Rating- New,"Credit Ratings by Japan Credit Rating Agency, Ltd. and Rating and Investment Information, Inc.: BBB (Stable)",Credit Rating- New
15-Jul-2026 23:05:30,ACMESOLAR,Commencement of commercial production/operations,Acme Solar Holdings Limited has informed the Exchange about commissioning of Battery Energy Storage System (BESS) Project,Commencement of commercial production/operations
15-Jul-2026 22:55:50,CGPOWER,Shareholders meeting,"CG Power and Industrial Solutions Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 24, 2026",Shareholders meeting
15-Jul-2026 22:45:30,CUBEXTUB,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Cubex Tubings Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","Certificate under SEBI (Depositories and Participants) Regulations, 2018"
15-Jul-2026 22:37:54,INFOBEAN,Shareholders meeting,"InfoBeans Techno. Ltd. has informed the Exchange regarding Notice of Annual General Meeting to be held on August 07, 2026",Shareholders meeting
15-Jul-2026 22:34:19,HCLTECH,Analysts/Institutional Investor Meet/Con. Call Updates,HCL Technologies Limited has informed the Exchange about Transcript,Analysts/Institutional Investor Meet/Con. Call Updates
