symbol,sector,nifty_sector_index,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
KOTAKBANK,Finance,NIFTY_FIN_SERVICE,1.6150740242261103,-6.96241528034504,0.68,0.57,6.04,0.94,-7.53,-13.0
ITC,Consumer Non-Durables,NIFTY_FMCG,-1.7066666666666708,-4.060385216033312,0.68,0.57,-0.49,-2.39,-4.63,-3.57
ULTRACEMCO,Non-Energy Minerals,NIFTY_METAL,4.428596583905617,3.2738354375272096,0.68,0.57,-1.16,3.75,2.7,4.43
NTPC,Utilities,NIFTY_ENERGY,-1.3323782234956956,-1.5439599714081422,0.68,0.57,2.07,-2.01,-2.11,-3.61
HCLTECH,Technology Services,NIFTY_IT,2.744515339568228,3.023663453111306,0.68,0.57,0.94,2.06,2.45,2.08
ONGC,Energy Minerals,NIFTY_ENERGY,-0.7692615890059762,1.4417366373131195,0.68,0.57,2.07,-1.45,0.87,-0.63
JSWSTEEL,Non-Energy Minerals,NIFTY_METAL,0.7271241830065434,-5.161538461538455,0.68,0.57,-1.16,0.05,-5.73,-4.0
BEL,Electronic Technology,NIFTY_IT,0.769888793840898,0.6591796874999972,0.68,0.57,0.94,0.09,0.09,-0.28
BAJAJFINSV,Finance,NIFTY_FIN_SERVICE,-0.5926724137931034,5.128205128205129,0.68,0.57,6.04,-1.27,4.56,-0.91
HAL,Electronic Technology,NIFTY_IT,1.6206896551724137,2.807107307316615,0.68,0.57,0.94,0.94,2.24,1.87
BAJAJ_AUTO,Consumer Durables,NIFTY_AUTO,1.4150943396226414,3.2826261008807047,0.68,0.57,3.58,0.74,2.71,-0.3
ETERNAL,Technology Services,NIFTY_IT,3.828750435085277,17.533490937746254,0.68,0.57,0.94,3.15,16.96,16.59
NESTLEIND,Consumer Non-Durables,NIFTY_FMCG,-1.6391184573002724,3.838883233968297,0.68,0.57,-0.49,-2.32,3.27,4.33
POWERGRID,Utilities,NIFTY_ENERGY,0.232142857142849,-1.904928346731928,0.68,0.57,2.07,-0.45,-2.47,-3.97
COALINDIA,Energy Minerals,NIFTY_ENERGY,-0.959648514279102,-3.957842807489624,0.68,0.57,2.07,-1.64,-4.53,-6.03
ADANIGREEN,Utilities,NIFTY_ENERGY,3.4801558475863468,5.196025778732552,0.68,0.57,2.07,2.8,4.63,3.13
DMART,Retail Trade,NIFTY_FMCG,-2.337630143777893,-4.120223898758827,0.68,0.57,-0.49,-3.02,-4.69,-3.63
ASIANPAINT,Process Industries,NIFTY_METAL,0.3762227238525207,-2.663261583363736,0.68,0.57,-1.16,-0.3,-3.23,-1.5
SHRIRAMFIN,Finance,NIFTY_FIN_SERVICE,1.6676476358642451,3.847695390781572,0.68,0.57,6.04,0.99,3.28,-2.19
TATASTEEL,Non-Energy Minerals,NIFTY_METAL,-1.7625329815303448,-5.746544478760567,0.68,0.57,-1.16,-2.44,-6.32,-4.59
HINDZINC,Non-Energy Minerals,NIFTY_METAL,0.4734848484848485,-6.106194690265487,0.68,0.57,-1.16,-0.21,-6.68,-4.95
HINDALCO,Non-Energy Minerals,NIFTY_METAL,-0.7100957085520315,-2.54545454545455,0.68,0.57,-1.16,-1.39,-3.12,-1.39
GRASIM,Non-Energy Minerals,NIFTY_METAL,-1.083147499203568,-2.358490566037736,0.68,0.57,-1.16,-1.76,-2.93,-1.2
ADANIENSOL,Utilities,NIFTY_ENERGY,1.812707015959043,12.857142857142852,0.68,0.57,2.07,1.13,12.29,10.79
EICHERMOT,Consumer Durables,NIFTY_AUTO,-0.3774602318684281,-3.449176900966815,0.68,0.57,3.58,-1.06,-4.02,-7.03
INDIGO,Transportation,NIFTY_AUTO,1.1807181889149103,5.698267074413863,0.68,0.57,3.58,0.5,5.13,2.12
IOC,Energy Minerals,NIFTY_ENERGY,2.099832885272117,-3.0562262849258217,0.68,0.57,2.07,1.42,-3.63,-5.13
DIVISLAB,Health Technology,NIFTY_PHARMA,8.284506415486169,10.27190332326284,0.68,0.57,7.74,7.6,9.7,2.53
SBILIFE,Finance,NIFTY_FIN_SERVICE,3.9854667411961966,5.000846644465762,0.68,0.57,6.04,3.31,4.43,-1.04
VAML,Non-Energy Minerals,NIFTY_METAL,-0.4614370468029054,-3.844112839888776,0.68,0.57,-1.16,-1.14,-4.41,-2.68
WIPRO,Technology Services,NIFTY_IT,1.5028901734104014,-3.7227918197269543,0.68,0.57,0.94,0.82,-4.29,-4.66
TVSMOTOR,Consumer Durables,NIFTY_AUTO,-1.577796007656544,3.8788998239487458,0.68,0.57,3.58,-2.26,3.31,0.3
TORNTPHARM,Health Technology,NIFTY_PHARMA,3.417147568013194,10.79266946345772,0.68,0.57,7.74,2.74,10.22,3.05
DLF,Finance,NIFTY_FIN_SERVICE,3.3351644039865027,6.537216828478961,0.68,0.57,6.04,2.66,5.97,0.5
SOLARINDS,Process Industries,NIFTY_METAL,1.8172724241413805,5.414269275028769,0.68,0.57,-1.16,1.14,4.84,6.57
HYUNDAI,Consumer Durables,NIFTY_AUTO,4.122312669588812,-2.186274509803917,0.68,0.57,3.58,3.44,-2.76,-5.77
VBL,Consumer Non-Durables,NIFTY_FMCG,-2.452830188679243,-14.364590043250208,0.68,0.57,-0.49,-3.13,-14.93,-13.87
PIDILITIND,Process Industries,NIFTY_METAL,0.4267515923566908,-0.6490233144297388,0.68,0.57,-1.16,-0.25,-1.22,0.51
ICICIAMC,Finance,NIFTY_FIN_SERVICE,-1.109578736208629,-4.277912621359223,0.68,0.57,6.04,-1.79,-4.85,-10.32
JIOFIN,Finance,NIFTY_FIN_SERVICE,2.935064935064936,-0.9456363257654696,0.68,0.57,6.04,2.26,-1.52,-6.99
BSE,Finance,NIFTY_FIN_SERVICE,0.1993620414673046,-9.135832228516332,0.68,0.57,6.04,-0.48,-9.71,-15.18
TMCV,Consumer Durables,NIFTY_AUTO,1.5220517737296315,3.3048780487804907,0.68,0.57,3.58,0.84,2.73,-0.28
TRENT,Retail Trade,NIFTY_FMCG,-2.332767402376904,-1.344537815126044,0.68,0.57,-0.49,-3.01,-1.91,-0.85
CUMMINSIND,Producer Manufacturing,NIFTY_AUTO,0.944424264438794,-4.139358399448086,0.68,0.57,3.58,0.26,-4.71,-7.72
TATACAP,Finance,NIFTY_FIN_SERVICE,3.540462427745665,3.840579710144928,0.68,0.57,6.04,2.86,3.27,-2.2
CHOLAFIN,Finance,NIFTY_FIN_SERVICE,2.490096208262592,9.76422813503848,0.68,0.57,6.04,1.81,9.19,3.72
MOTHERSON,Producer Manufacturing,NIFTY_AUTO,1.5334141644675885,-3.875759621877097,0.68,0.57,3.58,0.85,-4.45,-7.46
IDEA,Communications,,-1.3581129378127197,-7.877169559412548,0.68,0.57,,-2.04,-8.45,
ABB,Producer Manufacturing,NIFTY_AUTO,7.116519174041298,4.421279654924515,0.68,0.57,3.58,6.44,3.85,0.84
TECHM,Technology Services,NIFTY_IT,6.192145862552592,5.518779179151283,0.68,0.57,0.94,5.51,4.95,4.58
POWERINDIA,Electronic Technology,NIFTY_IT,6.588785046728972,-1.6810344827586208,0.68,0.57,0.94,5.91,-2.25,-2.62
CGPOWER,Producer Manufacturing,NIFTY_AUTO,2.541721563460704,-1.0174341582321986,0.68,0.57,3.58,1.86,-1.59,-4.6
POLYCAB,Producer Manufacturing,NIFTY_AUTO,0.2370689655172413,-3.1041666666666665,0.68,0.57,3.58,-0.44,-3.67,-6.68
BHEL,Producer Manufacturing,NIFTY_AUTO,11.85526315789474,10.718937223235228,0.68,0.57,3.58,11.18,10.15,7.14
PFC,Finance,NIFTY_FIN_SERVICE,0.7310122661380222,-4.689331770222744,0.68,0.57,6.04,0.05,-5.26,-10.73
BPCL,Energy Minerals,NIFTY_ENERGY,2.6190084005929792,-0.7961783439490446,0.68,0.57,2.07,1.94,-1.37,-2.87
UNIONBANK,Finance,NIFTY_FIN_SERVICE,13.118779888845792,1.501884604233113,0.68,0.57,6.04,12.44,0.93,-4.54
APOLLOHOSP,Health Services,NIFTY_PHARMA,1.9699651687317992,5.4377989018126,0.68,0.57,7.74,1.29,4.87,-2.3
