index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,21-Jul-2026,24136.05,1826075,1416966,0.78,24100,11.53
BANKNIFTY,28-Jul-2026,57809.85,510628,434764,0.85,58000,14.81
