index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,30-Jun-2026,24056.0,2573658.307692308,2637681.769230769,1.02,24100,9.67
BANKNIFTY,30-Jun-2026,58177.05,552370.0,649414.0,1.18,57500,10.98
