index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,15-Sep-2026,23398.1,2607993,2755741,1.06,23450,12.43
BANKNIFTY,29-Sep-2026,56606.55,536135,489900,0.91,57500,13.33
