symbol,sector,industry,nifty_sector_index,sector_match_basis,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
RELIANCE,Energy Minerals,Oil Refining/Marketing,NIFTY_ENERGY,industry,-3.573345602331103,-5.015484553213995,-1.66,-3.92,-2.39,-1.91,-1.1,-2.63
BHARTIARTL,Communications,Wireless Telecommunications,,unmapped,-1.980622022375676,-4.060567955569527,-1.66,-3.92,,-0.32,-0.14,
HDFCBANK,Finance,Major Banks,NIFTY_BANK,industry,-0.0141173148867117,-2.8463648834019204,-1.66,-3.92,-2.44,1.65,1.07,-0.41
ICICIBANK,Finance,Regional Banks,NIFTY_BANK,industry,-3.6868933733677776,-3.5049671190709484,-1.66,-3.92,-2.44,-2.03,0.42,-1.06
SBIN,Finance,Regional Banks,NIFTY_BANK,industry,-2.9532163742690014,-6.594746716697932,-1.66,-3.92,-2.44,-1.29,-2.67,-4.15
TCS,Technology Services,Information Technology Services,NIFTY_IT,industry,-5.545064377682396,-10.013493069468849,-1.66,-3.92,-7.79,-3.89,-6.09,-2.22
BAJFINANCE,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,-1.5324576432514667,-5.35224153705398,-1.66,-3.92,1.89,0.13,-1.43,-7.24
LT,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,-1.2635016327555937,-2.657256067360084,-1.66,-3.92,-0.98,0.4,1.26,-1.68
LICI,Finance,Life/Health Insurance,NIFTY_FIN_SERVICE,industry,-3.0586541921554518,-1.1980440097799456,-1.66,-3.92,1.89,-1.4,2.72,-3.09
HINDUNILVR,Consumer Non-Durables,Household/Personal Care,NIFTY_FMCG,industry,-2.0335536349771224,-6.682808716707021,-1.66,-3.92,-1.63,-0.37,-2.76,-5.05
SUNPHARMA,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,-3.7656903765690375,-5.25231719876416,-1.66,-3.92,-0.77,-2.11,-1.33,-4.48
TITAN,Consumer Durables,Other Consumer Specialties,NIFTY_AUTO,sector,-0.0099800399201596,-2.310842433697348,-1.66,-3.92,1.4,1.65,1.61,-3.71
ADANIENT,Distribution Services,Wholesale Distributors,,unmapped,5.517241379310345,1.3245033112582782,-1.66,-3.92,,7.18,5.24,
INFY,Technology Services,Information Technology Services,NIFTY_IT,industry,-8.41129744042365,-12.474696356275292,-1.66,-3.92,-7.79,-6.75,-8.55,-4.68
KOTAKBANK,Finance,Major Banks,NIFTY_BANK,industry,-0.6284833392624161,7.161125319693094,-1.66,-3.92,-2.44,1.03,11.08,9.6
ADANIPOWER,Utilities,Electric Utilities,NIFTY_ENERGY,industry,0.8065677660953512,0.4641148325358846,-1.66,-3.92,-2.39,2.47,4.38,2.85
ADANIPORTS,Transportation,Other Transportation,,unmapped,3.806106241543609,5.677326625943225,-1.66,-3.92,,5.47,9.6,
MARUTI,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,-3.7267080745341614,-11.365260900643316,-1.66,-3.92,1.4,-2.07,-7.45,-12.77
AXISBANK,Finance,Major Banks,NIFTY_BANK,industry,-1.9129339526096163,1.3008130081300813,-1.66,-3.92,-2.44,-0.25,5.22,3.74
M&M,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,-1.636749295596284,-10.202312138728324,-1.66,-3.92,1.4,0.02,-6.28,-11.6
HAL,Electronic Technology,Aerospace & Defense,NIFTY_IT,sector,1.5317739598426827,-0.0814829904257486,-1.66,-3.92,-7.79,3.19,3.84,7.71
NTPC,Utilities,Electric Utilities,NIFTY_ENERGY,industry,0.1953418482344034,-1.492096321465508,-1.66,-3.92,-2.39,1.86,2.43,0.9
ULTRACEMCO,Non-Energy Minerals,Construction Materials,NIFTY_INFRA,industry,-3.1434357664876287,-6.700593723494487,-1.66,-3.92,-0.98,-1.48,-2.78,-5.72
HCLTECH,Technology Services,Information Technology Services,NIFTY_IT,industry,-8.966714469016543,-11.963503649635042,-1.66,-3.92,-7.79,-7.31,-8.04,-4.17
BAJAJ_AUTO,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,-2.7238650562265723,-0.4348196777218859,-1.66,-3.92,1.4,-1.06,3.49,-1.83
ITC,Consumer Non-Durables,Tobacco,NIFTY_FMCG,industry,-1.5719696969696884,-6.863799283154114,-1.66,-3.92,-1.63,0.09,-2.94,-5.23
JSWSTEEL,Non-Energy Minerals,Steel,NIFTY_METAL,industry,-3.0651340996168583,-1.6253207869974406,-1.66,-3.92,-4.41,-1.41,2.29,2.78
ETERNAL,Technology Services,Internet Software/Services,NIFTY_IT,industry,-0.5533353827236432,1.4265558865025902,-1.66,-3.92,-7.79,1.11,5.35,9.22
BAJAJFINSV,Finance,Life/Health Insurance,NIFTY_FIN_SERVICE,industry,-3.602015113350126,-5.412753336628769,-1.66,-3.92,1.89,-1.94,-1.49,-7.3
ONGC,Energy Minerals,Oil Refining/Marketing,NIFTY_ENERGY,industry,-1.248725790010193,-3.125,-1.66,-3.92,-2.39,0.41,0.79,-0.73
BEL,Electronic Technology,Aerospace & Defense,NIFTY_IT,sector,-1.197312156383623,-0.4064039408866939,-1.66,-3.92,-7.79,0.46,3.51,7.38
NESTLEIND,Consumer Non-Durables,Food: Major Diversified,NIFTY_FMCG,industry,-2.2402826855123705,-7.964071856287427,-1.66,-3.92,-1.63,-0.58,-4.04,-6.33
COALINDIA,Energy Minerals,Coal,NIFTY_ENERGY,industry,2.009569377990425,3.3446437227338714,-1.66,-3.92,-2.39,3.67,7.26,5.73
POWERGRID,Utilities,Alternative Power Generation,NIFTY_ENERGY,industry,0.8242787560884397,0.4291845493562359,-1.66,-3.92,-2.39,2.48,4.35,2.82
HINDZINC,Non-Energy Minerals,Other Metals/Minerals,NIFTY_METAL,industry,-3.603678929765879,-2.2883295194508007,-1.66,-3.92,-4.41,-1.94,1.63,2.12
DIVISLAB,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,0.8437905668541756,8.018539976825029,-1.66,-3.92,-0.77,2.5,11.94,8.79
SHRIRAMFIN,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,-1.4939666730511527,-9.414354909731404,-1.66,-3.92,1.89,0.17,-5.49,-11.3
DMART,Retail Trade,Specialty Stores,NIFTY_FMCG,sector,-2.045152722443559,-8.599752168525402,-1.66,-3.92,-1.63,-0.39,-4.68,-6.97
ASIANPAINT,Process Industries,Industrial Specialties,,unmapped,-2.65748031496063,-9.538270159519971,-1.66,-3.92,,-1.0,-5.62,
TATASTEEL,Non-Energy Minerals,Steel,NIFTY_METAL,industry,-0.6514657980455965,-2.8404565967613458,-1.66,-3.92,-4.41,1.01,1.08,1.57
HINDALCO,Non-Energy Minerals,Other Metals/Minerals,NIFTY_METAL,industry,-3.100009872642904,-7.684349134687739,-1.66,-3.92,-4.41,-1.44,-3.76,-3.27
GRASIM,Non-Energy Minerals,Construction Materials,NIFTY_INFRA,industry,-1.1148272017837235,-1.2992090463444654,-1.66,-3.92,-0.98,0.55,2.62,-0.32
ADANIGREEN,Utilities,Alternative Power Generation,NIFTY_ENERGY,industry,-0.5201863354037303,-6.474452554744528,-1.66,-3.92,-2.39,1.14,-2.55,-4.08
EICHERMOT,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,-1.761252446183953,-5.880882444847197,-1.66,-3.92,1.4,-0.1,-1.96,-7.28
SOLARINDS,Process Industries,Industrial Specialties,,unmapped,3.674418604651162,18.56382978723404,-1.66,-3.92,,5.33,22.48,
TVSMOTOR,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,-1.3441117382569554,-6.25,-1.66,-3.92,1.4,0.32,-2.33,-7.65
INDIGO,Transportation,Airlines,,unmapped,-0.1405622489959839,-5.572961169657268,-1.66,-3.92,,1.52,-1.65,
IOC,Energy Minerals,Integrated Oil,NIFTY_ENERGY,industry,-1.3795620437956104,-3.9251937708881335,-1.66,-3.92,-2.39,0.28,-0.01,-1.54
TORNTPHARM,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,0.7200811359026369,2.0867598684210527,-1.66,-3.92,-0.77,2.38,6.01,2.86
HYUNDAI,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,1.0223048327137547,-0.8528298444839613,-1.66,-3.92,1.4,2.68,3.07,-2.25
MOTHERSON,Producer Manufacturing,Auto Parts: OEM,NIFTY_AUTO,industry,1.506079871612862,-3.3215755437977696,-1.66,-3.92,1.4,3.17,0.6,-4.72
VAML,Non-Energy Minerals,Aluminum,NIFTY_METAL,industry,-3.577960676726104,-9.232755837727318,-1.66,-3.92,-4.41,-1.92,-5.31,-4.82
SBILIFE,Finance,Life/Health Insurance,NIFTY_FIN_SERVICE,industry,-1.766763848396499,-8.480008691873094,-1.66,-3.92,1.89,-0.11,-4.56,-10.37
ADANIENSOL,Utilities,Electric Utilities,NIFTY_ENERGY,industry,-0.9093533487297856,-15.689284617746392,-1.66,-3.92,-2.39,0.75,-11.77,-13.3
WIPRO,Technology Services,Information Technology Services,NIFTY_IT,industry,-5.2845988457621385,-9.273210124112508,-1.66,-3.92,-7.79,-3.62,-5.35,-1.48
DLF,Finance,Real Estate Development,NIFTY_REALTY,industry,-5.450011002714,-1.3016845329249618,-1.66,-3.92,12.78,-3.79,2.62,-14.08
IDEA,Communications,Wireless Telecommunications,,unmapped,3.028217481073649,15.777262180974486,-1.66,-3.92,,4.69,19.7,
TMCV,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,-6.1142918872204834,-3.6474501108647424,-1.66,-3.92,1.4,-4.45,0.27,-5.05
PIDILITIND,Process Industries,Industrial Specialties,,unmapped,-4.176859099804302,-7.0530312018032895,-1.66,-3.92,,-2.52,-3.13,
CHOLAFIN,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,0.2661596958174954,-3.330714846818534,-1.66,-3.92,1.89,1.93,0.59,-5.22
ABB,Producer Manufacturing,Electrical Products,NIFTY_INFRA,industry,-2.303404741118797,-4.434080010510412,-1.66,-3.92,-0.98,-0.64,-0.51,-3.45
TATACAP,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,-2.4068844964367475,-1.1710239651416154,-1.66,-3.92,1.89,-0.75,2.75,-3.06
JIOFIN,Finance,Financial Conglomerates,NIFTY_FIN_SERVICE,industry,-3.322119428090835,-9.040553907022748,-1.66,-3.92,1.89,-1.66,-5.12,-10.93
BHEL,Producer Manufacturing,Electrical Products,NIFTY_INFRA,industry,-0.4618937644341801,6.551297898640296,-1.66,-3.92,-0.98,1.2,10.47,7.53
ICICIAMC,Finance,Investment Managers,NIFTY_FIN_SERVICE,industry,1.7224080267558528,0.4292554069671454,-1.66,-3.92,1.89,3.38,4.35,-1.46
TECHM,Technology Services,Information Technology Services,NIFTY_IT,industry,-3.993520652918816,-6.831922611850061,-1.66,-3.92,-7.79,-2.33,-2.91,0.96
TRENT,Retail Trade,Apparel/Footwear Retail,NIFTY_FMCG,sector,-1.6356616356616325,-6.586666666666664,-1.66,-3.92,-1.63,0.02,-2.67,-4.96
BOSCHLTD,Producer Manufacturing,Auto Parts: OEM,NIFTY_AUTO,industry,2.5214535438076067,7.426731793960924,-1.66,-3.92,1.4,4.18,11.35,6.03
CGPOWER,Producer Manufacturing,Electrical Products,NIFTY_INFRA,industry,1.5642458100558658,3.1782065834279227,-1.66,-3.92,-0.98,3.22,7.1,4.16
CUMMINSIND,Producer Manufacturing,Auto Parts: OEM,NIFTY_AUTO,industry,-0.0197199763360283,-5.525016304854188,-1.66,-3.92,1.4,1.64,-1.61,-6.93
SIEMENS,Producer Manufacturing,Electrical Products,NIFTY_INFRA,industry,-2.102919346857991,-1.616111387369468,-1.66,-3.92,-0.98,-0.44,2.3,-0.64
VBL,Consumer Non-Durables,Beverages: Non-Alcoholic,NIFTY_FMCG,industry,2.196049564470614,-5.157690993965611,-1.66,-3.92,-1.63,3.86,-1.24,-3.53
POWERINDIA,Electronic Technology,Electronic Equipment/Instruments,NIFTY_IT,sector,-1.765625,-10.185714285714283,-1.66,-3.92,-7.79,-0.11,-6.27,-2.4
UNIONBANK,Finance,Major Banks,NIFTY_BANK,industry,-5.767195767195769,-2.410958904109592,-1.66,-3.92,-2.44,-4.11,1.51,0.03
BSE,Finance,Investment Banks/Brokers,NIFTY_FIN_SERVICE,industry,-0.4705882352941176,-6.130374479889043,-1.66,-3.92,1.89,1.19,-2.21,-8.02
PNB,Finance,Major Banks,NIFTY_BANK,industry,-0.1283147989734864,2.4572180781044293,-1.66,-3.92,-2.44,1.53,6.38,4.9
BPCL,Energy Minerals,Oil Refining/Marketing,NIFTY_ENERGY,industry,-4.664996869129611,-3.943217665615142,-1.66,-3.92,-2.39,-3.0,-0.02,-1.55
LTM,Technology Services,Data Processing Services,NIFTY_IT,industry,-6.461282629149075,-11.855670103092784,-1.66,-3.92,-7.79,-4.8,-7.94,-4.07
APOLLOHOSP,Health Services,Hospital/Nursing Management,NIFTY_PHARMA,industry,1.534041941970698,0.9770870235986516,-1.66,-3.92,-0.77,3.19,4.9,1.75
POLYCAB,Producer Manufacturing,Electrical Products,NIFTY_INFRA,industry,-3.047058823529412,-9.687671232876712,-1.66,-3.92,-0.98,-1.39,-5.77,-8.71
BANKBARODA,Finance,Major Banks,NIFTY_BANK,industry,-1.7493914263316457,-3.1991869918699205,-1.66,-3.92,-2.44,-0.09,0.72,-0.76
GROWW,Miscellaneous,Investment Trusts/Mutual Funds,,unmapped,3.7512953367875697,3.376355188435736,-1.66,-3.92,,5.41,7.3,
BAJAJHLDNG,Finance,Financial Conglomerates,NIFTY_FIN_SERVICE,industry,0.2882363538101243,-3.909553810304652,-1.66,-3.92,1.89,1.95,0.01,-5.8
