identifier,instrument,underlying,expiry,option_type,strike,last_price,contracts_traded,turnover,open_interest,underlying_value,pct_change
OPTIDXNIFTY04-08-2026CE24400.00,Index Options,NIFTY,04-Aug-2026,Call,24400,68.3,6794099,360049.87945550005,128121,24383.6,13.173156586578294
OPTIDXNIFTY04-08-2026CE24350.00,Index Options,NIFTY,04-Aug-2026,Call,24350,93.65,4986586,338162.836297,61412,24383.6,15.83178726035869
OPTIDXNIFTY04-08-2026PE24350.00,Index Options,NIFTY,04-Aug-2026,Put,24350,75.0,4982605,274673.5745325,89017,24383.6,-47.294448348559385
OPTIDXNIFTY04-08-2026PE24400.00,Index Options,NIFTY,04-Aug-2026,Put,24400,98.95,4963564,332181.55713599996,93640,24383.6,-42.286380869058036
OPTIDXNIFTY04-08-2026PE24300.00,Index Options,NIFTY,04-Aug-2026,Put,24300,56.0,4693660,203341.08535,151598,24383.6,-51.515151515151516
OPTIDXNIFTY04-08-2026CE24500.00,Index Options,NIFTY,04-Aug-2026,Call,24500,31.15,4248839,114419.1098505,139694,24383.6,0.0
OPTIDXNIFTY04-08-2026CE24300.00,Index Options,NIFTY,04-Aug-2026,Call,24300,124.45,3566664,310679.617716,76943,24383.6,19.433781190019193
OPTIDXNIFTY04-08-2026CE24450.00,Index Options,NIFTY,04-Aug-2026,Call,24450,47.2,3419309,133375.2765085,69100,24383.6,7.2727272727272725
OPTIDXNIFTY04-08-2026CE24600.00,Index Options,NIFTY,04-Aug-2026,Call,24600,11.9,2814363,33001.220538,185155,24383.6,-12.5
OPTIDXNIFTY04-08-2026PE24200.00,Index Options,NIFTY,04-Aug-2026,Put,24200,30.8,2638271,66228.516913,181766,24383.6,-58.43454790823212
OPTIDXNIFTY04-08-2026CE24550.00,Index Options,NIFTY,04-Aug-2026,Call,24550,19.95,1917855,34830.164655,49224,24383.6,-4.086538461538462
OPTIDXNIFTY04-08-2026PE24250.00,Index Options,NIFTY,04-Aug-2026,Put,24250,41.9,1907960,62728.00092,112828,24383.6,-55.042918454935624
OPTIDXNIFTY04-08-2026PE24000.00,Index Options,NIFTY,04-Aug-2026,Put,24000,11.55,1756313,16324.929335,225941,24383.6,-58.96980461811723
OPTIDXNIFTY04-08-2026CE24700.00,Index Options,NIFTY,04-Aug-2026,Call,24700,5.0,1617484,8106.021066,141486,24383.6,-14.52991452991453
OPTIDXNIFTY04-08-2026PE24100.00,Index Options,NIFTY,04-Aug-2026,Put,24100,17.8,1547405,22580.5074625,117602,24383.6,-61.00766703176342
OPTIDXNIFTY04-08-2026PE24450.00,Index Options,NIFTY,04-Aug-2026,Put,24450,127.45,1466056,122881.14878,22321,24383.6,-37.95034079844206
OPTIDXNIFTY04-08-2026CE24650.00,Index Options,NIFTY,04-Aug-2026,Call,24650,7.2,1461368,11170.696992000001,80697,24383.6,-19.10112359550562
OPTIDXNIFTY04-08-2026PE24500.00,Index Options,NIFTY,04-Aug-2026,Put,24500,162.05,1262867,133685.837753,31519,24383.6,-32.96794208893485
OPTIDXNIFTY04-08-2026CE24800.00,Index Options,NIFTY,04-Aug-2026,Call,24800,2.65,1168078,2930.7077019999997,105074,24383.6,-8.620689655172415
OPTIDXNIFTY04-08-2026PE24150.00,Index Options,NIFTY,04-Aug-2026,Put,24150,23.4,1050234,19776.431337,63002,24383.6,-60.0
