index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,04-Aug-2026,24305.0,2500175,2655867,1.06,24300,8.51
BANKNIFTY,25-Aug-2026,57225.45,379728,330764,0.87,57500,11.5
